"check_id","check","observed","result"
"S1","overview cards render","","PASS"
"S2","overview by-metric table renders","","PASS"
"S3","overview loader table renders","","PASS"
"S4","taxonomy scope selector renders","","PASS"
"S5","metric selector renders as first filter","","PASS"
"S6","key is NOT the first filter axis","metric","PASS"
"S7","key is the last filter axis","","PASS"
"S8","viewer identity shows the selected series","","PASS"
"S9","signal-present series shows champion as a recommendation","","PASS"
"S10","champion model name rendered","FixedGrowth_1_5","PASS"
"S11","viewer model selector renders","","PASS"
"S12","actual history chart renders","","PASS"
"S13","ranking table renders","","PASS"
"S14","full path resolves to exactly one series","","PASS"
"S15","backtest chart renders","","PASS"
"S16","no-signal series suppresses the champion recommendation","","PASS"
"S17","no-signal series labels its champion technical only","","PASS"
"S18","no-signal series carries the NO_SIGNAL badge","","PASS"
"S19","no-signal series is still selectable and rendered","","PASS"
"S20","low-confidence series shows its caveat badge","","PASS"
"S21","low-confidence caveat message explains the zero tail","","PASS"
"S22","forecast identity renders","","PASS"
"S23","forecast page labels the governed horizon","","PASS"
"S24","forecast page shows 30 steps","","PASS"
"S25","forecast model selector renders","","PASS"
"S26","forecast chart renders","","PASS"
"S27","forecast table renders","","PASS"
"S28","taxonomy table renders for GLOBAL","","PASS"
"S29","taxonomy table renders for BY_METRIC","","PASS"
"S30","caveat count table renders","","PASS"
"S31","filter option table renders","","PASS"
