entity_key,resource,scenario,granularity,actual_date,value,data_source
APC-Dedicated,HDD,Enterprise,Region,2024-01-01,2082.2575068288,SubstrateBE_M2CP_Demand_History
APC-Dedicated,HDD,Enterprise,Region,2024-01-08,1966.7986890619054,SubstrateBE_M2CP_Demand_History
APC-Dedicated,HDD,Enterprise,Region,2024-01-15,2023.1876461160307,SubstrateBE_M2CP_Demand_History
APC-Dedicated,HDD,Enterprise,Region,2024-01-22,2040.0888442520989,SubstrateBE_M2CP_Demand_History
APC-Dedicated,HDD,Enterprise,Region,2024-01-29,2027.0603711703225,SubstrateBE_M2CP_Demand_History
APC-Dedicated,HDD,Enterprise,Region,2024-02-05,1997.0854365203081,SubstrateBE_M2CP_Demand_History
APC-Dedicated,HDD,Enterprise,Region,2024-02-12,2095.037284307456,SubstrateBE_M2CP_Demand_History
APC-Dedicated,HDD,Enterprise,Region,2024-02-19,1999.1578707227272,SubstrateBE_M2CP_Demand_History
APC-Dedicated,HDD,Enterprise,Region,2024-02-26,2126.986374534611,SubstrateBE_M2CP_Demand_History
APC-Dedicated,HDD,Enterprise,Region,2024-03-04,2002.4648185213891,SubstrateBE_M2CP_Demand_History
APC-Dedicated,HDD,Enterprise,Region,2024-03-11,2085.497484092665,SubstrateBE_M2CP_Demand_History
APC-Dedicated,HDD,Enterprise,Region,2024-03-18,2145.3506179837095,SubstrateBE_M2CP_Demand_History
APC-Dedicated,HDD,Enterprise,Region,2024-03-25,1924.6450784809306,SubstrateBE_M2CP_Demand_History
APC-Dedicated,HDD,Enterprise,Region,2024-04-01,1992.2159605422426,SubstrateBE_M2CP_Demand_History
APC-Dedicated,HDD,Enterprise,Region,2024-04-08,2001.6760123387896,SubstrateBE_M2CP_Demand_History
APC-Dedicated,HDD,Enterprise,Region,2024-04-15,2048.7654435707886,SubstrateBE_M2CP_Demand_History
APC-Dedicated,HDD,Enterprise,Region,2024-04-22,1993.9558466348112,SubstrateBE_M2CP_Demand_History
APC-Dedicated,HDD,Enterprise,Region,2024-04-29,1851.4740187476684,SubstrateBE_M2CP_Demand_History
APC-Dedicated,HDD,Enterprise,Region,2024-05-06,1865.1552076273315,SubstrateBE_M2CP_Demand_History
APC-Dedicated,HDD,Enterprise,Region,2024-05-13,2092.924269824182,SubstrateBE_M2CP_Demand_History
APC-Dedicated,HDD,Enterprise,Region,2024-05-20,1995.3656727659422,SubstrateBE_M2CP_Demand_History
APC-Dedicated,HDD,Enterprise,Region,2024-05-27,1906.9307716604872,SubstrateBE_M2CP_Demand_History
APC-Dedicated,HDD,Enterprise,Region,2024-06-03,2004.8923746557768,SubstrateBE_M2CP_Demand_History
APC-Dedicated,HDD,Enterprise,Region,2024-06-10,2089.446791718327,SubstrateBE_M2CP_Demand_History
APC-Dedicated,HDD,Enterprise,Region,2024-06-17,2131.34175367665,SubstrateBE_M2CP_Demand_History
APC-Dedicated,HDD,Enterprise,Region,2024-06-24,1991.327185335654,SubstrateBE_M2CP_Demand_History
APC-Dedicated,HDD,Enterprise,Region,2024-07-01,2002.5024095051992,SubstrateBE_M2CP_Demand_History
APC-Dedicated,HDD,Enterprise,Region,2024-07-08,1911.9936913681338,SubstrateBE_M2CP_Demand_History
APC-Dedicated,HDD,Enterprise,Region,2024-07-15,2047.3501332352691,SubstrateBE_M2CP_Demand_History
APC-Dedicated,HDD,Enterprise,Region,2024-07-22,1981.3874824393029,SubstrateBE_M2CP_Demand_History
APC-Dedicated,HDD,Enterprise,Region,2024-07-29,2048.48603074111,SubstrateBE_M2CP_Demand_History
APC-Dedicated,HDD,Enterprise,Region,2024-08-05,2064.3197584070103,SubstrateBE_M2CP_Demand_History
APC-Dedicated,HDD,Enterprise,Region,2024-08-12,2085.070983491704,SubstrateBE_M2CP_Demand_History
APC-Dedicated,HDD,Enterprise,Region,2024-08-19,1986.0178891114745,SubstrateBE_M2CP_Demand_History
APC-Dedicated,HDD,Enterprise,Region,2024-08-26,2054.3293276360573,SubstrateBE_M2CP_Demand_History
APC-Dedicated,HDD,Enterprise,Region,2024-09-02,1920.0978756242116,SubstrateBE_M2CP_Demand_History
APC-Dedicated,HDD,Enterprise,Region,2024-09-09,1977.4170057513131,SubstrateBE_M2CP_Demand_History
APC-Dedicated,HDD,Enterprise,Region,2024-09-16,1974.0631984714284,SubstrateBE_M2CP_Demand_History
APC-Dedicated,HDD,Enterprise,Region,2024-09-23,1879.706786174561,SubstrateBE_M2CP_Demand_History
APC-Dedicated,HDD,Enterprise,Region,2024-09-30,2029.375146392975,SubstrateBE_M2CP_Demand_History
APC-Dedicated,HDD,Enterprise,Region,2024-10-07,2040.4122665545012,SubstrateBE_M2CP_Demand_History
APC-Dedicated,HDD,Enterprise,Region,2024-10-14,2006.608981237381,SubstrateBE_M2CP_Demand_History
APC-Dedicated,HDD,Enterprise,Region,2024-10-21,2075.4400734821115,SubstrateBE_M2CP_Demand_History
APC-Dedicated,HDD,Enterprise,Region,2024-10-28,1985.7306243800024,SubstrateBE_M2CP_Demand_History
APC-Dedicated,HDD,Enterprise,Region,2024-11-04,1947.3327330131644,SubstrateBE_M2CP_Demand_History
APC-Dedicated,HDD,Enterprise,Region,2024-11-11,2057.768971924944,SubstrateBE_M2CP_Demand_History
APC-Dedicated,HDD,Enterprise,Region,2024-11-18,1982.6305988793804,SubstrateBE_M2CP_Demand_History
APC-Dedicated,HDD,Enterprise,Region,2024-11-25,2120.8658902906614,SubstrateBE_M2CP_Demand_History
APC-Dedicated,HDD,Enterprise,Region,2024-12-02,2007.182120808667,SubstrateBE_M2CP_Demand_History
APC-Dedicated,HDD,Enterprise,Region,2024-12-09,2074.2181281391145,SubstrateBE_M2CP_Demand_History
APC-Dedicated,HDD,Enterprise,Region,2024-12-16,2054.563256102825,SubstrateBE_M2CP_Demand_History
APC-Dedicated,HDD,Enterprise,Region,2024-12-23,1987.7471457955332,SubstrateBE_M2CP_Demand_History
APC-Dedicated,HDD,Enterprise,Region,2024-12-30,2132.580155786458,SubstrateBE_M2CP_Demand_History
APC-Dedicated,HDD,Enterprise,Region,2025-01-06,2076.312539093596,SubstrateBE_M2CP_Demand_History
APC-Dedicated,HDD,Enterprise,Region,2025-01-13,2043.2168518741585,SubstrateBE_M2CP_Demand_History
APC-Dedicated,HDD,Enterprise,Region,2025-01-20,2055.3469035121234,SubstrateBE_M2CP_Demand_History
