prohibited_model,file_path,line_number_or_section,context,is_execution_path,is_dashboard_reference,recommended_action
NBEATS,python/model_lab/run_challenger_official_execution.py,line 49 (APPROVED_MODELS list 43-50),"APPROVED_MODELS includes 'NBEATS' -> model is fitted/executed by the official challenger runner",TRUE,FALSE,REMOVE from APPROVED_MODELS in the V3.3C daily runner. This is the root cause of NBEATS running in V3.3B.
NHITS,python/model_lab/run_challenger_official_execution.py,line 51 (DEFERRED_MODEL),"DEFERRED_MODEL='NHITS' -> skipped at runtime but still wired into the runner",PARTIAL,FALSE,REMOVE the DEFERRED_MODEL wiring from the V3.3C daily runner so NHITS cannot be re-enabled accidentally.
NBEATS,python/model_lab/run_challenger_official_execution.py,line 140 (dependency map),"'NBEATS': [['darts','torch']] dependency probe",TRUE,FALSE,REMOVE NBEATS dependency entry when NBEATS removed from APPROVED_MODELS.
NBEATS,python/model_lab/models/model_registry.py,line 18 (import) + line 67 (register),"NBEATSModel imported and register_model(NBEATSModel) called -> registers NBEATS as a live-trainable model",TRUE,FALSE,"Do NOT delete the class file; but the daily runner must NOT request 'NBEATS' from get_model(). Optionally gate registration behind a non-daily flag in V3.3C."
NHITS,python/model_lab/models/model_registry.py,line 19 (import) + line 68 (register),"NHITSModel imported and registered as live-trainable",TRUE,FALSE,Same as NBEATS: keep class file, exclude from daily runner model list.
NBEATS,python/model_lab/training_orchestrator.py,registered model list,"Planner enumerates NBEATS among 14 registered models",PARTIAL,FALSE,"Planner only (no execution). Filter to canonical-15 (minus DL) or canonical-9 trainable when planning daily."
NHITS,python/model_lab/training_orchestrator.py,registered model list,"Planner enumerates NHITS",PARTIAL,FALSE,Same as NBEATS: filter out at planning for daily scope.
NBEATS,python/model_lab/build_challenger_execution_plan.py,line 53,"{'model_name':'NBEATS','execution_phase_group':'deep_learning','priority_level':'low'}",PARTIAL,FALSE,Planning metadata. Exclude from daily plan generation.
NHITS,python/model_lab/build_challenger_execution_plan.py,line 54,"{'model_name':'NHITS','execution_phase_group':'deep_learning','priority_level':'low'}",PARTIAL,FALSE,Planning metadata. Exclude from daily plan generation.
NBEATS,python/model_lab/build_challenger_onboarding.py,line 606,"'Deep learning challengers: (NBEATS, NHITS)' onboarding text",FALSE,FALSE,Historical onboarding metadata. May remain as historical record; not in daily path.
NHITS,python/model_lab/build_challenger_onboarding.py,line 606,same onboarding text,FALSE,FALSE,Historical onboarding metadata. May remain.
NBEATS,config/challenger_registry.yaml,CH-06 (approx lines 86-100),"challenger registry entry model_name 'NBEATS' family deep_learning status registered_placeholder official_execution_ready=false",FALSE,FALSE,"Registry already marks official_execution_ready=false. May remain historical; daily runner must NOT read it as executable."
NHITS,config/challenger_registry.yaml,CH-07 (approx lines 101-115),"challenger registry entry model_name 'NHITS' family deep_learning official_execution_ready=false",FALSE,FALSE,May remain historical; not executable in daily.
NBEATS,config/multistep_forecasting.yaml,lines 30-31,"NBEATS listed in multistep model config",PARTIAL,FALSE,Review whether daily multistep reads this; exclude NBEATS from daily multistep model list.
NHITS,config/multistep_forecasting.yaml,lines 30-31,"NHITS listed in multistep model config",PARTIAL,FALSE,Exclude NHITS from daily multistep model list.
NBEATS,python/governance/build_governance_6_5.py,GR-004,"NBEATS governance row 'TEST_LATER + DEFER'",FALSE,TRUE,KEEP. Governance record of deferral; correct and should remain.
NHITS,python/governance/build_governance_6_5.py,GR-005,"NHITS governance row 'TEST_LATER + DEFER'",FALSE,TRUE,KEEP. Governance deferral record; correct.
NBEATS,python/governance/build_governance_6_4.py,DC-009/DS-009/DB-009,"'Shiny must display NBEATS/NHITS deferred status'",FALSE,TRUE,KEEP. Dashboard deferred-status display; correct historical/governance reference.
NHITS,python/governance/build_governance_6_4.py,DC-009/DS-009/DB-009,deferred status display rules,FALSE,TRUE,KEEP. Dashboard reference only.
NBEATS,python/model_lab/models/nbeats_model.py,whole file,"NBEATSModel class implementation (torch/darts)",TRUE,FALSE,"Do NOT delete (V3 close-out history). Ensure not requested by daily runner. Heavy CPU model that did not complete in 17min probe."
NHITS,python/model_lab/models/nhits_model.py,whole file,"NHITSModel class implementation",TRUE,FALSE,Do NOT delete. Ensure not requested by daily runner.
FastNeuralAR_MLP,outputs/v3_2h_model_consistency_fix/build_canonical_universe.R,RETIRE filter (model_name != 'FastNeuralAR_MLP'),"Explicitly RETIRED from active universe (MASE 739.9, high risk)",FALSE,FALSE,KEEP retirement filter. Correct: FastNeuralAR_MLP must stay excluded; superseded by FNAR-V2.
FastNeuralAR_MLP,data/processed/forecast_viewer_model_outputs_pilot.csv,model_family=lightweight_neural rows,"Legacy pilot rows marked high_risk; NOT active (S06 check fastneuralar_original_not_active)",FALSE,TRUE,Legacy pilot artifact. Confirm production forecast_viewer_model_outputs.csv does NOT carry it. Historical only.
FastNeuralAR_MLP,docs/methodology/aegis_v3_project_documentation.md,methodology narrative,"Documentation reference to original FastNeuralAR_MLP",FALSE,TRUE,KEEP as historical documentation. Not an execution path.
