timestamp,candidate_id,series_key,window_id,forecast_origin,status,runtime_seconds,message
2026-06-26T08:26:25,FNAR-V2,APC-Dedicated,1,2025-05-02,ok,0.5239,mase=134.567 rmsse=11.128 raw_neg=0
2026-06-26T08:26:25,FNAR-V2,APC-Dedicated,2,2025-06-01,ok,0.5262,mase=302.192 rmsse=27.657 raw_neg=0
2026-06-26T08:26:26,FNAR-V2,APC-Dedicated,3,2025-07-01,ok,0.5297,mase=417.933 rmsse=44.254 raw_neg=0
2026-06-26T08:26:26,FNAR-V2,APC-Dedicated,4,2025-07-31,ok,0.481,mase=25.139 rmsse=2.645 raw_neg=0
2026-06-26T08:26:27,FNAR-V2,APC-Dedicated,5,2025-08-30,ok,0.4551,mase=12.385 rmsse=1.490 raw_neg=0
2026-06-26T08:26:27,FNAR-V2,APC-Dedicated,6,2025-09-29,ok,0.4566,mase=20.583 rmsse=2.532 raw_neg=0
2026-06-26T08:26:28,FNAR-V2,APC-Dedicated,7,2025-10-29,ok,0.5329,mase=14.138 rmsse=1.692 raw_neg=0
2026-06-26T08:26:28,FNAR-V2,APC-Dedicated,8,2025-11-28,ok,0.4559,mase=16.524 rmsse=1.951 raw_neg=0
2026-06-26T08:26:28,FNAR-V2,APC-Dedicated,9,2025-12-28,ok,0.4757,mase=95.335 rmsse=16.690 raw_neg=0
2026-06-26T08:26:29,FNAR-V2,APC-Dedicated,10,2026-01-27,ok,0.5033,mase=633.548 rmsse=82.554 raw_neg=0
2026-06-26T08:26:30,FNAR-V2,APC-Dedicated,11,2026-02-26,ok,0.6017,mase=3.783 rmsse=0.440 raw_neg=0
2026-06-26T08:26:30,FNAR-V2,APC-Dedicated,12,2026-03-28,ok,0.6388,mase=9.379 rmsse=1.066 raw_neg=0
2026-06-26T08:26:31,FNAR-V2,APC-MSIT,1,2025-05-02,ok,0.5278,mase=5.479 rmsse=1.069 raw_neg=0
2026-06-26T08:26:31,FNAR-V2,APC-MSIT,2,2025-06-01,ok,0.5063,mase=6.552 rmsse=1.251 raw_neg=0
2026-06-26T08:26:32,FNAR-V2,APC-MSIT,3,2025-07-01,ok,0.5027,mase=7.521 rmsse=1.442 raw_neg=0
2026-06-26T08:26:32,FNAR-V2,APC-MSIT,4,2025-07-31,ok,0.4967,mase=11.740 rmsse=2.890 raw_neg=0
2026-06-26T08:26:33,FNAR-V2,APC-MSIT,5,2025-08-30,ok,0.5275,mase=19.037 rmsse=3.985 raw_neg=0
2026-06-26T08:26:33,FNAR-V2,APC-MSIT,6,2025-09-29,ok,0.5352,mase=15.016 rmsse=2.571 raw_neg=0
2026-06-26T08:26:34,FNAR-V2,APC-MSIT,7,2025-10-29,ok,0.5347,mase=13.782 rmsse=2.351 raw_neg=0
2026-06-26T08:26:34,FNAR-V2,APC-MSIT,8,2025-11-28,ok,0.5584,mase=7.207 rmsse=1.252 raw_neg=0
2026-06-26T08:26:35,FNAR-V2,APC-MSIT,9,2025-12-28,ok,0.6231,mase=8.414 rmsse=1.444 raw_neg=0
2026-06-26T08:26:36,FNAR-V2,APC-MSIT,10,2026-01-27,ok,0.5912,mase=6.589 rmsse=1.144 raw_neg=0
2026-06-26T08:26:36,FNAR-V2,APC-MSIT,11,2026-02-26,ok,0.5909,mase=6.145 rmsse=1.081 raw_neg=0
2026-06-26T08:26:37,FNAR-V2,APC-MSIT,12,2026-03-28,ok,0.6212,mase=4.749 rmsse=0.912 raw_neg=0
2026-06-26T08:26:37,FNAR-V2,APC-Multitenant,1,2025-05-02,ok,0.5648,mase=74.248 rmsse=17.731 raw_neg=0
2026-06-26T08:26:38,FNAR-V2,APC-Multitenant,2,2025-06-01,ok,0.583,mase=128.317 rmsse=28.410 raw_neg=0
