entity_key,window_id,train_start_date,train_end_date,test_start_date,test_end_date,train_observations,test_observations
APC-Dedicated,1,2019-07-01,2024-05-07,2024-05-08,2024-07-06,1773,60
APC-Dedicated,2,2019-07-01,2024-07-06,2024-07-07,2024-09-04,1833,60
APC-Dedicated,4,2019-07-01,2024-11-03,2024-11-04,2025-01-02,1951,60
APC-Dedicated,5,2019-07-01,2025-01-02,2025-01-03,2025-03-03,2011,60
APC-Dedicated,6,2019-07-01,2025-03-03,2025-03-04,2025-05-02,2071,60
APC-Dedicated,7,2019-07-01,2025-05-02,2025-05-03,2025-07-01,2131,60
APC-Dedicated,8,2019-07-01,2025-07-01,2025-07-02,2025-08-30,2191,60
APC-Dedicated,9,2019-07-01,2025-08-30,2025-08-31,2025-10-29,2251,60
APC-Dedicated,10,2019-07-01,2025-10-29,2025-10-30,2025-12-28,2311,60
APC-Dedicated,11,2019-07-01,2025-12-28,2025-12-29,2026-02-26,2371,60
APC-Dedicated,12,2019-07-01,2026-02-26,2026-02-27,2026-04-27,2431,60
APC-MSIT,1,2019-07-01,2024-05-07,2024-05-08,2024-07-06,1773,60
APC-MSIT,2,2019-07-01,2024-07-06,2024-07-07,2024-09-04,1833,60
APC-MSIT,3,2019-07-01,2024-09-04,2024-09-05,2024-11-03,1893,60
APC-MSIT,4,2019-07-01,2024-11-03,2024-11-04,2025-01-02,1953,60
APC-MSIT,5,2019-07-01,2025-01-02,2025-01-03,2025-03-03,2013,60
APC-MSIT,6,2019-07-01,2025-03-03,2025-03-04,2025-05-02,2073,60
APC-MSIT,7,2019-07-01,2025-05-02,2025-05-03,2025-07-01,2133,60
APC-MSIT,8,2019-07-01,2025-07-01,2025-07-02,2025-08-30,2193,60
APC-MSIT,9,2019-07-01,2025-08-30,2025-08-31,2025-10-29,2253,60
APC-MSIT,10,2019-07-01,2025-10-29,2025-10-30,2025-12-28,2313,60
APC-MSIT,11,2019-07-01,2025-12-28,2025-12-29,2026-02-26,2373,60
APC-MSIT,12,2019-07-01,2026-02-26,2026-02-27,2026-04-27,2433,60
APC-Multitenant,1,2019-07-01,2024-05-07,2024-05-08,2024-07-06,1773,60
APC-Multitenant,2,2019-07-01,2024-07-06,2024-07-07,2024-09-04,1833,60
APC-Multitenant,3,2019-07-01,2024-09-04,2024-09-05,2024-11-03,1893,60
APC-Multitenant,4,2019-07-01,2024-11-03,2024-11-04,2025-01-02,1953,60
APC-Multitenant,5,2019-07-01,2025-01-02,2025-01-03,2025-03-03,2013,60
APC-Multitenant,6,2019-07-01,2025-03-03,2025-03-04,2025-05-02,2073,60
APC-Multitenant,7,2019-07-01,2025-05-02,2025-05-03,2025-07-01,2133,60
APC-Multitenant,8,2019-07-01,2025-07-01,2025-07-02,2025-08-30,2193,60
APC-Multitenant,9,2019-07-01,2025-08-30,2025-08-31,2025-10-29,2253,60
APC-Multitenant,10,2019-07-01,2025-10-29,2025-10-30,2025-12-28,2313,60
APC-Multitenant,11,2019-07-01,2025-12-28,2025-12-29,2026-02-26,2373,60
APC-Multitenant,12,2019-07-01,2026-02-26,2026-02-27,2026-04-27,2433,60
ARE-Go Local,1,2019-07-01,2024-05-07,2024-05-08,2024-07-06,1773,60
ARE-Go Local,2,2019-07-01,2024-07-06,2024-07-07,2024-09-04,1833,60
ARE-Go Local,3,2019-07-01,2024-09-04,2024-09-05,2024-11-03,1893,60
ARE-Go Local,4,2019-07-01,2024-11-03,2024-11-04,2025-01-02,1953,60
ARE-Go Local,5,2019-07-01,2025-01-02,2025-01-03,2025-03-03,2013,60
ARE-Go Local,6,2019-07-01,2025-03-03,2025-03-04,2025-05-02,2073,60
ARE-Go Local,7,2019-07-01,2025-05-02,2025-05-03,2025-07-01,2133,60
ARE-Go Local,8,2019-07-01,2025-07-01,2025-07-02,2025-08-30,2193,60
ARE-Go Local,9,2019-07-01,2025-08-30,2025-08-31,2025-10-29,2253,60
ARE-Go Local,10,2019-07-01,2025-10-29,2025-10-30,2025-12-28,2313,60
ARE-Go Local,11,2019-07-01,2025-12-28,2025-12-29,2026-02-26,2373,60
ARE-Go Local,12,2019-07-01,2026-02-26,2026-02-27,2026-04-27,2433,60
AUS-Go Local,1,2019-07-01,2024-05-07,2024-05-08,2024-07-06,1773,60
AUS-Go Local,2,2019-07-01,2024-07-06,2024-07-07,2024-09-04,1833,60
AUS-Go Local,3,2019-07-01,2024-09-04,2024-09-05,2024-11-03,1893,60
AUS-Go Local,4,2019-07-01,2024-11-03,2024-11-04,2025-01-02,1953,60
AUS-Go Local,5,2019-07-01,2025-01-02,2025-01-03,2025-03-03,2013,60
AUS-Go Local,6,2019-07-01,2025-03-03,2025-03-04,2025-05-02,2073,60
AUS-Go Local,7,2019-07-01,2025-05-02,2025-05-03,2025-07-01,2133,60
AUS-Go Local,8,2019-07-01,2025-07-01,2025-07-02,2025-08-30,2193,60
AUS-Go Local,9,2019-07-01,2025-08-30,2025-08-31,2025-10-29,2253,60
AUS-Go Local,10,2019-07-01,2025-10-29,2025-10-30,2025-12-28,2313,60
AUS-Go Local,11,2019-07-01,2025-12-28,2025-12-29,2026-02-26,2373,60
AUS-Go Local,12,2019-07-01,2026-02-26,2026-02-27,2026-04-27,2433,60
BRA-Go Local,1,2020-09-22,2024-05-07,2024-05-08,2024-07-06,1324,60
BRA-Go Local,2,2020-09-22,2024-07-06,2024-07-07,2024-09-04,1384,60
BRA-Go Local,3,2020-09-22,2024-09-04,2024-09-05,2024-11-03,1444,60
BRA-Go Local,4,2020-09-22,2024-11-03,2024-11-04,2025-01-02,1504,60
BRA-Go Local,5,2020-09-22,2025-01-02,2025-01-03,2025-03-03,1564,60
BRA-Go Local,6,2020-09-22,2025-03-03,2025-03-04,2025-05-02,1624,60
BRA-Go Local,7,2020-09-22,2025-05-02,2025-05-03,2025-07-01,1684,60
BRA-Go Local,8,2020-09-22,2025-07-01,2025-07-02,2025-08-30,1744,60
BRA-Go Local,9,2020-09-22,2025-08-30,2025-08-31,2025-10-29,1804,60
BRA-Go Local,10,2020-09-22,2025-10-29,2025-10-30,2025-12-28,1864,60
BRA-Go Local,11,2020-09-22,2025-12-28,2025-12-29,2026-02-26,1924,60
BRA-Go Local,12,2020-09-22,2026-02-26,2026-02-27,2026-04-27,1984,60
CAN-Go Local,1,2019-07-01,2024-05-07,2024-05-08,2024-07-06,1773,60
CAN-Go Local,2,2019-07-01,2024-07-06,2024-07-07,2024-09-04,1833,60
CAN-Go Local,3,2019-07-01,2024-09-04,2024-09-05,2024-11-03,1893,60
CAN-Go Local,4,2019-07-01,2024-11-03,2024-11-04,2025-01-02,1953,60
CAN-Go Local,5,2019-07-01,2025-01-02,2025-01-03,2025-03-03,2013,60
CAN-Go Local,6,2019-07-01,2025-03-03,2025-03-04,2025-05-02,2073,60
CAN-Go Local,7,2019-07-01,2025-05-02,2025-05-03,2025-07-01,2133,60
CAN-Go Local,8,2019-07-01,2025-07-01,2025-07-02,2025-08-30,2193,60
CAN-Go Local,9,2019-07-01,2025-08-30,2025-08-31,2025-10-29,2253,60
CAN-Go Local,10,2019-07-01,2025-10-29,2025-10-30,2025-12-28,2313,60
CAN-Go Local,11,2019-07-01,2025-12-28,2025-12-29,2026-02-26,2373,60
CAN-Go Local,12,2019-07-01,2026-02-26,2026-02-27,2026-04-27,2433,60
CHE-Go Local,1,2019-09-28,2024-05-07,2024-05-08,2024-07-06,1684,60
CHE-Go Local,2,2019-09-28,2024-07-06,2024-07-07,2024-09-04,1744,60
CHE-Go Local,3,2019-09-28,2024-09-04,2024-09-05,2024-11-03,1804,60
CHE-Go Local,4,2019-09-28,2024-11-03,2024-11-04,2025-01-02,1864,60
CHE-Go Local,5,2019-09-28,2025-01-02,2025-01-03,2025-03-03,1924,60
CHE-Go Local,6,2019-09-28,2025-03-03,2025-03-04,2025-05-02,1984,60
CHE-Go Local,7,2019-09-28,2025-05-02,2025-05-03,2025-07-01,2044,60
CHE-Go Local,8,2019-09-28,2025-07-01,2025-07-02,2025-08-30,2104,60
CHE-Go Local,9,2019-09-28,2025-08-30,2025-08-31,2025-10-29,2164,60
CHE-Go Local,10,2019-09-28,2025-10-29,2025-10-30,2025-12-28,2224,60
CHE-Go Local,11,2019-09-28,2025-12-28,2025-12-29,2026-02-26,2284,60
CHE-Go Local,12,2019-09-28,2026-02-26,2026-02-27,2026-04-27,2344,60
DEU-Go Local,1,2019-10-31,2024-05-07,2024-05-08,2024-07-06,1651,60
DEU-Go Local,2,2019-10-31,2024-07-06,2024-07-07,2024-09-04,1711,60
DEU-Go Local,3,2019-10-31,2024-09-04,2024-09-05,2024-11-03,1771,60
DEU-Go Local,4,2019-10-31,2024-11-03,2024-11-04,2025-01-02,1831,60
DEU-Go Local,5,2019-10-31,2025-01-02,2025-01-03,2025-03-03,1891,60
DEU-Go Local,6,2019-10-31,2025-03-03,2025-03-04,2025-05-02,1951,60
DEU-Go Local,7,2019-10-31,2025-05-02,2025-05-03,2025-07-01,2011,60
DEU-Go Local,8,2019-10-31,2025-07-01,2025-07-02,2025-08-30,2071,60
DEU-Go Local,9,2019-10-31,2025-08-30,2025-08-31,2025-10-29,2131,60
DEU-Go Local,10,2019-10-31,2025-10-29,2025-10-30,2025-12-28,2191,60
DEU-Go Local,11,2019-10-31,2025-12-28,2025-12-29,2026-02-26,2251,60
DEU-Go Local,12,2019-10-31,2026-02-26,2026-02-27,2026-04-27,2311,60
ESP-Go Local,5,2023-11-17,2025-01-02,2025-01-03,2025-03-03,413,60
ESP-Go Local,6,2023-11-17,2025-03-03,2025-03-04,2025-05-02,473,60
ESP-Go Local,7,2023-11-17,2025-05-02,2025-05-03,2025-07-01,533,60
ESP-Go Local,8,2023-11-17,2025-07-01,2025-07-02,2025-08-30,593,60
ESP-Go Local,9,2023-11-17,2025-08-30,2025-08-31,2025-10-29,653,60
ESP-Go Local,10,2023-11-17,2025-10-29,2025-10-30,2025-12-28,713,60
ESP-Go Local,11,2023-11-17,2025-12-28,2025-12-29,2026-02-26,773,60
ESP-Go Local,12,2023-11-17,2026-02-26,2026-02-27,2026-04-27,833,60
EUR-Dedicated,1,2019-07-01,2024-05-07,2024-05-08,2024-07-06,1773,60
EUR-Dedicated,2,2019-07-01,2024-07-06,2024-07-07,2024-09-04,1833,60
EUR-Dedicated,3,2019-07-01,2024-09-04,2024-09-05,2024-11-03,1893,60
EUR-Dedicated,4,2019-07-01,2024-11-03,2024-11-04,2025-01-02,1953,60
EUR-Dedicated,5,2019-07-01,2025-01-02,2025-01-03,2025-03-03,2013,60
EUR-Dedicated,6,2019-07-01,2025-03-03,2025-03-04,2025-05-02,2073,60
EUR-Dedicated,7,2019-07-01,2025-05-02,2025-05-03,2025-07-01,2133,60
EUR-Dedicated,8,2019-07-01,2025-07-01,2025-07-02,2025-08-30,2193,60
EUR-Dedicated,9,2019-07-01,2025-08-30,2025-08-31,2025-10-29,2253,60
EUR-Dedicated,10,2019-07-01,2025-10-29,2025-10-30,2025-12-28,2313,60
EUR-Dedicated,11,2019-07-01,2025-12-28,2025-12-29,2026-02-26,2373,60
EUR-Dedicated,12,2019-07-01,2026-02-26,2026-02-27,2026-04-27,2433,60
EUR-MSIT,1,2019-07-01,2024-05-07,2024-05-08,2024-07-06,1773,60
EUR-MSIT,2,2019-07-01,2024-07-06,2024-07-07,2024-09-04,1833,60
EUR-MSIT,3,2019-07-01,2024-09-04,2024-09-05,2024-11-03,1893,60
EUR-MSIT,4,2019-07-01,2024-11-03,2024-11-04,2025-01-02,1953,60
EUR-MSIT,5,2019-07-01,2025-01-02,2025-01-03,2025-03-03,2013,60
EUR-MSIT,6,2019-07-01,2025-03-03,2025-03-04,2025-05-02,2073,60
EUR-MSIT,7,2019-07-01,2025-05-02,2025-05-03,2025-07-01,2133,60
EUR-MSIT,8,2019-07-01,2025-07-01,2025-07-02,2025-08-30,2193,60
EUR-MSIT,9,2019-07-01,2025-08-30,2025-08-31,2025-10-29,2253,60
EUR-MSIT,10,2019-07-01,2025-10-29,2025-10-30,2025-12-28,2313,60
EUR-MSIT,11,2019-07-01,2025-12-28,2025-12-29,2026-02-26,2373,60
EUR-MSIT,12,2019-07-01,2026-02-26,2026-02-27,2026-04-27,2433,60
EUR-Multitenant,1,2019-07-01,2024-05-07,2024-05-08,2024-07-06,1773,60
EUR-Multitenant,2,2019-07-01,2024-07-06,2024-07-07,2024-09-04,1833,60
EUR-Multitenant,3,2019-07-01,2024-09-04,2024-09-05,2024-11-03,1893,60
EUR-Multitenant,4,2019-07-01,2024-11-03,2024-11-04,2025-01-02,1953,60
EUR-Multitenant,5,2019-07-01,2025-01-02,2025-01-03,2025-03-03,2013,60
EUR-Multitenant,6,2019-07-01,2025-03-03,2025-03-04,2025-05-02,2073,60
EUR-Multitenant,7,2019-07-01,2025-05-02,2025-05-03,2025-07-01,2133,60
EUR-Multitenant,8,2019-07-01,2025-07-01,2025-07-02,2025-08-30,2193,60
EUR-Multitenant,9,2019-07-01,2025-08-30,2025-08-31,2025-10-29,2253,60
EUR-Multitenant,10,2019-07-01,2025-10-29,2025-10-30,2025-12-28,2313,60
EUR-Multitenant,11,2019-07-01,2025-12-28,2025-12-29,2026-02-26,2373,60
EUR-Multitenant,12,2019-07-01,2026-02-26,2026-02-27,2026-04-27,2433,60
