"artifact","has_entity","has_model","has_date","has_forecast","has_actual","forecast_viewer_shape","multimodel_per_entity","max_models_one_entity","n_entities","n_models"
"data/processed/forecasts.csv",TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,1,45,16
"data/processed/actuals.csv",TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,NA,45,NA
"data/processed/forecast_comparison.csv",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,-Inf,0,0
"data/processed/entities.csv",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,45,NA
"data/processed/run_metadata.csv",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA
"data/sample/metrics.csv",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,-Inf,0,0
"data/sample/recommendations.csv",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,12,NA
"outputs/model_lab/model_lab_closure_pack/model_lab_final_model_universe.csv",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,15
"outputs/model_lab/tournament_engine/tournament_preliminary_standings.csv",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,13
"outputs/model_lab/tournament_engine/tournament_model_scorecard.csv",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,13
"outputs/model_lab/tournament_engine/tournament_pairwise_evidence.csv",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA
"outputs/model_lab/tournament_engine/tournament_entity_model_scores.csv",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,13,39,13
"outputs/model_lab/challenger_metrics/challenger_metrics_by_model_diagnostic.csv",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,6
"outputs/model_lab/challenger_metrics/challenger_actual_forecast_join.csv",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,6,39,6
"outputs/model_lab/challenger_metrics/challenger_scoring_forecasts.csv",TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,6,39,6
"outputs/model_lab/challenger_aggregation_significance/challenger_aggregation_by_model.csv",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,6
"outputs/model_lab/challenger_official_execution/challenger_official_forecasts.csv",TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,6,39,6
"outputs/model_lab/forecasts/baseline_forecasts.csv",TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,-Inf,0,0
"outputs/model_lab/full_baseline/full_baseline_forecasts.csv",TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,7,39,7
"outputs/model_lab/benchmark_reference/naive_benchmark_forecasts.csv",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,39,NA
"outputs/model_lab/seasonal_benchmark/seasonal_naive_forecasts.csv",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,39,NA
"outputs/model_lab/non_negative_policy/non_negative_forecasts.csv",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,7,39,7
"outputs/model_lab/baseline_pilot/baseline_pilot_forecasts.csv",TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,7,10,7
"outputs/model_lab/challenger_sandbox/challenger_sandbox_forecasts.csv",TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,6,5,6
"outputs/model_lab/contracts/forecast_output_schema.csv",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA
