"entity","model_count","models_available","forecast_points","min_date","max_date"
"APC-Dedicated",1,"FixedGrowth1%",1447,"2026-04-28","2030-04-13"
"APC-MSIT",1,"ExponentialSmoothing_ARIMA_Ensemble",1447,"2026-04-28","2030-04-13"
"APC-Multitenant",1,"FixedGrowth3%_FixedGrowth1%_Ensemble",1447,"2026-04-28","2030-04-13"
"ARE-Go Local",1,"FixedGrowth4%_ARIMA_Ensemble",1447,"2026-04-28","2030-04-13"
"AUS-Go Local",1,"ARIMA",1447,"2026-04-28","2030-04-13"
"AUT-Go Local",1,"ARIMA",1455,"2026-04-28","2030-04-21"
"BRA-Go Local",1,"FixedGrowth3%_ARIMA_Ensemble",1447,"2026-04-28","2030-04-13"
"CAN-Go Local",1,"ARIMA",1447,"2026-04-28","2030-04-13"
"CHE-Go Local",1,"FixedGrowth2%_ARIMA_Ensemble",1447,"2026-04-28","2030-04-13"
"CHL-Go Local",1,"FixedGrowth5%_ExponentialSmoothing_Ensemble",1454,"2026-04-28","2030-04-20"
"DEU-Go Local",1,"FixedGrowth3%_ARIMA_Ensemble",1447,"2026-04-28","2030-04-13"
"DNK-Go Local",1,"FixedGrowth5%_ExponentialSmoothing_Ensemble",1451,"2026-04-28","2030-04-17"
"ESP-Go Local",1,"ARIMA",1459,"2026-04-28","2030-04-25"
"EUR-Dedicated",1,"FixedGrowth1%",1447,"2026-04-28","2030-04-13"
"EUR-Go Local",1,"ARIMA",1447,"2026-04-28","2030-04-13"
"EUR-MSIT",1,"ARIMA",1447,"2026-04-28","2030-04-13"
"EUR-Multitenant",1,"FixedGrowth2%_FixedGrowth1%_Ensemble",1447,"2026-04-28","2030-04-13"
"FRA-Go Local",1,"ARIMA",1447,"2026-04-28","2030-04-13"
"GBR-Dedicated",1,"FixedGrowth1%",1447,"2026-04-28","2030-04-13"
"GBR-Go Local",1,"ARIMA",1447,"2026-04-28","2030-04-13"
"IDN-Go Local",1,"FixedGrowth5%",1438,"2026-04-28","2030-04-04"
"IND-Go Local",1,"FixedGrowth4%_ARIMA_Ensemble",1447,"2026-04-28","2030-04-13"
"ISR-Go Local",1,"FixedGrowth5%_ARIMA_Ensemble",1443,"2026-04-28","2030-04-09"
"ITA-Go Local",1,"FixedGrowth5%_ExponentialSmoothing_Ensemble",1443,"2026-04-28","2030-04-09"
"JPN-Go Local",1,"FixedGrowth2%",1447,"2026-04-28","2030-04-13"
"KOR-Go Local",1,"FixedGrowth4%_ExponentialSmoothing_Ensemble",1447,"2026-04-28","2030-04-13"
"LAM-Multitenant",1,"FixedGrowth2%_ARIMA_Ensemble",1447,"2026-04-28","2030-04-13"
"MEX-Go Local",1,"FixedGrowth5%_ARIMA_Ensemble",1443,"2026-04-28","2030-04-09"
"MYS-Go Local",1,"FixedGrowth5%_ExponentialSmoothing_Ensemble",1430,"2026-04-28","2030-03-27"
"NAM-Dedicated",1,"FixedGrowth1%",1447,"2026-04-28","2030-04-13"
"NAM-GCC Low",1,"FixedGrowth2%_ARIMA_Ensemble",1447,"2026-04-28","2030-04-13"
"NAM-ITAR DoD",1,"ExponentialSmoothing",1447,"2026-04-28","2030-04-13"
"NAM-ITAR GCCH",1,"ExponentialSmoothing",1447,"2026-04-28","2030-04-13"
"NAM-MSIT",1,"FixedGrowth5%_ARIMA_Ensemble",1447,"2026-04-28","2030-04-13"
"NAM-Multitenant",1,"FixedGrowth2%_FixedGrowth1%_Ensemble",1447,"2026-04-28","2030-04-13"
"NAM-SDF",1,"ExponentialSmoothing",1447,"2026-04-28","2030-04-13"
"NAM-TDF",1,"FixedGrowth1%",1447,"2026-04-28","2030-04-13"
"NOR-Go Local",1,"FixedGrowth3%_ExponentialSmoothing_Ensemble",1447,"2026-04-28","2030-04-13"
"NZL-Go Local",1,"ExponentialSmoothing",1433,"2026-04-28","2030-03-30"
"POL-Go Local",1,"FixedGrowth5%",1447,"2026-04-28","2030-04-13"
"QAT-Go Local",1,"FixedGrowth3%",1447,"2026-04-28","2030-04-13"
"SGP-Go Local",1,"ExponentialSmoothing",1447,"2026-04-28","2030-04-13"
"SWE-Go Local",1,"FixedGrowth2%",1447,"2026-04-28","2030-04-13"
"TWN-Go Local",1,"FixedGrowth5%_ARIMA_Ensemble",1448,"2026-04-28","2030-04-14"
"ZAF-Go Local",1,"FixedGrowth2%_ARIMA_Ensemble",1447,"2026-04-28","2030-04-13"
