"path","change_type","purpose","validation"
"V6/shiny_app/R/data_loader.R","MODIFIED","Parquet becomes a first-class registry type with a lazy flag, a lazy open reader, a materialising reader and two public accessors","Registry now holds 46 entries with 3 lazy parquet artifacts; 2.4M and 819k row counts recorded from metadata without materialising"
"V6/shiny_app/R/helpers.R","MODIFIED","acc_data reads the precomputed metrics artifact through the registry; acc_compute becomes a filter; new acc_data_available, acc_case_count and acc_entity_count helpers","V1 equivalence within 4.47e-8; V3 confirms zero metric arithmetic remains in acc_compute"
"V6/shiny_app/ui/tabs.R","MODIFIED","Accuracy setup box derives the All option and both counts at runtime and names the unit","Live check shows All cases (596) and a source line naming 596 cases across 391 entities"
"V6/shiny_app/server/server.R","MODIFIED","Accuracy summary card label renamed to the correct unit","Live check shows Route x key cases covered = 596"
"V6/shiny_app/ui/tabs_v6_16_viewer.R","MODIFIED","Mounts the Forward Forecast LLM assistant lost in the V6.16 rewrite","10 of 10 llm_explain_server registrations now have a live UI mount"
"V6/outputs/v6_21b_registry_accuracy_hardening/build_v6_21b_accuracy_metrics.py","CREATED","Precomputes the six Accuracy metrics outside Shiny on the full route-aware grouping key","268200 rows; 596 cases; 391 entities; 15 models; no group mixes extraction runs"
"V6/outputs/v6_21b_registry_accuracy_hardening/v6_21b_accuracy_metrics.parquet","CREATED","The artifact the Accuracy page reads","13069854 bytes; collected in 0.087 s"
"V6/outputs/v6_21b_registry_accuracy_hardening/v6_21b_accuracy_metrics_summary.csv","CREATED","Governance summary of the precomputed artifact","Counts, NA totals and n_points distribution per extraction run"
"V6/outputs/v6_21b_registry_accuracy_hardening/v6_21b_registry_changes.csv","CREATED","Registry change record","3 parquet entries registered"
"V6/outputs/v6_21b_registry_accuracy_hardening/v6_21b_provider_routing_decision.csv","CREATED","Explicit Option 1 versus Option 2 architectural decision","Mixed decision recorded with justification"
"V6/outputs/v6_21b_registry_accuracy_hardening/v6_21b_failsoft_failfast_map.csv","CREATED","Per-page missing-artifact behaviour","Reported, not normalised, as instructed"
"V6/outputs/v6_21b_registry_accuracy_hardening/v6_21b_accuracy_equivalence.csv","CREATED","V1 formula equivalence evidence","1200 comparisons, all within 1e-6"
"V6/outputs/v6_21b_registry_accuracy_hardening/v6_21b_route_context_proof.csv","CREATED","V2 route context evidence","DNK-Go Local present in 3 routes with different MAE values"
"V6/outputs/v6_21b_registry_accuracy_hardening/v6_21b_run_and_origin_integrity.csv","CREATED","V5 run and origin integrity","2 runs, 0 mixing, n_points distribution per run"
"V6/outputs/v6_21b_registry_accuracy_hardening/v6_21b_hardcoded_values_fixed.csv","CREATED","Hardcoded universe size and unit naming","All (39) replaced by All cases (596)"
"V6/outputs/v6_21b_registry_accuracy_hardening/v6_21b_llm_panel_map.csv","CREATED","LLM panel reconciliation","1 orphan restored; 10 of 10 mounted"
"V6/outputs/v6_21b_registry_accuracy_hardening/v6_21b_validation.csv","CREATED","Full V1 to V9 validation record","All blocking checks pass"
"V6/outputs/v6_21b_registry_accuracy_hardening/v6_21b_closure_summary.md","CREATED","Stage closure","Accuracy migrated under option A"
"V6/outputs/v6_17_full_multimetric_productive_artifact_generation/*.parquet","NOT_MODIFIED","Productive artifacts","Byte sizes and timestamps unchanged"
"V1 through V5","NOT_TOUCHED","Frozen versions","No file staged or modified"
