measure,value,notes
artifact_rows,268200,One row per grouping key.
grouping_key,metric + scenario + granularity + series_key + model_name + horizon_days,Route dimensions are grouping dimensions.
distinct_route_key_cases,596,Expected 596.
distinct_series_key_entities,391,Expected 391.
distinct_models,15,Expected 15.
horizons_covered,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30,
dropped_nonfinite_rows,0,"Removed before grouping, exactly as acc_compute does."
na_count_MAE,0,
na_count_RMSE,0,
na_count_sMAPE,61836,
na_count_wMAPE,71685,
na_count_signed_bias,0,
na_count_abs_bias_severity,0,
na_count_error_variability,0,
n_points[LEGACY_STAGE05H_VERIFIED_R8FIX0]_groups,17550,
n_points[LEGACY_STAGE05H_VERIFIED_R8FIX0]_min,7,
n_points[LEGACY_STAGE05H_VERIFIED_R8FIX0]_median,12.0,
n_points[LEGACY_STAGE05H_VERIFIED_R8FIX0]_max,12,
n_points[LEGACY_STAGE05H_VERIFIED_R8FIX0]_routes,1,n_points is NOT comparable across runs; see the ranking caveat.
n_points[R6P1-20260812T100822]_groups,250650,
n_points[R6P1-20260812T100822]_min,5,
n_points[R6P1-20260812T100822]_median,11.0,
n_points[R6P1-20260812T100822]_max,11,
n_points[R6P1-20260812T100822]_routes,6,n_points is NOT comparable across runs; see the ranking caveat.
