file_path,risk_type,detected_pattern,line_number_or_location,risk_level,why_it_matters,recommended_action
_00_engine_contract.R,forecast_execution,#     - Declara qué funciones se esperan (builders y runner),line 8,high,Forecast execution is prohibited in TESSERACT Shiny.,Do not reuse directly; adapt only layout/display pattern after manual review.
_00_engine_contract.R,forecast_execution,#   - NO contiene lógica de modelado ni de backtesting.,line 12,high,Forecast execution is prohibited in TESSERACT Shiny.,Do not reuse directly; adapt only layout/display pattern after manual review.
_00_engine_contract.R,forecast_execution,# Runner: corre modelos (vía registry) y retorna un bundle consumible por UI,line 32,high,Forecast execution is prohibited in TESSERACT Shiny.,Do not reuse directly; adapt only layout/display pattern after manual review.
_00_engine_contract.R,forecast_execution,forecast_runner = list(,line 33,high,Forecast execution is prohibited in TESSERACT Shiny.,Do not reuse directly; adapt only layout/display pattern after manual review.
_00_engine_contract.R,forecast_execution,"cat(""\nForecast runner:\n"")",line 60,high,Forecast execution is prohibited in TESSERACT Shiny.,Do not reuse directly; adapt only layout/display pattern after manual review.
_00_engine_contract.R,forecast_execution,for (nm in names(ENGINE_SPEC$forecast_runner)) {,line 61,high,Forecast execution is prohibited in TESSERACT Shiny.,Do not reuse directly; adapt only layout/display pattern after manual review.
_00_engine_contract.R,forecast_execution,"cat("" -"", nm, ""->"", ENGINE_SPEC$forecast_runner[[nm]], ""\n"")",line 62,high,Forecast execution is prohibited in TESSERACT Shiny.,Do not reuse directly; adapt only layout/display pattern after manual review.
_10_series_builders.R,project_specific_text,"#       Ingresos  : numeric (en colones, sin escalar)",line 13,medium,Reference domain labels must not be copied into TESSERACT.,Do not reuse directly; adapt only layout/display pattern after manual review.
_10_series_builders.R,runtime_data_cooking,# Nota importante:,line 26,medium,Data cooking in Shiny can violate governed artifact consumption.,Do not reuse directly; adapt only layout/display pattern after manual review.
_10_series_builders.R,project_specific_text,"# Dado: vector fechas (Date) y vector ingresos (num),",line 174,medium,Reference domain labels must not be copied into TESSERACT.,Do not reuse directly; adapt only layout/display pattern after manual review.
_10_series_builders.R,project_specific_text,".build_df_std <- function(fecha_ord, ingresos, incluir_ultimo_mes = TRUE, ctx = ""builder"") {",line 179,medium,Reference domain labels must not be copied into TESSERACT.,Do not reuse directly; adapt only layout/display pattern after manual review.
_10_series_builders.R,project_specific_text,"Ingresos  = suppressWarnings(as.numeric(ingresos)),",line 182,medium,Reference domain labels must not be copied into TESSERACT.,Do not reuse directly; adapt only layout/display pattern after manual review.
_10_series_builders.R,project_specific_text,"df <- stats::aggregate(Ingresos ~ Fecha_ord, data = df, FUN = sum, na.rm = TRUE)",line 197,medium,Reference domain labels must not be copied into TESSERACT.,Do not reuse directly; adapt only layout/display pattern after manual review.
_10_series_builders.R,project_specific_text,"stopifnot(all(c(""Fecha_ord"", ""Ingresos"") %in% names(df_std)))",line 210,medium,Reference domain labels must not be copied into TESSERACT.,Do not reuse directly; adapt only layout/display pattern after manual review.
_10_series_builders.R,project_specific_text,y_mill <- as.numeric(df_std$Ingresos) / millones,line 214,medium,Reference domain labels must not be copied into TESSERACT.,Do not reuse directly; adapt only layout/display pattern after manual review.
_10_series_builders.R,project_specific_text,"# - tabla_2 con columnas (Año, mes.cod, Ingresos)",line 226,medium,Reference domain labels must not be copied into TESSERACT.,Do not reuse directly; adapt only layout/display pattern after manual review.
_10_series_builders.R,project_specific_text,"# - o tabla_2 con (Fecha, Ingresos)",line 227,medium,Reference domain labels must not be copied into TESSERACT.,Do not reuse directly; adapt only layout/display pattern after manual review.
_10_series_builders.R,project_specific_text,"# - o tabla_2 con (Fecha_ord, Ingresos)",line 228,medium,Reference domain labels must not be copied into TESSERACT.,Do not reuse directly; adapt only layout/display pattern after manual review.
_10_series_builders.R,project_specific_text,"if (!(""Ingresos"" %in% names(tabla_2))) {",line 239,medium,Reference domain labels must not be copied into TESSERACT.,Do not reuse directly; adapt only layout/display pattern after manual review.
_10_series_builders.R,project_specific_text,"stop(""build_series_total(): falta columna requerida: Ingresos"", call. = FALSE)",line 240,medium,Reference domain labels must not be copied into TESSERACT.,Do not reuse directly; adapt only layout/display pattern after manual review.
_10_series_builders.R,project_specific_text,"ingresos  = tabla_2$Ingresos,",line 247,medium,Reference domain labels must not be copied into TESSERACT.,Do not reuse directly; adapt only layout/display pattern after manual review.
_10_series_builders.R,project_specific_text,df_std$Ingresos <- .impute_3x3(df_std$Ingresos),line 254,medium,Reference domain labels must not be copied into TESSERACT.,Do not reuse directly; adapt only layout/display pattern after manual review.
_10_series_builders.R,project_specific_text,if (any(is.na(df_std$Ingresos))) {,line 267,medium,Reference domain labels must not be copied into TESSERACT.,Do not reuse directly; adapt only layout/display pattern after manual review.
_10_series_builders.R,project_specific_text,"sample <- utils::head(df_std[is.na(df_std$Ingresos), , drop = FALSE], 10)",line 268,medium,Reference domain labels must not be copied into TESSERACT.,Do not reuse directly; adapt only layout/display pattern after manual review.
_10_series_builders.R,project_specific_text,"""build_series_total(): quedaron NA en Ingresos luego de imputar."",",line 271,medium,Reference domain labels must not be copied into TESSERACT.,Do not reuse directly; adapt only layout/display pattern after manual review.
_10_series_builders.R,project_specific_text,"df_std    = df_std,     # Fecha_ord + Ingresos (colones)",line 284,medium,Reference domain labels must not be copied into TESSERACT.,Do not reuse directly; adapt only layout/display pattern after manual review.
_10_series_builders.R,project_specific_text,ingresos  <- suppressWarnings(as.numeric(Impuestos[[variable_col]])),line 312,medium,Reference domain labels must not be copied into TESSERACT.,Do not reuse directly; adapt only layout/display pattern after manual review.
_10_series_builders.R,project_specific_text,"ingresos  = ingresos,",line 316,medium,Reference domain labels must not be copied into TESSERACT.,Do not reuse directly; adapt only layout/display pattern after manual review.
_10_series_builders.R,project_specific_text,df_std$Ingresos <- .impute_3x3(df_std$Ingresos),line 322,medium,Reference domain labels must not be copied into TESSERACT.,Do not reuse directly; adapt only layout/display pattern after manual review.
_10_series_builders.R,project_specific_text,if (any(is.na(df_std$Ingresos))) {,line 328,medium,Reference domain labels must not be copied into TESSERACT.,Do not reuse directly; adapt only layout/display pattern after manual review.
_10_series_builders.R,project_specific_text,"stop(""build_series_tax(): quedaron NA en Ingresos luego de imputar."", call. = FALSE)",line 329,medium,Reference domain labels must not be copied into TESSERACT.,Do not reuse directly; adapt only layout/display pattern after manual review.
_10_series_builders.R,project_specific_text,"#     Ingresos, ingresos, monto, Monto, MONTO,",line 343,medium,Reference domain labels must not be copied into TESSERACT.,Do not reuse directly; adapt only layout/display pattern after manual review.
_10_series_builders.R,project_specific_text,"""Ingresos"", ""ingresos"", ""monto"", ""Monto"", ""MONTO"",",line 357,medium,Reference domain labels must not be copied into TESSERACT.,Do not reuse directly; adapt only layout/display pattern after manual review.
_10_series_builders.R,project_specific_text,"""build_series_advanced(): No encuentro columna numérica (Ingresos/monto/Monto/Presupuesto a mes.cod) en df_filtrado."",",line 365,medium,Reference domain labels must not be copied into TESSERACT.,Do not reuse directly; adapt only layout/display pattern after manual review.
_10_series_builders.R,project_specific_text,ingresos  <- suppressWarnings(as.numeric(df_filtrado[[value_col]])),line 371,medium,Reference domain labels must not be copied into TESSERACT.,Do not reuse directly; adapt only layout/display pattern after manual review.
_10_series_builders.R,project_specific_text,"ingresos  = ingresos,",line 375,medium,Reference domain labels must not be copied into TESSERACT.,Do not reuse directly; adapt only layout/display pattern after manual review.
_10_series_builders.R,project_specific_text,df_std$Ingresos <- .impute_3x3(df_std$Ingresos),line 381,medium,Reference domain labels must not be copied into TESSERACT.,Do not reuse directly; adapt only layout/display pattern after manual review.
_10_series_builders.R,project_specific_text,if (any(is.na(df_std$Ingresos))) {,line 387,medium,Reference domain labels must not be copied into TESSERACT.,Do not reuse directly; adapt only layout/display pattern after manual review.
_10_series_builders.R,project_specific_text,"stop(""build_series_advanced(): quedaron NA en Ingresos luego de imputar."", call. = FALSE)",line 388,medium,Reference domain labels must not be copied into TESSERACT.,Do not reuse directly; adapt only layout/display pattern after manual review.
_20_forecast_runner.R,forecast_execution,# forecast_engine/_20_forecast_runner.R,line 2,high,Forecast execution is prohibited in TESSERACT Shiny.,Do not reuse directly; adapt only layout/display pattern after manual review.
_20_forecast_runner.R,pipeline_execution,# forecast_engine/_20_forecast_runner.R,line 2,high,Pipeline execution is not allowed in read-only dashboard.,Do not reuse directly; adapt only layout/display pattern after manual review.
_20_forecast_runner.R,forecast_execution,#   Runner liviano por componente.,line 5,high,Forecast execution is prohibited in TESSERACT Shiny.,Do not reuse directly; adapt only layout/display pattern after manual review.
_20_forecast_runner.R,forecast_execution,#       backtesting -> winner -> forecast_final -> quality_card,line 8,high,Forecast execution is prohibited in TESSERACT Shiny.,Do not reuse directly; adapt only layout/display pattern after manual review.
_20_forecast_runner.R,governance_violation,#       backtesting -> winner -> forecast_final -> quality_card,line 8,high,Potential language or behavior conflicts with governance.,Do not reuse directly; adapt only layout/display pattern after manual review.
_20_forecast_runner.R,pipeline_execution,#   - forecast_engine/_30_engine.R           -> run_engine(),line 13,high,Pipeline execution is not allowed in read-only dashboard.,Do not reuse directly; adapt only layout/display pattern after manual review.
_20_forecast_runner.R,model_execution,"model_ids = c(""seasonal_naive"", ""ets"", ""autoarima"", ""nnetar"", ""tslm"",",line 21,high,Model execution is prohibited in TESSERACT Shiny.,Do not reuse directly; adapt only layout/display pattern after manual review.
_20_forecast_runner.R,pipeline_execution,"stop(""run_total_bundle(): No existe run_engine(). Sourcea forecast_engine/_30_engine.R antes."")",line 43,high,Pipeline execution is not allowed in read-only dashboard.,Do not reuse directly; adapt only layout/display pattern after manual review.
_30_engine.R,pipeline_execution,# forecast_engine/_30_engine.R,line 2,high,Pipeline execution is not allowed in read-only dashboard.,Do not reuse directly; adapt only layout/display pattern after manual review.
_30_engine.R,forecast_execution,#     - Backtesting rolling-origin (evidencia),line 6,high,Forecast execution is prohibited in TESSERACT Shiny.,Do not reuse directly; adapt only layout/display pattern after manual review.
_30_engine.R,governance_violation,#     - Selección defendible del winner (error + estabilidad),line 7,high,Potential language or behavior conflicts with governance.,Do not reuse directly; adapt only layout/display pattern after manual review.
_30_engine.R,governance_violation,#     - Forecast final del winner (mean / lower / upper),line 8,high,Potential language or behavior conflicts with governance.,Do not reuse directly; adapt only layout/display pattern after manual review.
_30_engine.R,model_execution,#   - forecast_models_registry.R   -> run_model_forecast(),line 15,high,Model execution is prohibited in TESSERACT Shiny.,Do not reuse directly; adapt only layout/display pattern after manual review.
_30_engine.R,forecast_execution,#   - forecast_models_registry.R   -> run_model_forecast(),line 15,high,Forecast execution is prohibited in TESSERACT Shiny.,Do not reuse directly; adapt only layout/display pattern after manual review.
_30_engine.R,forecast_execution,#   - forecast_backtesting.R       -> backtest_rolling_origin(),line 16,high,Forecast execution is prohibited in TESSERACT Shiny.,Do not reuse directly; adapt only layout/display pattern after manual review.
_30_engine.R,project_specific_text,.safe_num <- function(x) suppressWarnings(as.numeric(x)),line 20,medium,Reference domain labels must not be copied into TESSERACT.,Do not reuse directly; adapt only layout/display pattern after manual review.
_30_engine.R,project_specific_text,df$score <- .safe_num(df[[mean_col]]) + as.numeric(lambda_stability) * .safe_num(df[[sd_col]]),line 73,medium,Reference domain labels must not be copied into TESSERACT.,Do not reuse directly; adapt only layout/display pattern after manual review.
_30_engine.R,governance_violation,".build_quality_card <- function(winner_row,",line 87,high,Potential language or behavior conflicts with governance.,Do not reuse directly; adapt only layout/display pattern after manual review.
_30_engine.R,project_specific_text,"mean_v <- .safe_num(winner_row[[""wMAPE_mean""]])",line 94,medium,Reference domain labels must not be copied into TESSERACT.,Do not reuse directly; adapt only layout/display pattern after manual review.
_30_engine.R,governance_violation,"mean_v <- .safe_num(winner_row[[""wMAPE_mean""]])",line 94,high,Potential language or behavior conflicts with governance.,Do not reuse directly; adapt only layout/display pattern after manual review.
_30_engine.R,project_specific_text,"sd_v   <- .safe_num(winner_row[[""wMAPE_sd""]])",line 95,medium,Reference domain labels must not be copied into TESSERACT.,Do not reuse directly; adapt only layout/display pattern after manual review.
_30_engine.R,governance_violation,"sd_v   <- .safe_num(winner_row[[""wMAPE_sd""]])",line 95,high,Potential language or behavior conflicts with governance.,Do not reuse directly; adapt only layout/display pattern after manual review.
_30_engine.R,project_specific_text,"mean_v <- .safe_num(winner_row[[""sMAPE_mean""]])",line 98,medium,Reference domain labels must not be copied into TESSERACT.,Do not reuse directly; adapt only layout/display pattern after manual review.
_30_engine.R,governance_violation,"mean_v <- .safe_num(winner_row[[""sMAPE_mean""]])",line 98,high,Potential language or behavior conflicts with governance.,Do not reuse directly; adapt only layout/display pattern after manual review.
_30_engine.R,project_specific_text,"sd_v   <- .safe_num(winner_row[[""sMAPE_sd""]])",line 99,medium,Reference domain labels must not be copied into TESSERACT.,Do not reuse directly; adapt only layout/display pattern after manual review.
_30_engine.R,governance_violation,"sd_v   <- .safe_num(winner_row[[""sMAPE_sd""]])",line 99,high,Potential language or behavior conflicts with governance.,Do not reuse directly; adapt only layout/display pattern after manual review.
_30_engine.R,project_specific_text,"score_v  <- .safe_num(winner_row[[""score""]])",line 103,medium,Reference domain labels must not be copied into TESSERACT.,Do not reuse directly; adapt only layout/display pattern after manual review.
_30_engine.R,governance_violation,"score_v  <- .safe_num(winner_row[[""score""]])",line 103,high,Potential language or behavior conflicts with governance.,Do not reuse directly; adapt only layout/display pattern after manual review.
_30_engine.R,project_specific_text,"n_splits <- .safe_num(winner_row[[""n_splits""]])",line 104,medium,Reference domain labels must not be copied into TESSERACT.,Do not reuse directly; adapt only layout/display pattern after manual review.
_30_engine.R,governance_violation,"n_splits <- .safe_num(winner_row[[""n_splits""]])",line 104,high,Potential language or behavior conflicts with governance.,Do not reuse directly; adapt only layout/display pattern after manual review.
_30_engine.R,model_execution,"stop(""run_engine(): No existe run_model_forecast(). Sourcea forecast_models_registry.R antes."")",line 147,high,Model execution is prohibited in TESSERACT Shiny.,Do not reuse directly; adapt only layout/display pattern after manual review.
_30_engine.R,forecast_execution,"stop(""run_engine(): No existe run_model_forecast(). Sourcea forecast_models_registry.R antes."")",line 147,high,Forecast execution is prohibited in TESSERACT Shiny.,Do not reuse directly; adapt only layout/display pattern after manual review.
_30_engine.R,forecast_execution,"if (!exists(""backtest_rolling_origin"")) {",line 149,high,Forecast execution is prohibited in TESSERACT Shiny.,Do not reuse directly; adapt only layout/display pattern after manual review.
_30_engine.R,forecast_execution,"stop(""run_engine(): No existe backtest_rolling_origin(). Sourcea forecast_backtesting.R antes."")",line 150,high,Forecast execution is prohibited in TESSERACT Shiny.,Do not reuse directly; adapt only layout/display pattern after manual review.
_30_engine.R,forecast_execution,# 1) Backtesting (evidencia),line 169,high,Forecast execution is prohibited in TESSERACT Shiny.,Do not reuse directly; adapt only layout/display pattern after manual review.
_30_engine.R,forecast_execution,#    OJO: forecast_backtesting.R usa rank_metric (no rank_by),line 170,high,Forecast execution is prohibited in TESSERACT Shiny.,Do not reuse directly; adapt only layout/display pattern after manual review.
_30_engine.R,forecast_execution,bt <- backtest_rolling_origin(,line 172,high,Forecast execution is prohibited in TESSERACT Shiny.,Do not reuse directly; adapt only layout/display pattern after manual review.
_30_engine.R,governance_violation,# 2) Ranking + winner (score),line 199,high,Potential language or behavior conflicts with governance.,Do not reuse directly; adapt only layout/display pattern after manual review.
_30_engine.R,governance_violation,"winner_row      <- ranking_tbl[1, , drop = FALSE]",line 208,high,Potential language or behavior conflicts with governance.,Do not reuse directly; adapt only layout/display pattern after manual review.
_30_engine.R,governance_violation,winner_model_id <- as.character(winner_row$model_id),line 209,high,Potential language or behavior conflicts with governance.,Do not reuse directly; adapt only layout/display pattern after manual review.
_30_engine.R,governance_violation,# Label UI del winner (si existe),line 211,high,Potential language or behavior conflicts with governance.,Do not reuse directly; adapt only layout/display pattern after manual review.
_30_engine.R,governance_violation,if (!is.null(reg[[winner_model_id]]$label_ui)) reg[[winner_model_id]]$label_ui else winner_model_id,line 214,high,Potential language or behavior conflicts with governance.,Do not reuse directly; adapt only layout/display pattern after manual review.
_30_engine.R,governance_violation,"if (inherits(label_ui, ""try-error"")) label_ui <- winner_model_id",line 216,high,Potential language or behavior conflicts with governance.,Do not reuse directly; adapt only layout/display pattern after manual review.
_30_engine.R,governance_violation,# 3) Forecast final (solo winner),line 219,high,Potential language or behavior conflicts with governance.,Do not reuse directly; adapt only layout/display pattern after manual review.
_30_engine.R,forecast_execution,fc <- run_model_forecast(,line 221,high,Forecast execution is prohibited in TESSERACT Shiny.,Do not reuse directly; adapt only layout/display pattern after manual review.
_30_engine.R,governance_violation,"model_id = winner_model_id,",line 222,high,Potential language or behavior conflicts with governance.,Do not reuse directly; adapt only layout/display pattern after manual review.
_30_engine.R,governance_violation,"y_train = y_ts,",line 223,high,Potential language or behavior conflicts with governance.,Do not reuse directly; adapt only layout/display pattern after manual review.
_30_engine.R,project_specific_text,mean_v <- .safe_num(fc$mean),line 229,medium,Reference domain labels must not be copied into TESSERACT.,Do not reuse directly; adapt only layout/display pattern after manual review.
_30_engine.R,governance_violation,"winner_row = as.list(winner_row),",line 252,high,Potential language or behavior conflicts with governance.,Do not reuse directly; adapt only layout/display pattern after manual review.
