series_id,metric,is_all_zero_series,n_models_with_wape_not_computable,crowned_champion_p6,crowned_champion_mae,best_model_by_mae,best_mae,verdict,root_cause,p6b_action
HDD__Basilisk__NA__Forest__apcp150,HDD,TRUE,15,FNAR-V2,0.082049,ARIMA_Fixed,0.0,MISRANKED,"P6 ranking tiers metric AVAILABILITY above ACCURACY: a model with a computable smape (tier 1) outranks models that fall back to mae (tier 2), even when those have strictly lower error",REPORTED_ONLY - P6B is forbidden from recalculating rankings
HDD__Basilisk__NA__Forest__chnpr01,HDD,TRUE,15,FNAR-V2,0.082049,ARIMA_Fixed,0.0,MISRANKED,"P6 ranking tiers metric AVAILABILITY above ACCURACY: a model with a computable smape (tier 1) outranks models that fall back to mae (tier 2), even when those have strictly lower error",REPORTED_ONLY - P6B is forbidden from recalculating rankings
HDD__Basilisk__NA__Forest__eurp180,HDD,TRUE,15,FNAR-V2,0.082049,ARIMA_Fixed,0.0,MISRANKED,"P6 ranking tiers metric AVAILABILITY above ACCURACY: a model with a computable smape (tier 1) outranks models that fall back to mae (tier 2), even when those have strictly lower error",REPORTED_ONLY - P6B is forbidden from recalculating rankings
HDD__Basilisk__NA__Forest__namp157,HDD,TRUE,15,FNAR-V2,0.082049,ARIMA_Fixed,0.0,MISRANKED,"P6 ranking tiers metric AVAILABILITY above ACCURACY: a model with a computable smape (tier 1) outranks models that fall back to mae (tier 2), even when those have strictly lower error",REPORTED_ONLY - P6B is forbidden from recalculating rankings
HDD__Basilisk__NA__Region__ITA-Go-Local,HDD,TRUE,15,FNAR-V2,0.082049,ARIMA_Fixed,0.0,MISRANKED,"P6 ranking tiers metric AVAILABILITY above ACCURACY: a model with a computable smape (tier 1) outranks models that fall back to mae (tier 2), even when those have strictly lower error",REPORTED_ONLY - P6B is forbidden from recalculating rankings
HDD__Basilisk__NA__Region__chl-Go-Local,HDD,TRUE,15,FNAR-V2,0.082049,ARIMA_Fixed,0.0,MISRANKED,"P6 ranking tiers metric AVAILABILITY above ACCURACY: a model with a computable smape (tier 1) outranks models that fall back to mae (tier 2), even when those have strictly lower error",REPORTED_ONLY - P6B is forbidden from recalculating rankings
HDD__Basilisk__NA__Region__nam-ITAR-GCCH,HDD,TRUE,15,FNAR-V2,0.082049,ARIMA_Fixed,0.0,MISRANKED,"P6 ranking tiers metric AVAILABILITY above ACCURACY: a model with a computable smape (tier 1) outranks models that fall back to mae (tier 2), even when those have strictly lower error",REPORTED_ONLY - P6B is forbidden from recalculating rankings
HDD__Basilisk__NA__Region__nzl-Go-Local,HDD,TRUE,15,FNAR-V2,0.082049,ARIMA_Fixed,0.0,MISRANKED,"P6 ranking tiers metric AVAILABILITY above ACCURACY: a model with a computable smape (tier 1) outranks models that fall back to mae (tier 2), even when those have strictly lower error",REPORTED_ONLY - P6B is forbidden from recalculating rankings
HDD__EDB__Consumer__Forest__EURP179,HDD,TRUE,15,FNAR-V2,0.118138,ARIMA_Fixed,0.0,MISRANKED,"P6 ranking tiers metric AVAILABILITY above ACCURACY: a model with a computable smape (tier 1) outranks models that fall back to mae (tier 2), even when those have strictly lower error",REPORTED_ONLY - P6B is forbidden from recalculating rankings
HDD__EDB__Consumer__Forest__EURP309,HDD,TRUE,15,FNAR-V2,0.118912,ARIMA_Fixed,0.0,MISRANKED,"P6 ranking tiers metric AVAILABILITY above ACCURACY: a model with a computable smape (tier 1) outranks models that fall back to mae (tier 2), even when those have strictly lower error",REPORTED_ONLY - P6B is forbidden from recalculating rankings
HDD__EDB__Consumer__Forest__NAMP115,HDD,TRUE,15,FNAR-V2,0.118138,ARIMA_Fixed,0.0,MISRANKED,"P6 ranking tiers metric AVAILABILITY above ACCURACY: a model with a computable smape (tier 1) outranks models that fall back to mae (tier 2), even when those have strictly lower error",REPORTED_ONLY - P6B is forbidden from recalculating rankings
HDD__EDB__Consumer__Forest__NAMP159,HDD,TRUE,15,FNAR-V2,0.118138,ARIMA_Fixed,0.0,MISRANKED,"P6 ranking tiers metric AVAILABILITY above ACCURACY: a model with a computable smape (tier 1) outranks models that fall back to mae (tier 2), even when those have strictly lower error",REPORTED_ONLY - P6B is forbidden from recalculating rankings
HDD__EDB__Consumer__Region__EUR-Dedicated,HDD,TRUE,15,FNAR-V2,0.118138,ARIMA_Fixed,0.0,MISRANKED,"P6 ranking tiers metric AVAILABILITY above ACCURACY: a model with a computable smape (tier 1) outranks models that fall back to mae (tier 2), even when those have strictly lower error",REPORTED_ONLY - P6B is forbidden from recalculating rankings
HDD__EDB__Consumer__Region__IDN-Go-Local,HDD,TRUE,15,FNAR-V2,0.118138,ARIMA_Fixed,0.0,MISRANKED,"P6 ranking tiers metric AVAILABILITY above ACCURACY: a model with a computable smape (tier 1) outranks models that fall back to mae (tier 2), even when those have strictly lower error",REPORTED_ONLY - P6B is forbidden from recalculating rankings
HDD__EDB__Consumer__Region__NAM-ITAR-DoD,HDD,TRUE,15,FNAR-V2,0.118912,ARIMA_Fixed,0.0,MISRANKED,"P6 ranking tiers metric AVAILABILITY above ACCURACY: a model with a computable smape (tier 1) outranks models that fall back to mae (tier 2), even when those have strictly lower error",REPORTED_ONLY - P6B is forbidden from recalculating rankings
SSD__Phoenix__Forest__GBRP267,SSD,FALSE,15,ARIMA_Fixed,0.091,NLIN-DLIN_FIXED,0.001016,MISRANKED,"P6 ranking tiers metric AVAILABILITY above ACCURACY: a model with a computable smape (tier 1) outranks models that fall back to mae (tier 2), even when those have strictly lower error",REPORTED_ONLY - P6B is forbidden from recalculating rankings
