schema,table_name,table_type,matched_terms
dbo,CADW_PhoenixDagsHDD,BASE TABLE,phoenix|hdd
dbo,CPG_DemandPlan_SubstrateBE_CPU_Demand_Region_V2,BASE TABLE,cpu
dbo,CPG_DemandPlan_SubstrateBE_CPU_Demand_V2,BASE TABLE,cpu
dbo,CPG_DemandPlan_SubstrateBE_HDD_Demand_Region_V2,BASE TABLE,hdd
dbo,CPG_DemandPlan_SubstrateBE_HDD_Demand_V2,BASE TABLE,hdd
dbo,CPG_DemandPlan_SubstrateBE_IOPS_Demand_Region_V2,BASE TABLE,iops
dbo,CPG_DemandPlan_SubstrateBE_IOPS_Demand_V2,BASE TABLE,iops
dbo,CPG_DemandPlan_SubstrateBE_SSD_Demand_Region_V2,BASE TABLE,ssd
dbo,CPG_DemandPlan_SubstrateBE_SSD_Demand_V2,BASE TABLE,ssd
dbo,CPG_DemandPlan_SubstrateBE_SSDMCDB_Demand_Region_V2,BASE TABLE,ssd|mcdb
dbo,CPG_DemandPlan_SubstrateBE_SSDMCDB_Demand_V2,BASE TABLE,ssd|mcdb
dbo,CPG_DemandPlan_SubstrateBE_SSDPhoenixDB_Demand_Region_V2,BASE TABLE,ssd|phoenix
dbo,CPG_DemandPlan_SubstrateBE_SSDPhoenixDB_Demand_V2,BASE TABLE,ssd|phoenix
dbo,CPG_SSD_Demand_Forecast_Scenarios,BASE TABLE,ssd
dbo,dbo.forecast_substrateBE_hdd_region_metrics_test1,BASE TABLE,hdd
dbo,DemandPlan_CPU_Forecast,BASE TABLE,cpu
dbo,DemandPlan_CPU_Sellable,BASE TABLE,cpu
dbo,DemandPlan_CPU_Supply,BASE TABLE,cpu
dbo,DemandPlan_HDD_Forecast,BASE TABLE,hdd
dbo,DemandPlan_HDD_Sellable,BASE TABLE,hdd
dbo,DemandPlan_HDD_Supply,BASE TABLE,hdd
dbo,DemandPlan_IOPS_Forecast,BASE TABLE,iops
dbo,DemandPlan_IOPS_Sellable,BASE TABLE,iops
dbo,DemandPlan_IOPS_Supply,BASE TABLE,iops
dbo,DemandPlan_SSD_Forecast,BASE TABLE,ssd
dbo,DemandPlan_SSD_Sellable,BASE TABLE,ssd
dbo,DemandPlan_SSD_Supply,BASE TABLE,ssd
dbo,DemandPlan_SubstrateBE_CPU_Demand,BASE TABLE,cpu
dbo,DemandPlan_SubstrateBE_CPU_Demand_Region,BASE TABLE,cpu
dbo,DemandPlan_SubstrateBE_CPU_Demand_Region_History,BASE TABLE,cpu
dbo,DemandPlan_SubstrateBE_HDD_Demand,BASE TABLE,hdd
dbo,DemandPlan_SubstrateBE_HDD_Demand_Region,BASE TABLE,hdd
dbo,DemandPlan_SubstrateBE_HDD_Demand_Region_History,BASE TABLE,hdd
dbo,DemandPlan_SubstrateBE_IOPS_Demand,BASE TABLE,iops
dbo,DemandPlan_SubstrateBE_IOPS_Demand_Region,BASE TABLE,iops
dbo,DemandPlan_SubstrateBE_IOPS_Demand_Region_History,BASE TABLE,iops
dbo,DemandPlan_SubstrateBE_SSD_Demand,BASE TABLE,ssd
dbo,DemandPlan_SubstrateBE_SSD_Demand_Region,BASE TABLE,ssd
dbo,DemandPlan_SubstrateBE_SSD_Demand_Region_History,BASE TABLE,ssd
dbo,DemandPlan_SubstrateBE_SSDMCDB_Demand,BASE TABLE,ssd|mcdb
dbo,DemandPlan_SubstrateBE_SSDMCDB_Demand_Region,BASE TABLE,ssd|mcdb
dbo,DemandPlan_SubstrateBE_SSDPhoenixDB_Demand,BASE TABLE,ssd|phoenix
dbo,DemandPlan_SubstrateBE_SSDPhoenixDB_Demand_Region,BASE TABLE,ssd|phoenix
dbo,forecast_exo_cpu_Greenland_organic,BASE TABLE,cpu
dbo,forecast_Greenland_HDD_SSD,BASE TABLE,ssd|hdd
dbo,forecast_staging_agent_CPU,BASE TABLE,cpu
dbo,forecast_staging_agent_CPU_metrics,BASE TABLE,cpu
dbo,forecast_staging_agent_HDD,BASE TABLE,hdd
dbo,forecast_staging_agent_HDD_metrics,BASE TABLE,hdd
dbo,forecast_staging_agent_SSD,BASE TABLE,ssd
dbo,forecast_staging_agent_SSD_metrics,BASE TABLE,ssd
dbo,forecast_staging_IOPS_metrics,BASE TABLE,iops
dbo,forecast_substrateBE_cpu,BASE TABLE,cpu
dbo,forecast_substrateBE_cpu_actual_region,BASE TABLE,cpu
dbo,forecast_substrateBE_cpu_byDB_forest,BASE TABLE,cpu
dbo,forecast_substrateBE_cpu_byDB_region,BASE TABLE,cpu
dbo,forecast_substrateBE_cpu_region,BASE TABLE,cpu
dbo,forecast_substrateBE_cpu_region_old,BASE TABLE,cpu
dbo,forecast_substrateBE_hdd,BASE TABLE,hdd
dbo,forecast_substrateBE_hdd_accuracy,BASE TABLE,hdd
dbo,forecast_substrateBE_hdd_forest_metrics,BASE TABLE,hdd
dbo,forecast_substrateBE_hdd_region,BASE TABLE,hdd
dbo,forecast_substrateBE_hdd_region_metrics,BASE TABLE,hdd
dbo,forecast_substrateBE_hdd_region_metrics_test_bulk,BASE TABLE,hdd
dbo,forecast_substrateBE_hdd_region_staging,BASE TABLE,hdd
dbo,forecast_substrateBE_hdd_region_staging_raw,BASE TABLE,hdd
dbo,forecast_substrateBE_hdd_staging,BASE TABLE,hdd
dbo,forecast_substrateBE_inorganic_ssd,BASE TABLE,ssd
dbo,forecast_substrateBE_iops,BASE TABLE,iops
dbo,forecast_substrateBE_iops_actual_region,BASE TABLE,iops
dbo,forecast_substrateBE_iops_old,BASE TABLE,iops
dbo,forecast_substrateBE_iops_prod,BASE TABLE,iops
dbo,forecast_substrateBE_iops_region,BASE TABLE,iops
dbo,forecast_substrateBE_iops_region_old,BASE TABLE,iops
dbo,forecast_substrateBE_iops_test,BASE TABLE,iops
dbo,forecast_substrateBE_iops_test2,BASE TABLE,iops
dbo,forecast_substrateBE_ssd,BASE TABLE,ssd
dbo,forecast_substrateBE_SSD_Phoenix_Organic,BASE TABLE,ssd|phoenix
dbo,forecast_substrateBE_ssd_phx_lvne_metrics,BASE TABLE,ssd
dbo,forecast_substrateBE_ssd_phx_lvwe_metrics,BASE TABLE,ssd
dbo,forecast_substrateBE_ssd_region,BASE TABLE,ssd
dbo,forecast_substrateBE_SSD_TotalForecast,BASE TABLE,ssd
dbo,forecast_substrateBE_SSD_TotalForecast_UserScenario,BASE TABLE,ssd
dbo,FutureCPUIOPSSellable_byRegion,BASE TABLE,iops|cpu
dbo,Greenland_SSD_HDD_Forest_Daily_Raw,BASE TABLE,ssd|hdd
dbo,Greenland_SSD_Region_Fcst_Result,BASE TABLE,ssd
dbo,HLC_BE_SSDLimit,BASE TABLE,ssd
dbo,M2CP_Demand_CPU,BASE TABLE,cpu
dbo,M2CP_Demand_HDD,BASE TABLE,hdd
dbo,M2CP_Demand_IOPS,BASE TABLE,iops
dbo,M2CP_Demand_SSD,BASE TABLE,ssd
dbo,MA_PhoenixOnlyStamps,BASE TABLE,phoenix
dbo,NRT_AZSC_CPU_Forecast,BASE TABLE,cpu
dbo,OS_OSTSCpuUtilizationData,BASE TABLE,cpu
dbo,PCM_StoreCPUms,BASE TABLE,cpu
dbo,PCM_StoreHDDIO,BASE TABLE,hdd
dbo,SemanticFabric_PhoenixDBCountByForest,BASE TABLE,phoenix
dbo,SemanticFabric_PhoenixUsageByForest,BASE TABLE,phoenix
dbo,SM_MLBPhoenixStatsGlobal,BASE TABLE,phoenix
dbo,SubstrateBE_CPU_Efficiency_Changes,BASE TABLE,cpu
dbo,SubstrateBE_CPU_Future_Supply,BASE TABLE,cpu
dbo,SubstrateBE_CPUConsumed_TTL_Region_History,BASE TABLE,cpu
dbo,SubstrateBE_CPUEffi_TTL_Region_History,BASE TABLE,cpu
dbo,SubstrateBE_CPUFailover_TTL_Region_History,BASE TABLE,cpu
dbo,SubstrateBE_CPUFailoverEffi_TTL_Region_History,BASE TABLE,cpu
dbo,SubstrateBE_DemandForecast_CPU_Forest,BASE TABLE,cpu
dbo,SubstrateBE_DemandForecast_CPU_Region,BASE TABLE,cpu
dbo,SubstrateBE_DemandForecast_HDD_EDB,BASE TABLE,hdd
dbo,SubstrateBE_DemandForecast_HDD_EDB_Forest,BASE TABLE,hdd
dbo,SubstrateBE_DemandForecast_HDD_EDB_Region,BASE TABLE,hdd
dbo,SubstrateBE_DemandForecast_IOPS_Forest,BASE TABLE,iops
dbo,SubstrateBE_DemandForecast_IOPS_Region,BASE TABLE,iops
dbo,SubstrateBE_DemandForecast_Ssd_MCDB_ForestSKU,BASE TABLE,ssd|mcdb
dbo,SubstrateBE_DemandForecast_Ssd_MCDB_ForestSKU_Perturbed,BASE TABLE,ssd|mcdb
dbo,SubstrateBE_DemandForecast_Ssd_MCDB_Region,BASE TABLE,ssd|mcdb
dbo,SubstrateBE_DemandForecast_Ssd_MCDB_Region_Perturbed,BASE TABLE,ssd|mcdb
dbo,SubstrateBE_HDD_Actual_Incremental_Growth,BASE TABLE,hdd
dbo,SubstrateBE_HDD_Forecast_Incremental_Growth,BASE TABLE,hdd
dbo,SubstrateBE_HDD_Forecast_Update_Event_Log,BASE TABLE,hdd
dbo,SubstrateBE_HDD_Multiplier_Perturbation_Adjustment,BASE TABLE,hdd
dbo,SubstrateBE_HDD_Overall_Forecast_Incremental_Growth,BASE TABLE,hdd
dbo,SubstrateBE_HDD_Perturbation_Adjustment,BASE TABLE,hdd
dbo,SubstrateBE_HDD_TTL_Region_History,BASE TABLE,hdd
dbo,SubstrateBE_HDD_TTL_Region_History_78,BASE TABLE,hdd
dbo,SubstrateBE_HDD_TTL_Region_History_79,BASE TABLE,hdd
dbo,SubstrateBE_HDD_TTL_Region_History_80,BASE TABLE,hdd
dbo,SubstrateBE_HDD_TTL_Region_History_81,BASE TABLE,hdd
dbo,SubstrateBE_HDD_TTL_Region_History_82,BASE TABLE,hdd
dbo,SubstrateBE_HDD_TTL_Region_History_83,BASE TABLE,hdd
dbo,SubstrateBE_HDD_TTL_Region_History_84,BASE TABLE,hdd
dbo,SubstrateBE_HDD_TTL_Region_History_85,BASE TABLE,hdd
dbo,SubstrateBE_HDD_TTL_Region_History_86,BASE TABLE,hdd
dbo,SubstrateBE_HDD_TTL_Region_History_87,BASE TABLE,hdd
