table_name,key_column,distinct_keys,date_column,version_column,scenario_column,dbtype_column,value_column,actual_marker_column
SubstrateBE_Ssd_MCDB_ForecastForestSKU,Key,774,DateTime,ForecastVersion,Scenario,Resource,Value,ModelVersion
forecast_substrateBE_SSD_Phoenix_Organic,Forest,149,DateTime,ForecastVersion,Scenario,,Value,ModelVersion
forecast_substrateBE_SSD_TotalForecast,Key,163,Datetime,ForecastVersion,Scenario,Resource,Value,Type
forecast_substrateBE_cpu,Forest_SKU,714,datadate,forecastdate,CPU_type,,forecast,type
forecast_substrateBE_cpu_byDB_forest,MyKey,159,Datetime,ForecastVersion,Scenario,DBType,Value,ModelVersion
forecast_substrateBE_cpu_byDB_region,MyKey,44,Datetime,ForecastVersion,Scenario,DBType,Value,ModelVersion
forecast_substrateBE_cpu_region,Key,46,Datetime,ForecastVersion,Scenario,Resource,Value,ModelVersion
forecast_substrateBE_hdd,forest_name,318,target_date,execution_time,data_type,,forecast_mean,type
forecast_substrateBE_hdd_region,Key,52,DateTime,ForecastVersion,Scenario,Resource,Value,ModelVersion
forecast_substrateBE_iops,Forest_SKU,552,datadate,forecastdate,IOPS_type,,forecast,type
forecast_substrateBE_iops_region,Key,46,Datetime,ForecastVersion,Scenario,Resource,Value,ModelVersion
SubstrateBE_SSD_Demand_History,Forest,143,DataDate,,,,,
SubstrateBE_Ssd_PhoenixDB_ForecastForest,Key,144,DateTime,ForecastVersion,Scenario,Resource,Value,ModelVersion
SubstrateBE_Ssd_PhoenixDB_ForecastRegion,Key,35,DateTime,ForecastVersion,Scenario,Resource,Value,ModelVersion
SubstrateBE_Ssd_MCDB_ForecastRegion,Key,41,DateTime,ForecastVersion,Scenario,Resource,Value,ModelVersion
SubstrateBE_SsdForecastForestSKU,Key,291,DateTime,ForecastVersion,Scenario,Resource,Value,ModelVersion
SubstrateBE_SsdForecastRegion,Key,32,DateTime,ForecastVersion,Scenario,Resource,Value,ModelVersion
forecast_substrateBE_hdd_region_metrics,Key,45,,Execution_Date,,,,
forecast_substrateBE_hdd_forest_metrics,Key,155,,Execution_Date,,,,
forecast_substrateBE_ssd_phx_lvwe_metrics,Key,137,,Execution_Date,,,,
forecast_substrateBE_ssd_phx_lvne_metrics,Key,137,,Execution_Date,,,,
