table_name,key_column,key_value
SubstrateBE_Ssd_MCDB_ForecastForestSKU,Key,APC-Dedicated-APCP150
SubstrateBE_Ssd_MCDB_ForecastForestSKU,Key,APC-Dedicated-APCP150-HP Gen9
SubstrateBE_Ssd_MCDB_ForecastForestSKU,Key,APC-Dedicated-APCP150-WCS Gen5
SubstrateBE_Ssd_MCDB_ForecastForestSKU,Key,APC-Dedicated-APCP150-WCS Gen6
SubstrateBE_Ssd_MCDB_ForecastForestSKU,Key,APC-Dedicated-APCP150-WCS Gen7
SubstrateBE_Ssd_MCDB_ForecastForestSKU,Key,APC-MSIT-APCP153
SubstrateBE_Ssd_MCDB_ForecastForestSKU,Key,APC-MSIT-APCP153-HP Gen9
SubstrateBE_Ssd_MCDB_ForecastForestSKU,Key,APC-MSIT-APCP153-WCS Gen5
SubstrateBE_Ssd_MCDB_ForecastForestSKU,Key,APC-MSIT-APCP153-WCS Gen6
SubstrateBE_Ssd_MCDB_ForecastForestSKU,Key,APC-MSIT-APCP153-WCS Gen7
SubstrateBE_Ssd_MCDB_ForecastForestSKU,Key,APC-MSIT-APCP153-WCS Gen8
SubstrateBE_Ssd_MCDB_ForecastForestSKU,Key,APC-Multitenant-APCPRD01
SubstrateBE_Ssd_MCDB_ForecastForestSKU,Key,APC-Multitenant-APCPRD01-WCS Gen5
SubstrateBE_Ssd_MCDB_ForecastForestSKU,Key,APC-Multitenant-APCPRD01-WCS Gen6
SubstrateBE_Ssd_MCDB_ForecastForestSKU,Key,APC-Multitenant-APCPRD01-WCS Gen7
SubstrateBE_Ssd_MCDB_ForecastForestSKU,Key,APC-Multitenant-APCPRD01-WCS Gen8
SubstrateBE_Ssd_MCDB_ForecastForestSKU,Key,APC-Multitenant-APCPRD02
SubstrateBE_Ssd_MCDB_ForecastForestSKU,Key,APC-Multitenant-APCPRD02-HP Gen9
SubstrateBE_Ssd_MCDB_ForecastForestSKU,Key,APC-Multitenant-APCPRD02-WCS Gen5
SubstrateBE_Ssd_MCDB_ForecastForestSKU,Key,APC-Multitenant-APCPRD02-WCS Gen6
SubstrateBE_Ssd_MCDB_ForecastForestSKU,Key,APC-Multitenant-APCPRD02-WCS Gen7
SubstrateBE_Ssd_MCDB_ForecastForestSKU,Key,APC-Multitenant-APCPRD02-WCS Gen8
SubstrateBE_Ssd_MCDB_ForecastForestSKU,Key,APC-Multitenant-APCPRD03
SubstrateBE_Ssd_MCDB_ForecastForestSKU,Key,APC-Multitenant-APCPRD03-HP Gen9
SubstrateBE_Ssd_MCDB_ForecastForestSKU,Key,APC-Multitenant-APCPRD03-WCS Gen5
SubstrateBE_Ssd_MCDB_ForecastForestSKU,Key,APC-Multitenant-APCPRD03-WCS Gen6
SubstrateBE_Ssd_MCDB_ForecastForestSKU,Key,APC-Multitenant-APCPRD03-WCS Gen7
SubstrateBE_Ssd_MCDB_ForecastForestSKU,Key,APC-Multitenant-APCPRD03-WCS Gen8
SubstrateBE_Ssd_MCDB_ForecastForestSKU,Key,APC-Multitenant-APCPRD04
SubstrateBE_Ssd_MCDB_ForecastForestSKU,Key,APC-Multitenant-APCPRD04-HP Gen9
SubstrateBE_Ssd_MCDB_ForecastForestSKU,Key,APC-Multitenant-APCPRD04-WCS Gen5
SubstrateBE_Ssd_MCDB_ForecastForestSKU,Key,APC-Multitenant-APCPRD04-WCS Gen6
SubstrateBE_Ssd_MCDB_ForecastForestSKU,Key,APC-Multitenant-APCPRD04-WCS Gen7
SubstrateBE_Ssd_MCDB_ForecastForestSKU,Key,APC-Multitenant-APCPRD04-WCS Gen8
SubstrateBE_Ssd_MCDB_ForecastForestSKU,Key,APC-Multitenant-APCPRD06
SubstrateBE_Ssd_MCDB_ForecastForestSKU,Key,APC-Multitenant-APCPRD06-HP Gen9
SubstrateBE_Ssd_MCDB_ForecastForestSKU,Key,APC-Multitenant-APCPRD06-WCS Gen5
SubstrateBE_Ssd_MCDB_ForecastForestSKU,Key,APC-Multitenant-APCPRD06-WCS Gen6
SubstrateBE_Ssd_MCDB_ForecastForestSKU,Key,APC-Multitenant-APCPRD06-WCS Gen7
SubstrateBE_Ssd_MCDB_ForecastForestSKU,Key,APC-Multitenant-APCPRD06-WCS Gen8
SubstrateBE_Ssd_MCDB_ForecastForestSKU,Key,ARE-Go Local-AREP273
SubstrateBE_Ssd_MCDB_ForecastForestSKU,Key,ARE-Go Local-AREP273-WCS Gen5
SubstrateBE_Ssd_MCDB_ForecastForestSKU,Key,ARE-Go Local-AREP273-WCS Gen6
SubstrateBE_Ssd_MCDB_ForecastForestSKU,Key,ARE-Go Local-AREP273-WCS Gen7
SubstrateBE_Ssd_MCDB_ForecastForestSKU,Key,ARE-Go Local-AREP273-WCS Gen8
SubstrateBE_Ssd_MCDB_ForecastForestSKU,Key,AUS-Go Local-AUSP282
SubstrateBE_Ssd_MCDB_ForecastForestSKU,Key,AUS-Go Local-AUSP282-WCS Gen5
SubstrateBE_Ssd_MCDB_ForecastForestSKU,Key,AUS-Go Local-AUSP282-WCS Gen6
SubstrateBE_Ssd_MCDB_ForecastForestSKU,Key,AUS-Go Local-AUSP282-WCS Gen7
SubstrateBE_Ssd_MCDB_ForecastForestSKU,Key,AUS-Go Local-AUSP282-WCS Gen8
SubstrateBE_Ssd_MCDB_ForecastForestSKU,Key,AUS-Go Local-AUSP300
SubstrateBE_Ssd_MCDB_ForecastForestSKU,Key,AUS-Go Local-AUSP300-WCS Gen7
SubstrateBE_Ssd_MCDB_ForecastForestSKU,Key,AUS-Go Local-AUSPRD01
SubstrateBE_Ssd_MCDB_ForecastForestSKU,Key,AUS-Go Local-AUSPRD01-HP Gen9
SubstrateBE_Ssd_MCDB_ForecastForestSKU,Key,AUS-Go Local-AUSPRD01-WCS Gen5
SubstrateBE_Ssd_MCDB_ForecastForestSKU,Key,AUS-Go Local-AUSPRD01-WCS Gen6
SubstrateBE_Ssd_MCDB_ForecastForestSKU,Key,AUS-Go Local-AUSPRD01-WCS Gen7
SubstrateBE_Ssd_MCDB_ForecastForestSKU,Key,AUS-Go Local-AUSPRD01-WCS Gen8
SubstrateBE_Ssd_MCDB_ForecastForestSKU,Key,AUT-Go Local-AUTP296
SubstrateBE_Ssd_MCDB_ForecastForestSKU,Key,AUT-Go Local-AUTP296-WCS Gen7
SubstrateBE_Ssd_MCDB_ForecastForestSKU,Key,BRA-Go Local-BRAP284
SubstrateBE_Ssd_MCDB_ForecastForestSKU,Key,BRA-Go Local-BRAP284-WCS Gen6
SubstrateBE_Ssd_MCDB_ForecastForestSKU,Key,BRA-Go Local-BRAP284-WCS Gen7
SubstrateBE_Ssd_MCDB_ForecastForestSKU,Key,BRA-Go Local-BRAP284-WCS Gen8
SubstrateBE_Ssd_MCDB_ForecastForestSKU,Key,CAN-Dedicated-CANP268-HP Gen9
SubstrateBE_Ssd_MCDB_ForecastForestSKU,Key,CAN-Go Local-CANP288
SubstrateBE_Ssd_MCDB_ForecastForestSKU,Key,CAN-Go Local-CANP288-WCS Gen7
SubstrateBE_Ssd_MCDB_ForecastForestSKU,Key,CAN-Go Local-CANPRD01
SubstrateBE_Ssd_MCDB_ForecastForestSKU,Key,CAN-Go Local-CANPRD01-WCS Gen5
SubstrateBE_Ssd_MCDB_ForecastForestSKU,Key,CAN-Go Local-CANPRD01-WCS Gen6
