table_name,scenario_column,scenario_value,source
SubstrateBE_Ssd_MCDB_ForecastForestSKU,Scenario,,column_value
forecast_substrateBE_SSD_Phoenix_Organic,Scenario,Combined (Tenant+User),column_value
forecast_substrateBE_SSD_TotalForecast,Scenario,Data Driven,column_value
forecast_substrateBE_SSD_TotalForecast,Scenario,Data Driven With Efficiency,column_value
forecast_substrateBE_SSD_TotalForecast,Scenario,Data Driven Without Efficiency,column_value
forecast_substrateBE_SSD_TotalForecast,Scenario,Data Driven-7day Attachment Offloading,column_value
forecast_substrateBE_SSD_TotalForecast,Scenario,Gov Clouds,column_value
forecast_substrateBE_SSD_TotalForecast,Scenario,High Volume,column_value
forecast_substrateBE_SSD_TotalForecast,Scenario,High Volume 35.4M,column_value
forecast_substrateBE_SSD_TotalForecast,Scenario,High Volume No Efficiency,column_value
forecast_substrateBE_SSD_TotalForecast,Scenario,High Volume With Efficiency,column_value
forecast_substrateBE_SSD_TotalForecast,Scenario,High Volume-30day Attachment Offloading,column_value
forecast_substrateBE_SSD_TotalForecast,Scenario,High Volume-30day Attachment Offloading-BESTLA,column_value
forecast_substrateBE_SSD_TotalForecast,Scenario,High Volume-7day Attachment Offloading,column_value
forecast_substrateBE_SSD_TotalForecast,Scenario,High Volume-7day Attachment Offloading-BESTLA,column_value
forecast_substrateBE_SSD_TotalForecast,Scenario,Low Volume,column_value
forecast_substrateBE_SSD_TotalForecast,Scenario,Low Volume BP Only,column_value
forecast_substrateBE_SSD_TotalForecast,Scenario,Low Volume No Efficiency,column_value
forecast_substrateBE_SSD_TotalForecast,Scenario,Low Volume With Efficiency,column_value
forecast_substrateBE_SSD_TotalForecast,Scenario,Low Volume Without Efficiency,column_value
forecast_substrateBE_SSD_TotalForecast,Scenario,Low Volume-30day Attachment Offloading,column_value
forecast_substrateBE_SSD_TotalForecast,Scenario,Low Volume-30day Attachment Offloading-BESTLA,column_value
forecast_substrateBE_SSD_TotalForecast,Scenario,Low Volume-7day Attachment Offloading,column_value
forecast_substrateBE_SSD_TotalForecast,Scenario,Low Volume-7day Attachment Offloading-BESTLA,column_value
forecast_substrateBE_SSD_TotalForecast,Scenario,Medium Volume,column_value
forecast_substrateBE_SSD_TotalForecast,Scenario,MSIT,column_value
forecast_substrateBE_cpu,CPU_type,consumed,column_value
forecast_substrateBE_cpu,CPU_type,failover,column_value
forecast_substrateBE_cpu_byDB_forest,Scenario,Consumed,column_value
forecast_substrateBE_cpu_byDB_forest,Scenario,Failover,column_value
forecast_substrateBE_cpu_byDB_region,Scenario,Consumed,column_value
forecast_substrateBE_cpu_byDB_region,Scenario,Failover,column_value
forecast_substrateBE_cpu_region,Scenario,Consumed,column_value
forecast_substrateBE_cpu_region,Scenario,Failover,column_value
forecast_substrateBE_hdd,data_type,Basilisk,column_value
forecast_substrateBE_hdd,data_type,consumer,column_value
forecast_substrateBE_hdd,data_type,Enterprise,column_value
forecast_substrateBE_hdd_region,Scenario,Basilisk,column_value
forecast_substrateBE_hdd_region,Scenario,Consumer,column_value
forecast_substrateBE_hdd_region,Scenario,Enterprise,column_value
forecast_substrateBE_iops,IOPS_type,consumed,column_value
forecast_substrateBE_iops,IOPS_type,failover,column_value
forecast_substrateBE_iops_region,Scenario,Consumed,column_value
forecast_substrateBE_iops_region,Scenario,Failover,column_value
SubstrateBE_SSD_Demand_History,NONE,,not_a_column
SubstrateBE_Ssd_PhoenixDB_ForecastForest,Scenario,,column_value
SubstrateBE_Ssd_PhoenixDB_ForecastRegion,Scenario,,column_value
SubstrateBE_Ssd_MCDB_ForecastRegion,Scenario,None,column_value
SubstrateBE_Ssd_MCDB_ForecastRegion,Scenario,,column_value
SubstrateBE_SsdForecastForestSKU,Scenario,,column_value
SubstrateBE_SsdForecastRegion,Scenario,None,column_value
SubstrateBE_SsdForecastRegion,Scenario,,column_value
forecast_substrateBE_hdd_region_metrics,NONE,,not_a_column
forecast_substrateBE_hdd_forest_metrics,NONE,,not_a_column
forecast_substrateBE_ssd_phx_lvwe_metrics,NONE,,not_a_column
forecast_substrateBE_ssd_phx_lvne_metrics,NONE,,not_a_column
