table_name,key_column,matching_rows,present
SubstrateBE_Ssd_MCDB_ForecastForestSKU,Key,292458,yes
forecast_substrateBE_SSD_Phoenix_Organic,Forest,4743,yes
forecast_substrateBE_SSD_TotalForecast,Key,178569,yes
forecast_substrateBE_cpu,Forest_SKU,556060,yes
forecast_substrateBE_cpu_byDB_forest,MyKey,282534,yes
forecast_substrateBE_cpu_byDB_region,MyKey,0,no
forecast_substrateBE_cpu_region,Key,0,no
forecast_substrateBE_hdd,forest_name,1247507,yes
forecast_substrateBE_hdd_region,Key,0,no
forecast_substrateBE_iops,Forest_SKU,364061,yes
forecast_substrateBE_iops_region,Key,0,no
SubstrateBE_SSD_Demand_History,Forest,460,yes
SubstrateBE_Ssd_PhoenixDB_ForecastForest,Key,15839,yes
SubstrateBE_Ssd_PhoenixDB_ForecastRegion,Key,0,no
SubstrateBE_Ssd_MCDB_ForecastRegion,Key,0,no
SubstrateBE_SsdForecastForestSKU,Key,17177,yes
SubstrateBE_SsdForecastRegion,Key,0,no
forecast_substrateBE_hdd_region_metrics,Key,0,no
forecast_substrateBE_hdd_forest_metrics,Key,120,yes
forecast_substrateBE_ssd_phx_lvwe_metrics,Key,120,yes
forecast_substrateBE_ssd_phx_lvne_metrics,Key,121,yes
