run_id,model_a,model_b,paired_entity_count,median_delta_mase,bootstrap_ci_low,bootstrap_ci_high,sign_test_p_value,bh_adjusted_p_value,practical_threshold,practically_meaningful,statistically_supported,comparison_status,created_timestamp
challenger_aggregation_significance,AutoARIMA,Theta,39,-1.019721283302374,-2.7746579435161607,1.9385120360019705,0.3367836351899314,0.3367836351899314,0.02,True,False,inconclusive,2026-06-13T17:27:28
challenger_aggregation_significance,AutoARIMA,ETS Explicit,39,0.7497809272234477,0.14472737175757722,1.4744137292101058,0.023702702470473014,0.029628378088091267,0.02,True,True,supported_difference,2026-06-13T17:27:28
challenger_aggregation_significance,AutoARIMA,LightGBM,39,-7.052125877318796,-11.551564641195625,-1.3578672335946926,0.009475304279476404,0.012920869472013279,0.02,True,True,supported_difference,2026-06-13T17:27:28
challenger_aggregation_significance,AutoARIMA,XGBoost,39,-3.7686509704458366,-8.227878444614355,-0.5453607437368642,0.05325191409792751,0.05705562224777948,0.02,True,False,inconclusive,2026-06-13T17:27:28
challenger_aggregation_significance,AutoARIMA,FastNeuralAR_MLP,39,-734.8057215578956,-1160.1228055969343,-480.3628940702334,3.637978807091713e-12,1.3642420526593924e-11,0.02,True,True,supported_difference,2026-06-13T17:27:28
challenger_aggregation_significance,Theta,ETS Explicit,39,1.5514579720782224,0.6563734315893366,3.8686053763198442,0.05325191409792751,0.05705562224777948,0.02,True,False,inconclusive,2026-06-13T17:27:28
challenger_aggregation_significance,Theta,LightGBM,39,-7.045044178994873,-11.449791120682399,-3.9225474909403317,2.4299079086631536e-06,6.074769771657884e-06,0.02,True,True,supported_difference,2026-06-13T17:27:28
challenger_aggregation_significance,Theta,XGBoost,39,-4.415703760957729,-6.564365851542483,-1.8408513416121934,0.0010650196345523,0.00159752945182845,0.02,True,True,supported_difference,2026-06-13T17:27:28
challenger_aggregation_significance,Theta,FastNeuralAR_MLP,39,-732.7846128129437,-1159.2604811748135,-518.3033213759521,3.637978807091713e-12,1.3642420526593924e-11,0.02,True,True,supported_difference,2026-06-13T17:27:28
challenger_aggregation_significance,ETS Explicit,LightGBM,39,-9.117174872209093,-11.88150199092327,-5.6513288308128455,7.025478407740593e-05,0.00013172772014513612,0.02,True,True,supported_difference,2026-06-13T17:27:28
challenger_aggregation_significance,ETS Explicit,XGBoost,39,-6.208169823268207,-9.777988604223175,-2.437566141935429,0.0010650196345523,0.00159752945182845,0.02,True,True,supported_difference,2026-06-13T17:27:28
challenger_aggregation_significance,ETS Explicit,FastNeuralAR_MLP,39,-734.963110910705,-1163.2842939783438,-472.497443987058,3.637978807091713e-12,1.3642420526593924e-11,0.02,True,True,supported_difference,2026-06-13T17:27:28
challenger_aggregation_significance,LightGBM,XGBoost,39,3.799890225829067,2.1171059455875625,4.9251633264044585,7.025478407740593e-05,0.00013172772014513612,0.02,True,True,supported_difference,2026-06-13T17:27:28
challenger_aggregation_significance,LightGBM,FastNeuralAR_MLP,39,-725.845936038496,-1151.725079700585,-524.477972083211,3.637978807091713e-12,1.3642420526593924e-11,0.02,True,True,supported_difference,2026-06-13T17:27:28
challenger_aggregation_significance,XGBoost,FastNeuralAR_MLP,39,-728.7549410874368,-1153.5063053741208,-518.779327862974,1.4551915228366852e-10,4.3655745685100555e-10,0.02,True,True,supported_difference,2026-06-13T17:27:28
