"path","size_bytes","category","excluded_reason","future_action"
"V6/data/storage/r6_phase1.duckdb","27013120","INTERMEDIATE_RUN_FILE","Over the 25 MB staging limit","Keep locally; back up externally if still needed"
"V6/outputs/metrics_multi/official_metrics_normalized.csv","16090429","INTERMEDIATE_RUN_FILE","Intermediate or binary run file; regenerable and not required for reconstruction","Keep locally; regenerate if required"
"V6/outputs/v6_0f_r5b_storage_performance_strategy/bench/r6_phase1.duckdb","24653824","INTERMEDIATE_RUN_FILE","Intermediate or binary run file; regenerable and not required for reconstruction","Keep locally; back up externally if still needed"
"V6/outputs/v6_0f_r6_phase1_governed_extraction/r6_phase1_forecast_hdd.csv","143882557","LARGE_DUPLICATE_CSV","Over the 25 MB staging limit","Delete after Parquet-only migration is approved"
"V6/outputs/v6_0f_r6_phase1_governed_extraction/r6_phase1_forecast_ssd_phoenix.csv","101351590","LARGE_DUPLICATE_CSV","Over the 25 MB staging limit","Delete after Parquet-only migration is approved"
"V6/outputs/v6_0f_r6_phase1_governed_extraction/r6_phase1_viewer_hdd.csv","196576818","LARGE_DUPLICATE_CSV","Over the 25 MB staging limit","Delete after Parquet-only migration is approved"
"V6/outputs/v6_16_five_case_viewer_uiux_lab/forecast_forward_outputs_v6_16_pilot.csv","20780070","INTERMEDIATE_RUN_FILE","Intermediate or binary run file; regenerable and not required for reconstruction","Keep locally; regenerate if required"
"V6/outputs/v6_17_full_multimetric_productive_artifact_generation/forecast_forward_outputs_v6_17_full.csv","255243976","LARGE_DUPLICATE_CSV","Over the 25 MB staging limit","Delete after Parquet-only migration is approved"
"V6/outputs/v6_17_full_multimetric_productive_artifact_generation/forecast_viewer_model_outputs_v2_full.csv","689512463","LARGE_DUPLICATE_CSV","Over the 25 MB staging limit","Delete after Parquet-only migration is approved"
"V6/outputs/v6_17_full_multimetric_productive_artifact_generation/phase_a_console.log","39866055","INTERMEDIATE_RUN_FILE","Over the 25 MB staging limit","Keep locally; regenerate if required"
"V6/outputs/v6_17_full_multimetric_productive_artifact_generation/v6_17_model_fit_log.csv","10393378","INTERMEDIATE_RUN_FILE","Intermediate or binary run file; regenerable and not required for reconstruction","Keep locally; regenerate if required"
"V6/outputs/v6_17_full_multimetric_productive_artifact_generation/viewer_backtest_phase_a_nonneural.csv","499976685","LARGE_DUPLICATE_CSV","Over the 25 MB staging limit","Delete after Parquet-only migration is approved"
"V6/outputs/v6_17_full_multimetric_productive_artifact_generation/viewer_backtest_phase_b_neural.csv","125753909","LARGE_DUPLICATE_CSV","Over the 25 MB staging limit","Delete after Parquet-only migration is approved"
