"path","size_bytes","ignored_by_git","used_by","risk","recommended_future_action","notes"
"V6/data/processed/ (whole folder)",144682147,"YES","Accuracy, TTL, legacy forecast helpers, governed downloads","HIGH: 24 files and about 138 MiB of live dashboard input are invisible to Git and are not protected by this checkpoint or by the bundle.","OWNER_DECISION: A un-ignore selected small stable artifacts | B keep ignored and create an external backup | C migrate required runtime data into governed Parquet or metadata outputs | D temporarily accept the risk","Ignored by rule data/processed/ at V6/.gitignore line 4."
"V6/data/processed/forecast_viewer_model_outputs.csv",51467614,"YES","Accuracy page via acc_data and load_csv_artifact forecast_viewer_full","HIGH: sole input for the Accuracy page; 204300 rows, 39 series keys, 15 models.","Covered by the V6.20 Accuracy decision V620-D001","Losing this file empties Accuracy silently because the loader fails soft."
"V6/data/processed/forecasts_with_intervals_relative_60d_calibrated.csv",20847730,"YES","Legacy interval helpers","MEDIUM: not consumed by the live Viewer or Forecast providers.","Back up externally or accept regeneration","Related to the deferred interval decision."
"V6/data/processed/forecasts_with_intervals_relative.csv",20033057,"YES","Legacy interval helpers","MEDIUM","Back up externally or accept regeneration",""
"V6/data/processed/forecasts_with_intervals_relative_60d.csv",19904436,"YES","Legacy interval helpers","MEDIUM","Back up externally or accept regeneration",""
"V6/data/processed/forecasts_with_intervals.csv",12516890,"YES","Legacy interval helpers","MEDIUM","Back up externally or accept regeneration",""
"V6/data/processed/forecasts.csv",8559916,"YES","Legacy forecast helpers and TTL demand","MEDIUM","Back up externally","Superseded in the live UI by forecast_pilot."
"V6/data/processed/actuals.csv",7359186,"YES","Legacy actuals helpers and TTL demand","MEDIUM","Back up externally","Not used by the live Viewer or Forecast providers."
"V6/data/processed/forecast_viewer_model_outputs_pilot.csv",3573931,"YES","Legacy pilot helpers","LOW","Accept risk",""
"V6/data/processed/ttl_supply_demand_timeseries.csv",323211,"YES","TTL page","MEDIUM: TTL has no V6.17 replacement input.","Back up externally","Small and stable; a good candidate for option A."
"V6/data/processed/ttl_months_to_live_snapshot.csv",13247,"YES","TTL page","MEDIUM: TTL has no V6.17 replacement input.","Back up externally","Small and stable; a good candidate for option A."
"V6/data/processed/ (remaining small governance CSVs)",1000000,"YES","Model universe, champion, tournament, risk, audit and download specs","MEDIUM: several governed download targets live here.","Option A is the cheapest fix for these","Includes model_universe_canonical.csv and manifest and sample files."
