"path","size_bytes","category","staged","reason"
"V6/config/metric_registry.csv","6788","CONFIG","YES","Explicitly staged: under the 25 MB limit, inside V6, required to reconstruct the current state"
"V6/data/storage/ui_metadata/available_keys.csv","48052","GOVERNANCE_CSV_MD","YES","Explicitly staged: under the 25 MB limit, inside V6, required to reconstruct the current state"
"V6/data/storage/ui_metadata/available_model_types.csv","8227","GOVERNANCE_CSV_MD","YES","Explicitly staged: under the 25 MB limit, inside V6, required to reconstruct the current state"
"V6/data/storage/ui_metadata/available_scenarios.csv","599","GOVERNANCE_CSV_MD","YES","Explicitly staged: under the 25 MB limit, inside V6, required to reconstruct the current state"
"V6/data/storage/ui_metadata/available_versions.csv","1136","GOVERNANCE_CSV_MD","YES","Explicitly staged: under the 25 MB limit, inside V6, required to reconstruct the current state"
"V6/data/storage/ui_metadata/scenario_registry.csv","5628","GOVERNANCE_CSV_MD","YES","Explicitly staged: under the 25 MB limit, inside V6, required to reconstruct the current state"
"V6/outputs/V6_0F_WORK_RECOVERY_AND_STATUS.md","9488","GOVERNANCE_CSV_MD","YES","Explicitly staged: under the 25 MB limit, inside V6, required to reconstruct the current state"
"V6/outputs/metrics_multi/assistant_metric_context.csv","637782","GOVERNANCE_CSV_MD","YES","Explicitly staged: under the 25 MB limit, inside V6, required to reconstruct the current state"
"V6/outputs/metrics_multi/metric_assistant_evidence_pack.json","20517","SMALL_METADATA","YES","Explicitly staged: under the 25 MB limit, inside V6, required to reconstruct the current state"
"V6/outputs/metrics_multi/metric_availability_status.csv","4888","GOVERNANCE_CSV_MD","YES","Explicitly staged: under the 25 MB limit, inside V6, required to reconstruct the current state"
"V6/outputs/metrics_multi/metric_computability_status.csv","4517","GOVERNANCE_CSV_MD","YES","Explicitly staged: under the 25 MB limit, inside V6, required to reconstruct the current state"
"V6/outputs/metrics_multi/metric_data_quality_checks.csv","9707","GOVERNANCE_CSV_MD","YES","Explicitly staged: under the 25 MB limit, inside V6, required to reconstruct the current state"
"V6/outputs/metrics_multi/metric_filter_options.csv","384401","GOVERNANCE_CSV_MD","YES","Explicitly staged: under the 25 MB limit, inside V6, required to reconstruct the current state"
"V6/outputs/metrics_multi/metric_registry_resolved.csv","6096","GOVERNANCE_CSV_MD","YES","Explicitly staged: under the 25 MB limit, inside V6, required to reconstruct the current state"
"V6/outputs/metrics_multi/metric_source_lineage.csv","4259","GOVERNANCE_CSV_MD","YES","Explicitly staged: under the 25 MB limit, inside V6, required to reconstruct the current state"
"V6/outputs/metrics_multi/official_metric_rankings.csv","322044","GOVERNANCE_CSV_MD","YES","Explicitly staged: under the 25 MB limit, inside V6, required to reconstruct the current state"
"V6/outputs/v6_0c_multi_metric_scope_diagnosis/hdd_baseline_freeze.csv","4683","GOVERNANCE_CSV_MD","YES","Explicitly staged: under the 25 MB limit, inside V6, required to reconstruct the current state"
"V6/outputs/v6_0c_multi_metric_scope_diagnosis/metric_unit_contract.csv","1944","GOVERNANCE_CSV_MD","YES","Explicitly staged: under the 25 MB limit, inside V6, required to reconstruct the current state"
"V6/outputs/v6_0c_multi_metric_scope_diagnosis/v6_0c_closure_summary.md","3189","GOVERNANCE_CSV_MD","YES","Explicitly staged: under the 25 MB limit, inside V6, required to reconstruct the current state"
"V6/outputs/v6_0c_multi_metric_scope_diagnosis/v6_0c_computability_matrix.csv","2940","GOVERNANCE_CSV_MD","YES","Explicitly staged: under the 25 MB limit, inside V6, required to reconstruct the current state"
"V6/outputs/v6_0c_multi_metric_scope_diagnosis/v6_0c_current_pipeline_defect_report.md","6452","GOVERNANCE_CSV_MD","YES","Explicitly staged: under the 25 MB limit, inside V6, required to reconstruct the current state"
