"column","type","required","description"
"entity_key","string",TRUE,"Stable entity/series key (join key)"
"entity_label","string",FALSE,"Human-readable series label"
"model_name","string",TRUE,"Model identifier (multiple rows per entity)"
"model_origin","string",FALSE,"baseline | challenger | benchmark"
"model_family","string",FALSE,"statistical | ml | deep_learning | naive"
"forecast_date","date",TRUE,"Date the forecast was issued (origin)"
"target_date","date",TRUE,"Date being forecast"
"actual_value","double",FALSE,"Observed actual at target_date (NA for pure-future)"
"forecast_value","double",TRUE,"Forecast point value"
"horizon_days","integer",FALSE,"target_date - forecast_date in days"
"run_id","string",FALSE,"Run/execution identifier for provenance"
"source_artifact","string",TRUE,"Originating governed artifact path"
