"entity_key","total_models","baseline_models","challenger_models","families","has_statistical","has_machine_learning","has_growth_baseline","has_lightweight_neural","has_deep_learning","min_date","max_date"
"APC-Dedicated",13,7,6,"growth_baseline | lightweight_neural | machine_learning | statistical",TRUE,TRUE,TRUE,TRUE,FALSE,"2025-05-03","2026-04-27"
"APC-MSIT",13,7,6,"growth_baseline | lightweight_neural | machine_learning | statistical",TRUE,TRUE,TRUE,TRUE,FALSE,"2025-05-03","2026-04-27"
"APC-Multitenant",13,7,6,"growth_baseline | lightweight_neural | machine_learning | statistical",TRUE,TRUE,TRUE,TRUE,FALSE,"2025-05-03","2026-04-27"
"ARE-Go Local",13,7,6,"growth_baseline | lightweight_neural | machine_learning | statistical",TRUE,TRUE,TRUE,TRUE,FALSE,"2025-05-03","2026-04-27"
"AUS-Go Local",13,7,6,"growth_baseline | lightweight_neural | machine_learning | statistical",TRUE,TRUE,TRUE,TRUE,FALSE,"2025-05-03","2026-04-27"
"BRA-Go Local",13,7,6,"growth_baseline | lightweight_neural | machine_learning | statistical",TRUE,TRUE,TRUE,TRUE,FALSE,"2025-05-03","2026-04-27"
"CAN-Go Local",13,7,6,"growth_baseline | lightweight_neural | machine_learning | statistical",TRUE,TRUE,TRUE,TRUE,FALSE,"2025-05-03","2026-04-27"
"CHE-Go Local",13,7,6,"growth_baseline | lightweight_neural | machine_learning | statistical",TRUE,TRUE,TRUE,TRUE,FALSE,"2025-05-03","2026-04-27"
"DEU-Go Local",13,7,6,"growth_baseline | lightweight_neural | machine_learning | statistical",TRUE,TRUE,TRUE,TRUE,FALSE,"2025-05-03","2026-04-27"
"ESP-Go Local",13,7,6,"growth_baseline | lightweight_neural | machine_learning | statistical",TRUE,TRUE,TRUE,TRUE,FALSE,"2025-05-03","2026-04-27"
"EUR-Dedicated",13,7,6,"growth_baseline | lightweight_neural | machine_learning | statistical",TRUE,TRUE,TRUE,TRUE,FALSE,"2025-05-03","2026-04-27"
"EUR-MSIT",13,7,6,"growth_baseline | lightweight_neural | machine_learning | statistical",TRUE,TRUE,TRUE,TRUE,FALSE,"2025-05-03","2026-04-27"
"EUR-Multitenant",13,7,6,"growth_baseline | lightweight_neural | machine_learning | statistical",TRUE,TRUE,TRUE,TRUE,FALSE,"2025-05-03","2026-04-27"
"FRA-Go Local",13,7,6,"growth_baseline | lightweight_neural | machine_learning | statistical",TRUE,TRUE,TRUE,TRUE,FALSE,"2025-05-03","2026-04-27"
"GBR-Dedicated",13,7,6,"growth_baseline | lightweight_neural | machine_learning | statistical",TRUE,TRUE,TRUE,TRUE,FALSE,"2025-05-03","2026-04-27"
"GBR-Go Local",13,7,6,"growth_baseline | lightweight_neural | machine_learning | statistical",TRUE,TRUE,TRUE,TRUE,FALSE,"2025-05-03","2026-04-27"
"IND-Go Local",13,7,6,"growth_baseline | lightweight_neural | machine_learning | statistical",TRUE,TRUE,TRUE,TRUE,FALSE,"2025-05-03","2026-04-27"
"ISR-Go Local",13,7,6,"growth_baseline | lightweight_neural | machine_learning | statistical",TRUE,TRUE,TRUE,TRUE,FALSE,"2025-05-03","2026-04-27"
"ITA-Go Local",13,7,6,"growth_baseline | lightweight_neural | machine_learning | statistical",TRUE,TRUE,TRUE,TRUE,FALSE,"2025-05-03","2026-04-27"
"JPN-Go Local",13,7,6,"growth_baseline | lightweight_neural | machine_learning | statistical",TRUE,TRUE,TRUE,TRUE,FALSE,"2025-05-03","2026-04-27"
"KOR-Go Local",13,7,6,"growth_baseline | lightweight_neural | machine_learning | statistical",TRUE,TRUE,TRUE,TRUE,FALSE,"2025-05-03","2026-04-27"
"LAM-Multitenant",13,7,6,"growth_baseline | lightweight_neural | machine_learning | statistical",TRUE,TRUE,TRUE,TRUE,FALSE,"2025-05-03","2026-04-27"
"MEX-Go Local",13,7,6,"growth_baseline | lightweight_neural | machine_learning | statistical",TRUE,TRUE,TRUE,TRUE,FALSE,"2025-05-03","2026-04-27"
"NAM-Dedicated",13,7,6,"growth_baseline | lightweight_neural | machine_learning | statistical",TRUE,TRUE,TRUE,TRUE,FALSE,"2025-05-03","2026-04-27"
"NAM-GCC Low",13,7,6,"growth_baseline | lightweight_neural | machine_learning | statistical",TRUE,TRUE,TRUE,TRUE,FALSE,"2025-05-03","2026-04-27"
"NAM-ITAR DoD",13,7,6,"growth_baseline | lightweight_neural | machine_learning | statistical",TRUE,TRUE,TRUE,TRUE,FALSE,"2025-05-03","2026-04-27"
"NAM-ITAR GCCH",13,7,6,"growth_baseline | lightweight_neural | machine_learning | statistical",TRUE,TRUE,TRUE,TRUE,FALSE,"2025-05-03","2026-04-27"
"NAM-MSIT",13,7,6,"growth_baseline | lightweight_neural | machine_learning | statistical",TRUE,TRUE,TRUE,TRUE,FALSE,"2025-05-03","2026-04-27"
"NAM-Multitenant",13,7,6,"growth_baseline | lightweight_neural | machine_learning | statistical",TRUE,TRUE,TRUE,TRUE,FALSE,"2025-05-03","2026-04-27"
"NAM-SDF",13,7,6,"growth_baseline | lightweight_neural | machine_learning | statistical",TRUE,TRUE,TRUE,TRUE,FALSE,"2025-05-03","2026-04-27"
"NAM-TDF",13,7,6,"growth_baseline | lightweight_neural | machine_learning | statistical",TRUE,TRUE,TRUE,TRUE,FALSE,"2025-05-03","2026-04-27"
"NOR-Go Local",13,7,6,"growth_baseline | lightweight_neural | machine_learning | statistical",TRUE,TRUE,TRUE,TRUE,FALSE,"2025-05-03","2026-04-27"
"NZL-Go Local",13,7,6,"growth_baseline | lightweight_neural | machine_learning | statistical",TRUE,TRUE,TRUE,TRUE,FALSE,"2025-09-30","2026-04-27"
"POL-Go Local",13,7,6,"growth_baseline | lightweight_neural | machine_learning | statistical",TRUE,TRUE,TRUE,TRUE,FALSE,"2025-05-03","2026-04-27"
"QAT-Go Local",13,7,6,"growth_baseline | lightweight_neural | machine_learning | statistical",TRUE,TRUE,TRUE,TRUE,FALSE,"2025-05-03","2026-04-27"
"SGP-Go Local",13,7,6,"growth_baseline | lightweight_neural | machine_learning | statistical",TRUE,TRUE,TRUE,TRUE,FALSE,"2025-05-03","2026-04-27"
"SWE-Go Local",13,7,6,"growth_baseline | lightweight_neural | machine_learning | statistical",TRUE,TRUE,TRUE,TRUE,FALSE,"2025-05-03","2026-04-27"
"TWN-Go Local",13,7,6,"growth_baseline | lightweight_neural | machine_learning | statistical",TRUE,TRUE,TRUE,TRUE,FALSE,"2025-09-30","2026-04-27"
"ZAF-Go Local",13,7,6,"growth_baseline | lightweight_neural | machine_learning | statistical",TRUE,TRUE,TRUE,TRUE,FALSE,"2025-05-03","2026-04-27"
