series_id,metric,scenario,granularity,key,signal_quality_status,champion_model,champion_validity,primary_rank_metric,primary_rank_value,runner_up_model,runner_up_value,previous_champion_p6,champion_changed
CPU__Consumed__Region__APC-Multitenant,CPU,Consumed,Region,APC-Multitenant,SIGNAL_PRESENT,FixedGrowth_1_5,MEANINGFUL_ACCURACY_RANKING,wape,0.03915818,LinearRegression,0.03942587,FixedGrowth_1_5,FALSE
CPU__Consumed__Region__ARE-Go-Local,CPU,Consumed,Region,ARE-Go Local,SIGNAL_PRESENT,AutoARIMA,MEANINGFUL_ACCURACY_RANKING,wape,0.03388934,FixedGrowth_1_5,0.03635576,AutoARIMA,FALSE
CPU__Consumed__Region__AUS-Go-Local,CPU,Consumed,Region,AUS-Go Local,SIGNAL_PRESENT,AutoARIMA,MEANINGFUL_ACCURACY_RANKING,wape,0.04667106,Theta,0.04712093,AutoARIMA,FALSE
CPU__Consumed__Region__BRA-Go-Local,CPU,Consumed,Region,BRA-Go Local,SIGNAL_PRESENT,LightGBM,MEANINGFUL_ACCURACY_RANKING,wape,0.04788514,FixedGrowth_4,0.05063795,LightGBM,FALSE
CPU__Consumed__Region__CAN-Go-Local,CPU,Consumed,Region,CAN-Go Local,SIGNAL_PRESENT,LightGBM,MEANINGFUL_ACCURACY_RANKING,wape,0.04223048,XGBoost,0.04677739,LightGBM,FALSE
CPU__Consumed__Region__CHE-Go-Local,CPU,Consumed,Region,CHE-Go Local,SIGNAL_PRESENT,LightGBM,MEANINGFUL_ACCURACY_RANKING,wape,0.06911428,NLIN-DLIN_FIXED,0.0789951,LightGBM,FALSE
CPU__Consumed__Region__CHN-Gallatin,CPU,Consumed,Region,CHN-Gallatin,SIGNAL_PRESENT,XGBoost,MEANINGFUL_ACCURACY_RANKING,wape,0.05194697,LinearRegression,0.05603714,XGBoost,FALSE
CPU__Consumed__Region__DEU-Go-Local,CPU,Consumed,Region,DEU-Go Local,SIGNAL_PRESENT,XGBoost,MEANINGFUL_ACCURACY_RANKING,wape,0.05385649,FixedGrowth_1_5,0.06213059,XGBoost,FALSE
CPU__Consumed__Region__EUR-MSIT,CPU,Consumed,Region,EUR-MSIT,SIGNAL_PRESENT,LinearRegression,MEANINGFUL_ACCURACY_RANKING,wape,0.09374922,XGBoost,0.09422577,LinearRegression,FALSE
CPU__Consumed__Region__FRA-Go-Local,CPU,Consumed,Region,FRA-Go Local,SIGNAL_PRESENT,NLIN-DLIN_FIXED,MEANINGFUL_ACCURACY_RANKING,wape,0.0416385,LightGBM,0.0465159,NLIN-DLIN_FIXED,FALSE
CPU__Failover__Region__APC-Multitenant,CPU,Failover,Region,APC-Multitenant,SIGNAL_PRESENT,FixedGrowth_1_5,MEANINGFUL_ACCURACY_RANKING,wape,0.05958838,AutoARIMA,0.06011818,FixedGrowth_1_5,FALSE
