series_id,metric,signal_quality_status,champion_model,champion_mae,n_models_with_min_mae,min_mae,champion_has_min_mae,tie_break_applied,tie_break_winner_expected,champion_validity,champion_reason,fnar_v2_is_champion,result
HDD__Basilisk__NA__Forest__apcp150,HDD,NO_SIGNAL_ALL_ZERO_ACTUALS,ETS Explicit,0.0,13,0.0,TRUE,TRUE,ETS Explicit,NOT_MEANINGFUL_NO_SIGNAL,NO_SIGNAL_ALL_ZERO_ACTUALS_TECHNICAL_TIE_BREAK,FALSE,PASS
HDD__Basilisk__NA__Forest__chnpr01,HDD,NO_SIGNAL_ALL_ZERO_ACTUALS,ETS Explicit,0.0,13,0.0,TRUE,TRUE,ETS Explicit,NOT_MEANINGFUL_NO_SIGNAL,NO_SIGNAL_ALL_ZERO_ACTUALS_TECHNICAL_TIE_BREAK,FALSE,PASS
HDD__Basilisk__NA__Forest__eurp180,HDD,NO_SIGNAL_ALL_ZERO_ACTUALS,ETS Explicit,0.0,13,0.0,TRUE,TRUE,ETS Explicit,NOT_MEANINGFUL_NO_SIGNAL,NO_SIGNAL_ALL_ZERO_ACTUALS_TECHNICAL_TIE_BREAK,FALSE,PASS
HDD__Basilisk__NA__Forest__namp157,HDD,NO_SIGNAL_ALL_ZERO_ACTUALS,ETS Explicit,0.0,13,0.0,TRUE,TRUE,ETS Explicit,NOT_MEANINGFUL_NO_SIGNAL,NO_SIGNAL_ALL_ZERO_ACTUALS_TECHNICAL_TIE_BREAK,FALSE,PASS
HDD__Basilisk__NA__Region__ITA-Go-Local,HDD,NO_SIGNAL_ALL_ZERO_ACTUALS,ETS Explicit,0.0,13,0.0,TRUE,TRUE,ETS Explicit,NOT_MEANINGFUL_NO_SIGNAL,NO_SIGNAL_ALL_ZERO_ACTUALS_TECHNICAL_TIE_BREAK,FALSE,PASS
HDD__Basilisk__NA__Region__chl-Go-Local,HDD,NO_SIGNAL_ALL_ZERO_ACTUALS,ETS Explicit,0.0,13,0.0,TRUE,TRUE,ETS Explicit,NOT_MEANINGFUL_NO_SIGNAL,NO_SIGNAL_ALL_ZERO_ACTUALS_TECHNICAL_TIE_BREAK,FALSE,PASS
HDD__Basilisk__NA__Region__nam-ITAR-GCCH,HDD,NO_SIGNAL_ALL_ZERO_ACTUALS,ETS Explicit,0.0,13,0.0,TRUE,TRUE,ETS Explicit,NOT_MEANINGFUL_NO_SIGNAL,NO_SIGNAL_ALL_ZERO_ACTUALS_TECHNICAL_TIE_BREAK,FALSE,PASS
HDD__Basilisk__NA__Region__nzl-Go-Local,HDD,NO_SIGNAL_ALL_ZERO_ACTUALS,ETS Explicit,0.0,13,0.0,TRUE,TRUE,ETS Explicit,NOT_MEANINGFUL_NO_SIGNAL,NO_SIGNAL_ALL_ZERO_ACTUALS_TECHNICAL_TIE_BREAK,FALSE,PASS
HDD__EDB__Consumer__Forest__EURP179,HDD,NO_SIGNAL_ALL_ZERO_ACTUALS,ETS Explicit,0.0,13,0.0,TRUE,TRUE,ETS Explicit,NOT_MEANINGFUL_NO_SIGNAL,NO_SIGNAL_ALL_ZERO_ACTUALS_TECHNICAL_TIE_BREAK,FALSE,PASS
HDD__EDB__Consumer__Forest__EURP309,HDD,NO_SIGNAL_ALL_ZERO_ACTUALS,ETS Explicit,0.0,13,0.0,TRUE,TRUE,ETS Explicit,NOT_MEANINGFUL_NO_SIGNAL,NO_SIGNAL_ALL_ZERO_ACTUALS_TECHNICAL_TIE_BREAK,FALSE,PASS
HDD__EDB__Consumer__Forest__NAMP115,HDD,NO_SIGNAL_ALL_ZERO_ACTUALS,ETS Explicit,0.0,13,0.0,TRUE,TRUE,ETS Explicit,NOT_MEANINGFUL_NO_SIGNAL,NO_SIGNAL_ALL_ZERO_ACTUALS_TECHNICAL_TIE_BREAK,FALSE,PASS
HDD__EDB__Consumer__Forest__NAMP159,HDD,NO_SIGNAL_ALL_ZERO_ACTUALS,ETS Explicit,0.0,13,0.0,TRUE,TRUE,ETS Explicit,NOT_MEANINGFUL_NO_SIGNAL,NO_SIGNAL_ALL_ZERO_ACTUALS_TECHNICAL_TIE_BREAK,FALSE,PASS
HDD__EDB__Consumer__Region__EUR-Dedicated,HDD,NO_SIGNAL_ALL_ZERO_ACTUALS,ETS Explicit,0.0,13,0.0,TRUE,TRUE,ETS Explicit,NOT_MEANINGFUL_NO_SIGNAL,NO_SIGNAL_ALL_ZERO_ACTUALS_TECHNICAL_TIE_BREAK,FALSE,PASS
HDD__EDB__Consumer__Region__IDN-Go-Local,HDD,NO_SIGNAL_ALL_ZERO_ACTUALS,ETS Explicit,0.0,13,0.0,TRUE,TRUE,ETS Explicit,NOT_MEANINGFUL_NO_SIGNAL,NO_SIGNAL_ALL_ZERO_ACTUALS_TECHNICAL_TIE_BREAK,FALSE,PASS
HDD__EDB__Consumer__Region__NAM-ITAR-DoD,HDD,NO_SIGNAL_ALL_ZERO_ACTUALS,ETS Explicit,0.0,13,0.0,TRUE,TRUE,ETS Explicit,NOT_MEANINGFUL_NO_SIGNAL,NO_SIGNAL_ALL_ZERO_ACTUALS_TECHNICAL_TIE_BREAK,FALSE,PASS
