series_id,metric,previous_champion,corrected_champion,champion_changed,previous_champion_validity,corrected_champion_validity,signal_quality_status,previous_primary_rank_metric,corrected_primary_rank_metric,previous_primary_rank_value,corrected_primary_rank_value,previous_champion_mae,corrected_champion_mae,mae_improvement,reason_for_change
HDD__Basilisk__NA__Forest__apcp150,HDD,FNAR-V2,ETS Explicit,TRUE,NOT_RECORDED_BY_P6,NOT_MEANINGFUL_NO_SIGNAL,NO_SIGNAL_ALL_ZERO_ACTUALS,smape,mae,2.0,0.0,0.082049355,0.0,0.082049355,"P6 ranked metric AVAILABILITY above accuracy: it preferred a model with a computable smape over models with lower mae. P6C resolves the metric sequence once per series, so only comparable numbers are compared."
HDD__Basilisk__NA__Forest__chnpr01,HDD,FNAR-V2,ETS Explicit,TRUE,NOT_RECORDED_BY_P6,NOT_MEANINGFUL_NO_SIGNAL,NO_SIGNAL_ALL_ZERO_ACTUALS,smape,mae,2.0,0.0,0.082049355,0.0,0.082049355,"P6 ranked metric AVAILABILITY above accuracy: it preferred a model with a computable smape over models with lower mae. P6C resolves the metric sequence once per series, so only comparable numbers are compared."
HDD__Basilisk__NA__Forest__eurp180,HDD,FNAR-V2,ETS Explicit,TRUE,NOT_RECORDED_BY_P6,NOT_MEANINGFUL_NO_SIGNAL,NO_SIGNAL_ALL_ZERO_ACTUALS,smape,mae,2.0,0.0,0.082049355,0.0,0.082049355,"P6 ranked metric AVAILABILITY above accuracy: it preferred a model with a computable smape over models with lower mae. P6C resolves the metric sequence once per series, so only comparable numbers are compared."
HDD__Basilisk__NA__Forest__namp157,HDD,FNAR-V2,ETS Explicit,TRUE,NOT_RECORDED_BY_P6,NOT_MEANINGFUL_NO_SIGNAL,NO_SIGNAL_ALL_ZERO_ACTUALS,smape,mae,2.0,0.0,0.082049355,0.0,0.082049355,"P6 ranked metric AVAILABILITY above accuracy: it preferred a model with a computable smape over models with lower mae. P6C resolves the metric sequence once per series, so only comparable numbers are compared."
HDD__Basilisk__NA__Region__ITA-Go-Local,HDD,FNAR-V2,ETS Explicit,TRUE,NOT_RECORDED_BY_P6,NOT_MEANINGFUL_NO_SIGNAL,NO_SIGNAL_ALL_ZERO_ACTUALS,smape,mae,2.0,0.0,0.082049355,0.0,0.082049355,"P6 ranked metric AVAILABILITY above accuracy: it preferred a model with a computable smape over models with lower mae. P6C resolves the metric sequence once per series, so only comparable numbers are compared."
HDD__Basilisk__NA__Region__chl-Go-Local,HDD,FNAR-V2,ETS Explicit,TRUE,NOT_RECORDED_BY_P6,NOT_MEANINGFUL_NO_SIGNAL,NO_SIGNAL_ALL_ZERO_ACTUALS,smape,mae,2.0,0.0,0.082049355,0.0,0.082049355,"P6 ranked metric AVAILABILITY above accuracy: it preferred a model with a computable smape over models with lower mae. P6C resolves the metric sequence once per series, so only comparable numbers are compared."
HDD__Basilisk__NA__Region__nam-ITAR-GCCH,HDD,FNAR-V2,ETS Explicit,TRUE,NOT_RECORDED_BY_P6,NOT_MEANINGFUL_NO_SIGNAL,NO_SIGNAL_ALL_ZERO_ACTUALS,smape,mae,2.0,0.0,0.082049355,0.0,0.082049355,"P6 ranked metric AVAILABILITY above accuracy: it preferred a model with a computable smape over models with lower mae. P6C resolves the metric sequence once per series, so only comparable numbers are compared."
HDD__Basilisk__NA__Region__nzl-Go-Local,HDD,FNAR-V2,ETS Explicit,TRUE,NOT_RECORDED_BY_P6,NOT_MEANINGFUL_NO_SIGNAL,NO_SIGNAL_ALL_ZERO_ACTUALS,smape,mae,2.0,0.0,0.082049355,0.0,0.082049355,"P6 ranked metric AVAILABILITY above accuracy: it preferred a model with a computable smape over models with lower mae. P6C resolves the metric sequence once per series, so only comparable numbers are compared."
HDD__EDB__Consumer__Forest__EURP179,HDD,FNAR-V2,ETS Explicit,TRUE,NOT_RECORDED_BY_P6,NOT_MEANINGFUL_NO_SIGNAL,NO_SIGNAL_ALL_ZERO_ACTUALS,smape,mae,2.0,0.0,0.118138106,0.0,0.118138106,"P6 ranked metric AVAILABILITY above accuracy: it preferred a model with a computable smape over models with lower mae. P6C resolves the metric sequence once per series, so only comparable numbers are compared."
HDD__EDB__Consumer__Forest__EURP309,HDD,FNAR-V2,ETS Explicit,TRUE,NOT_RECORDED_BY_P6,NOT_MEANINGFUL_NO_SIGNAL,NO_SIGNAL_ALL_ZERO_ACTUALS,smape,mae,2.0,0.0,0.118911785,0.0,0.118911785,"P6 ranked metric AVAILABILITY above accuracy: it preferred a model with a computable smape over models with lower mae. P6C resolves the metric sequence once per series, so only comparable numbers are compared."
