cohort_id,series_id,metric,db_type,scenario,segment,granularity,key,route_path,model_name,model_family,primary_rank_metric,primary_rank_value,secondary_rank_metric,secondary_rank_value,tertiary_rank_metric,tertiary_rank_value,tie_breaker_metric,tie_breaker_value,rank_within_series,is_series_champion,champion_reason,n_backtest_rows,negative_prediction_count,extreme_ratio_count,source_generation_status,caveat
V6_24_MVP_0101,CPU__Consumed__Region__APC-Multitenant,CPU,UNKNOWN_SOURCE_DOES_NOT_CARRY_DBTYPE,Consumed,NOT_APPLICABLE,Region,APC-Multitenant,CPU|Organic|Consumed|Region,FixedGrowth_1_5,Baseline,wape,0.03915818146559877,smape,0.03944915129956143,rmse,26847.821632313426,mae,21023.605790702433,1,TRUE,Lowest wape among all 15 governed models for this series,300,0,0,GENERATED_P5,"STALE_ACTUALS_SOURCE, latest date 2023-07-20; 15 governed model backtests DO NOT exist yet; must be generated in P5"
V6_24_MVP_0101,CPU__Consumed__Region__APC-Multitenant,CPU,UNKNOWN_SOURCE_DOES_NOT_CARRY_DBTYPE,Consumed,NOT_APPLICABLE,Region,APC-Multitenant,CPU|Organic|Consumed|Region,LinearRegression,Baseline,wape,0.03942586663853449,smape,0.040136394729640416,rmse,26312.536868439463,mae,21167.32307636752,2,FALSE,NOT_CHAMPION,300,0,0,GENERATED_P5,"STALE_ACTUALS_SOURCE, latest date 2023-07-20; 15 governed model backtests DO NOT exist yet; must be generated in P5"
V6_24_MVP_0101,CPU__Consumed__Region__APC-Multitenant,CPU,UNKNOWN_SOURCE_DOES_NOT_CARRY_DBTYPE,Consumed,NOT_APPLICABLE,Region,APC-Multitenant,CPU|Organic|Consumed|Region,AutoARIMA,Challenger,wape,0.03954126368237802,smape,0.04000852380058394,rmse,27126.078872708404,mae,21229.278506072806,3,FALSE,NOT_CHAMPION,300,0,0,GENERATED_P5,"STALE_ACTUALS_SOURCE, latest date 2023-07-20; 15 governed model backtests DO NOT exist yet; must be generated in P5"
V6_24_MVP_0101,CPU__Consumed__Region__APC-Multitenant,CPU,UNKNOWN_SOURCE_DOES_NOT_CARRY_DBTYPE,Consumed,NOT_APPLICABLE,Region,APC-Multitenant,CPU|Organic|Consumed|Region,Theta,Challenger,wape,0.03992338744688618,smape,0.04026916839606481,rmse,27205.90878751632,mae,21434.436638743915,4,FALSE,NOT_CHAMPION,300,0,0,GENERATED_P5,"STALE_ACTUALS_SOURCE, latest date 2023-07-20; 15 governed model backtests DO NOT exist yet; must be generated in P5"
V6_24_MVP_0101,CPU__Consumed__Region__APC-Multitenant,CPU,UNKNOWN_SOURCE_DOES_NOT_CARRY_DBTYPE,Consumed,NOT_APPLICABLE,Region,APC-Multitenant,CPU|Organic|Consumed|Region,NLIN-DLIN_FIXED,Neural,wape,0.040559271987819924,smape,0.04114057249560015,rmse,26432.288760088133,mae,21775.83619859675,5,FALSE,NOT_CHAMPION,300,0,0,GENERATED_P5,"STALE_ACTUALS_SOURCE, latest date 2023-07-20; 15 governed model backtests DO NOT exist yet; must be generated in P5"
V6_24_MVP_0101,CPU__Consumed__Region__APC-Multitenant,CPU,UNKNOWN_SOURCE_DOES_NOT_CARRY_DBTYPE,Consumed,NOT_APPLICABLE,Region,APC-Multitenant,CPU|Organic|Consumed|Region,ETS Explicit,Challenger,wape,0.04086005023753223,smape,0.04113449653413701,rmse,27908.821748057322,mae,21937.320800682377,6,FALSE,NOT_CHAMPION,300,0,0,GENERATED_P5,"STALE_ACTUALS_SOURCE, latest date 2023-07-20; 15 governed model backtests DO NOT exist yet; must be generated in P5"
V6_24_MVP_0101,CPU__Consumed__Region__APC-Multitenant,CPU,UNKNOWN_SOURCE_DOES_NOT_CARRY_DBTYPE,Consumed,NOT_APPLICABLE,Region,APC-Multitenant,CPU|Organic|Consumed|Region,FixedGrowth_3,Baseline,wape,0.0409251340330807,smape,0.041196366652389974,rmse,27957.794506793696,mae,21972.263589386082,7,FALSE,NOT_CHAMPION,300,0,0,GENERATED_P5,"STALE_ACTUALS_SOURCE, latest date 2023-07-20; 15 governed model backtests DO NOT exist yet; must be generated in P5"
V6_24_MVP_0101,CPU__Consumed__Region__APC-Multitenant,CPU,UNKNOWN_SOURCE_DOES_NOT_CARRY_DBTYPE,Consumed,NOT_APPLICABLE,Region,APC-Multitenant,CPU|Organic|Consumed|Region,FixedGrowth_4,Baseline,wape,0.042640030964846865,smape,0.042880601551866515,rmse,29116.853198032884,mae,22892.973278032132,8,FALSE,NOT_CHAMPION,300,0,0,GENERATED_P5,"STALE_ACTUALS_SOURCE, latest date 2023-07-20; 15 governed model backtests DO NOT exist yet; must be generated in P5"
V6_24_MVP_0101,CPU__Consumed__Region__APC-Multitenant,CPU,UNKNOWN_SOURCE_DOES_NOT_CARRY_DBTYPE,Consumed,NOT_APPLICABLE,Region,APC-Multitenant,CPU|Organic|Consumed|Region,FixedGrowth_6,Baseline,wape,0.047478097925486025,smape,0.04749510950327335,rmse,32272.764941627065,mae,25490.479310299153,9,FALSE,NOT_CHAMPION,300,0,0,GENERATED_P5,"STALE_ACTUALS_SOURCE, latest date 2023-07-20; 15 governed model backtests DO NOT exist yet; must be generated in P5"
V6_24_MVP_0101,CPU__Consumed__Region__APC-Multitenant,CPU,UNKNOWN_SOURCE_DOES_NOT_CARRY_DBTYPE,Consumed,NOT_APPLICABLE,Region,APC-Multitenant,CPU|Organic|Consumed|Region,LightGBM,Challenger,wape,0.04759221148898936,smape,0.047637296087598244,rmse,33352.7462066741,mae,25551.745653236303,10,FALSE,NOT_CHAMPION,300,0,0,GENERATED_P5,"STALE_ACTUALS_SOURCE, latest date 2023-07-20; 15 governed model backtests DO NOT exist yet; must be generated in P5"
