metric,model_name,n_series,championships,championship_pct,mean_rank,median_rank,best_rank,worst_rank,note
CPU,AutoARIMA,20,5,25.0,2.95,3.0,1,8,Ranks produced under P6C_RANKING_POLICY_V2
CPU,Theta,20,3,15.0,4.0,4.0,1,8,Ranks produced under P6C_RANKING_POLICY_V2
CPU,FixedGrowth_1_5,20,2,10.0,4.05,4.5,1,9,Ranks produced under P6C_RANKING_POLICY_V2
CPU,LightGBM,20,4,20.0,5.55,5.0,1,12,Ranks produced under P6C_RANKING_POLICY_V2
CPU,FixedGrowth_3,20,0,0.0,5.9,6.0,3,10,Ranks produced under P6C_RANKING_POLICY_V2
CPU,XGBoost,20,4,20.0,6.15,5.5,1,12,Ranks produced under P6C_RANKING_POLICY_V2
CPU,LinearRegression,20,1,5.0,6.95,7.5,1,12,Ranks produced under P6C_RANKING_POLICY_V2
CPU,FixedGrowth_4,20,0,0.0,7.35,8.0,2,11,Ranks produced under P6C_RANKING_POLICY_V2
CPU,NLIN-DLIN_FIXED,20,1,5.0,7.35,8.5,1,11,Ranks produced under P6C_RANKING_POLICY_V2
CPU,ETS Explicit,20,0,0.0,7.7,7.0,4,12,Ranks produced under P6C_RANKING_POLICY_V2
CPU,FixedGrowth_6,20,0,0.0,10.0,10.0,7,13,Ranks produced under P6C_RANKING_POLICY_V2
CPU,FNAR-V2,20,0,0.0,11.0,12.0,5,14,Ranks produced under P6C_RANKING_POLICY_V2
CPU,SMLP-TCN,20,0,0.0,12.2,13.0,7,14,Ranks produced under P6C_RANKING_POLICY_V2
CPU,ETS_Current,20,0,0.0,13.85,14.0,13,14,Ranks produced under P6C_RANKING_POLICY_V2
CPU,ARIMA_Fixed,20,0,0.0,15.0,15.0,15,15,Ranks produced under P6C_RANKING_POLICY_V2
HDD,AutoARIMA,50,4,8.0,4.74,3.0,1,15,Ranks produced under P6C_RANKING_POLICY_V2
HDD,ETS Explicit,50,17,34.0,4.86,3.0,1,15,Ranks produced under P6C_RANKING_POLICY_V2
HDD,Theta,50,4,8.0,5.12,5.0,1,14,Ranks produced under P6C_RANKING_POLICY_V2
HDD,ETS_Current,50,4,8.0,5.78,4.0,1,13,Ranks produced under P6C_RANKING_POLICY_V2
HDD,ARIMA_Fixed,50,4,8.0,6.52,6.0,1,15,Ranks produced under P6C_RANKING_POLICY_V2
HDD,FixedGrowth_3,50,1,2.0,7.18,8.5,1,12,Ranks produced under P6C_RANKING_POLICY_V2
HDD,FixedGrowth_1_5,50,5,10.0,7.3,8.0,1,12,Ranks produced under P6C_RANKING_POLICY_V2
HDD,XGBoost,50,5,10.0,7.44,8.0,1,14,Ranks produced under P6C_RANKING_POLICY_V2
HDD,FixedGrowth_4,50,0,0.0,8.2,9.0,2,14,Ranks produced under P6C_RANKING_POLICY_V2
HDD,NLIN-DLIN_FIXED,50,2,4.0,9.14,10.0,1,15,Ranks produced under P6C_RANKING_POLICY_V2
HDD,LinearRegression,50,0,0.0,9.16,8.0,2,15,Ranks produced under P6C_RANKING_POLICY_V2
HDD,LightGBM,50,1,2.0,9.3,9.0,1,14,Ranks produced under P6C_RANKING_POLICY_V2
HDD,FixedGrowth_6,50,2,4.0,9.5,11.0,1,15,Ranks produced under P6C_RANKING_POLICY_V2
HDD,SMLP-TCN,50,1,2.0,11.8,13.0,1,15,Ranks produced under P6C_RANKING_POLICY_V2
HDD,FNAR-V2,50,0,0.0,13.96,15.0,8,15,Ranks produced under P6C_RANKING_POLICY_V2
IOPS,FixedGrowth_1_5,20,7,35.0,2.65,2.0,1,6,Ranks produced under P6C_RANKING_POLICY_V2
IOPS,FixedGrowth_3,20,2,10.0,3.15,3.0,1,6,Ranks produced under P6C_RANKING_POLICY_V2
IOPS,FixedGrowth_4,20,2,10.0,4.5,4.0,1,8,Ranks produced under P6C_RANKING_POLICY_V2
IOPS,Theta,20,0,0.0,4.7,4.5,2,8,Ranks produced under P6C_RANKING_POLICY_V2
IOPS,AutoARIMA,20,3,15.0,6.05,6.5,1,13,Ranks produced under P6C_RANKING_POLICY_V2
IOPS,FixedGrowth_6,20,1,5.0,6.85,7.0,1,11,Ranks produced under P6C_RANKING_POLICY_V2
IOPS,ETS Explicit,20,0,0.0,7.0,7.0,2,11,Ranks produced under P6C_RANKING_POLICY_V2
IOPS,XGBoost,20,3,15.0,7.3,9.0,1,13,Ranks produced under P6C_RANKING_POLICY_V2
IOPS,LightGBM,20,1,5.0,7.5,8.0,1,12,Ranks produced under P6C_RANKING_POLICY_V2
IOPS,NLIN-DLIN_FIXED,20,1,5.0,8.1,9.0,1,11,Ranks produced under P6C_RANKING_POLICY_V2
IOPS,FNAR-V2,20,0,0.0,10.55,11.0,4,13,Ranks produced under P6C_RANKING_POLICY_V2
IOPS,SMLP-TCN,20,0,0.0,11.8,12.0,9,14,Ranks produced under P6C_RANKING_POLICY_V2
IOPS,LinearRegression,20,0,0.0,12.15,13.0,5,15,Ranks produced under P6C_RANKING_POLICY_V2
IOPS,ETS_Current,20,0,0.0,13.05,13.0,9,14,Ranks produced under P6C_RANKING_POLICY_V2
IOPS,ARIMA_Fixed,20,0,0.0,14.65,15.0,14,15,Ranks produced under P6C_RANKING_POLICY_V2
SSD,FixedGrowth_6,50,18,36.0,3.52,2.5,1,13,Ranks produced under P6C_RANKING_POLICY_V2
SSD,FixedGrowth_4,50,2,4.0,4.64,4.0,1,12,Ranks produced under P6C_RANKING_POLICY_V2
SSD,Theta,50,5,10.0,5.02,4.5,1,15,Ranks produced under P6C_RANKING_POLICY_V2
SSD,FixedGrowth_3,50,1,2.0,5.76,5.0,1,11,Ranks produced under P6C_RANKING_POLICY_V2
SSD,ETS_Current,50,3,6.0,6.16,6.0,1,12,Ranks produced under P6C_RANKING_POLICY_V2
SSD,AutoARIMA,50,4,8.0,6.3,6.0,1,13,Ranks produced under P6C_RANKING_POLICY_V2
SSD,ETS Explicit,50,4,8.0,7.0,8.0,1,13,Ranks produced under P6C_RANKING_POLICY_V2
SSD,FixedGrowth_1_5,50,3,6.0,7.02,7.0,1,12,Ranks produced under P6C_RANKING_POLICY_V2
SSD,ARIMA_Fixed,50,4,8.0,7.44,8.0,1,15,Ranks produced under P6C_RANKING_POLICY_V2
SSD,XGBoost,50,1,2.0,8.82,9.0,1,13,Ranks produced under P6C_RANKING_POLICY_V2
SSD,SMLP-TCN,50,0,0.0,10.6,11.0,6,15,Ranks produced under P6C_RANKING_POLICY_V2
SSD,NLIN-DLIN_FIXED,50,3,6.0,10.9,13.0,1,15,Ranks produced under P6C_RANKING_POLICY_V2
SSD,LightGBM,50,1,2.0,11.22,12.0,1,14,Ranks produced under P6C_RANKING_POLICY_V2
SSD,LinearRegression,50,1,2.0,12.1,14.0,1,15,Ranks produced under P6C_RANKING_POLICY_V2
SSD,FNAR-V2,50,0,0.0,13.5,14.0,4,15,Ranks produced under P6C_RANKING_POLICY_V2
