source_table,column_name,raw_value,row_count
forecast_substrateBE_hdd,type,Arima                                                                                                                                                 ,6416434
forecast_substrateBE_hdd,type,actual                                                                                                                                                ,4372036
forecast_substrateBE_hdd,type,"Arima+Fixed_0.015(0.5,0.5)                                                                                                                            ",4286323
forecast_substrateBE_hdd,type,Fixed_0.015                                                                                                                                           ,2858966
forecast_substrateBE_hdd,type,Linear                                                                                                                                                ,2682438
forecast_substrateBE_hdd,type,bsts_trend                                                                                                                                            ,2287040
forecast_substrateBE_hdd,type,"Arima+Linear(0.5,0.5)                                                                                                                                 ",2031501
forecast_substrateBE_hdd,type,ETS_AAZ180HaLb                                                                                                                                        ,1790015
forecast_substrateBE_hdd,type,Fixed_0.01                                                                                                                                            ,1743979
forecast_substrateBE_hdd,type,"Arima+Prophet(0.5,0.5)                                                                                                                                ",1485994
forecast_substrateBE_hdd,type,"Arima+bsts_trend(0.5,0.5)                                                                                                                             ",1270940
forecast_substrateBE_hdd,type,Prophet                                                                                                                                               ,1264180
forecast_substrateBE_hdd,type,"Arima+Fixed_0.04(0.5,0.5)                                                                                                                             ",1188350
forecast_substrateBE_hdd,type,"Prophet+Linear(0.5,0.5)                                                                                                                               ",1107495
forecast_substrateBE_hdd,type,"Arima+Fixed_0.02(0.5,0.5)                                                                                                                             ",1106469
forecast_substrateBE_hdd,type,"bsts_trend+Linear(0.5,0.5)                                                                                                                            ",1092043
forecast_substrateBE_hdd,type,"ETS_AAZ180HaLb+Linear(0.5,0.5)                                                                                                                        ",870713
forecast_substrateBE_hdd,type,FixedGrowth1%                                                                                                                                         ,834439
forecast_substrateBE_hdd,type,Fixed_0.04                                                                                                                                            ,772492
forecast_substrateBE_hdd,type,"ETS_AAZ180HaLb+bsts_trend(0.5,0.5)                                                                                                                    ",553450
forecast_substrateBE_hdd,type,"ETS_AAZ180HaLb+Fixed_0.015(0.5,0.5)                                                                                                                   ",530995
forecast_substrateBE_hdd,type,"ETS_AAZ180HaHb+Fixed_0.015(0.5,0.5)                                                                                                                   ",499717
forecast_substrateBE_hdd,type,"ETS_AAZ180HaLb+Fixed_0.04(0.5,0.5)                                                                                                                    ",472899
forecast_substrateBE_hdd,type,"Arima+Fixed_0.03(0.5,0.5)                                                                                                                             ",466066
forecast_substrateBE_hdd,type,"Prophet+bsts_trend(0.5,0.5)                                                                                                                           ",406333
forecast_substrateBE_hdd,type,"Arima+Fixed_0.05(0.5,0.5)                                                                                                                             ",396060
forecast_substrateBE_hdd,type,"ETS_AAZ180HaHb+Fixed_0.02(0.5,0.5)                                                                                                                    ",364411
forecast_substrateBE_hdd,type,Fixed_0.02                                                                                                                                            ,360646
forecast_substrateBE_hdd,type,"Prophet+Fixed_0.04(0.5,0.5)                                                                                                                           ",359844
forecast_substrateBE_hdd,type,"bsts_trend+Fixed_0.04(0.5,0.5)                                                                                                                        ",334056
forecast_substrateBE_hdd,type,"Arima+Fixed_0.06(0.5,0.5)                                                                                                                             ",331850
forecast_substrateBE_hdd,type,ETS_AAZ180HaHb                                                                                                                                        ,330320
forecast_substrateBE_hdd,type,Fixed_0.017                                                                                                                                           ,297368
forecast_substrateBE_hdd,type,"Fixed_0.015+Linear(0.5,0.5)                                                                                                                           ",293325
forecast_substrateBE_hdd,type,"ETS_AAZ180HaHb+Fixed_0.03(0.5,0.5)                                                                                                                    ",281861
forecast_substrateBE_hdd,type,FixedGrowth2%                                                                                                                                         ,281455
forecast_substrateBE_hdd,type,"ETS_AAZ180HaHb+Arima(0.5,0.5)                                                                                                                         ",259930
forecast_substrateBE_hdd,type,"ETS_AAZ180HaLb+Fixed_0.05(0.5,0.5)                                                                                                                    ",245647
forecast_substrateBE_hdd,type,Fixed_0.026                                                                                                                                           ,238853
forecast_substrateBE_hdd,type,"Prophet+Fixed_0.05(0.5,0.5)                                                                                                                           ",227797
forecast_substrateBE_hdd,type,FixedGrowth1.5%                                                                                                                                       ,224595
forecast_substrateBE_hdd,type,Fixed_0.007                                                                                                                                           ,223219
forecast_substrateBE_hdd,type,"ETS_AAZ180HaLb+ETS_AAZ180La(0.5,0.5)                                                                                                                  ",213111
forecast_substrateBE_hdd,type,"ETS_AAZ180HaHb+Fixed_0.04(0.5,0.5)                                                                                                                    ",201879
forecast_substrateBE_hdd,type,Fixed_0.05                                                                                                                                            ,193179
forecast_substrateBE_hdd,type,Fixed_0.03                                                                                                                                            ,192187
forecast_substrateBE_hdd,type,"ETS_AAZ180HaHb+ETS_AAZ180La(0.5,0.5)                                                                                                                  ",175714
forecast_substrateBE_hdd,type,Fixed_0.011                                                                                                                                           ,172601
forecast_substrateBE_hdd,type,Fixed_0.018                                                                                                                                           ,172098
forecast_substrateBE_hdd,type,"Fixed_0.015+Fixed_0.02(0.5,0.5)                                                                                                                       ",171909
forecast_substrateBE_hdd,type,ETS_AAZ180La                                                                                                                                          ,169840
forecast_substrateBE_hdd,type,"bsts_regression+Fixed_0.015(0.5,0.5)                                                                                                                  ",168303
forecast_substrateBE_hdd,type,FixedGrowth2%_ARIMA_Ensemble                                                                                                                          ,167806
forecast_substrateBE_hdd,type,ExponentialSmoothing                                                                                                                                  ,167610
forecast_substrateBE_hdd,type,"Fixed_0.02+Fixed_0.03(0.5,0.5)                                                                                                                        ",167036
forecast_substrateBE_hdd,type,FixedGrowth3%                                                                                                                                         ,166209
forecast_substrateBE_hdd,type,Fixed_0.019                                                                                                                                           ,163380
forecast_substrateBE_hdd,type,bsts_regression                                                                                                                                       ,156328
