metric,scenario_ui_label,scenario_raw_value,scenario_column,source_table,granularity,exposed_in_ui,exposed_reason,viewer_status,forecast_status,badge,notes
HDD - EDB,Enterprise,Enterprise,Scenario,forecast_substrateBE_hdd_region,Region,yes,authorised for the first release,FULL,FULL,GREEN,Actual and forecast coexist in the same table
HDD - EDB,Enterprise,Enterprise,data_type,forecast_substrateBE_hdd,Forest,yes,authorised for the first release,FULL,FULL,GREEN,Richest source; 25 distinct type values documented in R3
HDD - EDB,Consumer,Consumer,Scenario,forecast_substrateBE_hdd_region,Region,yes,authorised for the first release,FULL,FULL,GREEN,
HDD - EDB,Consumer,consumer,data_type,forecast_substrateBE_hdd,Forest,yes,authorised for the first release,FULL,FULL,GREEN,Source value is lowercase; label normalisation pending O2
HDD - Basilisk,Basilisk,Basilisk,Scenario,forecast_substrateBE_hdd_region,Region,yes,authorised for the first release,FULL,FULL,GREEN,Not present in the Excel mapping; discovered in R1
HDD - Basilisk,Basilisk,Basilisk,data_type,forecast_substrateBE_hdd,Forest,yes,authorised for the first release,FULL,FULL,GREEN,Not present in the Excel mapping; discovered in R1
CPU,Consumed,Consumed,Scenario,forecast_substrateBE_cpu_region,Region,yes,authorised for the first release,FORECAST_ONLY,FULL,AMBER,No actual marker in the fact table
CPU,Consumed,consumed,CPU_type,forecast_substrateBE_cpu,Forest,yes,authorised for the first release,FORECAST_ONLY,FULL,AMBER,Key is Forest_SKU per D4; no aggregation applied
CPU Failover,Failover,Failover,Scenario,forecast_substrateBE_cpu_region,Region,yes,authorised for the first release,FORECAST_ONLY,FULL,AMBER,
CPU Failover,Failover,failover,CPU_type,forecast_substrateBE_cpu,Forest,yes,authorised for the first release,FORECAST_ONLY,FULL,AMBER,Key is Forest_SKU per D4
CPU,Consumed Phoenix,Consumed,Scenario,forecast_substrateBE_cpu_byDB_region,Region,no,documented in R1 but not exposed per D2 / O1 / O3,FORECAST_ONLY,FULL,AMBER,Requires a DBType control; blocked by O3
CPU,Consumed NonPhoenix,Consumed,Scenario,forecast_substrateBE_cpu_byDB_region,Region,no,documented in R1 but not exposed per D2 / O1 / O3,FORECAST_ONLY,FULL,AMBER,Blocked by O3
CPU Failover,Failover Phoenix,Failover,Scenario,forecast_substrateBE_cpu_byDB_region,Region,no,documented in R1 but not exposed per D2 / O1 / O3,FORECAST_ONLY,FULL,AMBER,Blocked by O3
CPU Failover,Failover NonPhoenix,Failover,Scenario,forecast_substrateBE_cpu_byDB_region,Region,no,documented in R1 but not exposed per D2 / O1 / O3,FORECAST_ONLY,FULL,AMBER,Blocked by O3
CPU,Consumed Phoenix,Consumed,Scenario,forecast_substrateBE_cpu_byDB_forest,Forest,no,documented in R1 but not exposed per D2 / O1 / O3,FORECAST_ONLY,FULL,AMBER,Blocked by O3
CPU,Consumed NonPhoenix,Consumed,Scenario,forecast_substrateBE_cpu_byDB_forest,Forest,no,documented in R1 but not exposed per D2 / O1 / O3,FORECAST_ONLY,FULL,AMBER,Blocked by O3
CPU Failover,Failover Phoenix,Failover,Scenario,forecast_substrateBE_cpu_byDB_forest,Forest,no,documented in R1 but not exposed per D2 / O1 / O3,FORECAST_ONLY,FULL,AMBER,Blocked by O3
CPU Failover,Failover NonPhoenix,Failover,Scenario,forecast_substrateBE_cpu_byDB_forest,Forest,no,documented in R1 but not exposed per D2 / O1 / O3,FORECAST_ONLY,FULL,AMBER,Blocked by O3
IOPS,Consumed,Consumed,Scenario,forecast_substrateBE_iops_region,Region,yes,authorised for the first release,FORECAST_ONLY,FULL,AMBER,
IOPS,Consumed,consumed,IOPS_type,forecast_substrateBE_iops,Forest,yes,authorised for the first release,FORECAST_ONLY,FULL,AMBER,Key is Forest_SKU per D4
IOPS Failover,Failover,Failover,Scenario,forecast_substrateBE_iops_region,Region,yes,authorised for the first release,FORECAST_ONLY,FULL,AMBER,
