review_id,dashboard_contract_area,source_artifact,review_result,evidence,dashboard_implication,created_timestamp
DR6-01,required_dashboard_sections,outputs/governance/6_4_dashboard_contract/dashboard_required_sections.csv,pass,DS-001..DS-013 require executive/champion/conditions/universe/standings/scorecard/pairwise/risk/deferred/audit sections,Shiny must include all governed sections,2026-06-14T11:10:00
DR6-02,data_binding_contract,outputs/governance/6_4_dashboard_contract/dashboard_data_binding_contract.csv,pass,DB-001..DB-014 bind each section to a named Stage 05/06 source artifact; binding columns verified to exist,Shiny may only display values traceable to bound source columns,2026-06-14T11:10:00
DR6-03,do_dont_rules,outputs/governance/6_4_dashboard_contract/dashboard_do_dont_rules.csv,pass,DD-001..DD-011 incl. DD-009 no recompute and DD prohibiting winner language,Shiny behavior bounded by explicit do/don't rules,2026-06-14T11:10:00
DR6-04,warning_labels,outputs/governance/6_4_dashboard_contract/dashboard_warning_labels.csv,pass,WL-001..WL-007 mandatory warnings for conditions/confidence/risks/deferrals/audit,Required warnings must render on relevant sections,2026-06-14T11:10:00
DR6-05,read_only_behavior,outputs/governance/6_4_dashboard_contract/dashboard_governance_contract.csv,pass,DC-001/DC-003 read_only_behavior; blocking_if_violated=True,Shiny must load artifacts read-only and not rerun models,2026-06-14T11:10:00
DR6-06,no_metric_recalculation,outputs/governance/6_4_dashboard_contract/dashboard_governance_contract.csv,pass,DC-002 no_metric_recalculation; MASE/RMSSE display-only,Shiny must not recompute or re-aggregate metrics,2026-06-14T11:10:00
DR6-07,champion_communication,outputs/governance/6_4_dashboard_contract/dashboard_governance_contract.csv,pass,DC-005 display CHAMPION_SELECTED_WITH_CONDITIONS; DC-006 confidence=medium; DC-007 show C-001..C-005,Champion must be communicated exactly as governed,2026-06-14T11:10:00
DR6-08,risk_visibility,outputs/governance/6_4_dashboard_contract/dashboard_governance_contract.csv,pass,DC-008 FastNeuralAR_MLP risk; DC-013 no silent filtering of risks,Risks cannot be hidden or relabeled as discarded,2026-06-14T11:10:00
DR6-09,deferred_model_visibility,outputs/governance/6_4_dashboard_contract/dashboard_governance_contract.csv,pass,DC-009 NBEATS/NHITS deferred shown as future work,Deferred models must not be shown as permanently rejected,2026-06-14T11:10:00
DR6-10,audit_status_visibility,outputs/governance/6_4_dashboard_contract/dashboard_governance_contract.csv,pass,DC-010 show Audit #5 approve-with-conditions and governed F-010 correction,Audit state and conditions must remain visible,2026-06-14T11:10:00
DR6-11,source_artifact_traceability,outputs/governance/6_4_dashboard_contract/dashboard_governance_traceability.csv,pass,DT-001..DT-015 trace each contract rule to a governing source artifact,Every displayed fact must be traceable to an artifact,2026-06-14T11:10:00
