check_id,check_area,check_description,status,evidence_artifact,notes,created_timestamp
CHK-01,block_completeness,Blocks 6.0 through 6.5 all present and marked completed,pass,outputs/governance/6_5_governance_closure_pack/governance_stage_status_manifest.csv,All 6 blocks status=completed,2026-06-14T11:10:00
CHK-02,audit5_resolution,Audit #5 finding F-010 resolved through an additive governed correction,pass,outputs/governance/6_0_audit5_finding_resolution/governed_manifest_correction.csv,authoritative_governed_value=True; applied_to_original_file=False,2026-06-14T11:10:00
CHK-03,stage05_untouched,Stage 05 Model Lab artifacts not modified by Stage 06 governance work,pass,outputs/model_lab/champion_decision/champion_decision.csv,Champion decision intact: ETS Explicit / CHAMPION_SELECTED_WITH_CONDITIONS / medium,2026-06-14T11:10:00
CHK-04,shiny_untouched,Shiny application not modified or created by Stage 06 governance work,pass,shiny_app/,shiny_app/ present and unchanged; governance writes confined to outputs/governance/,2026-06-14T11:10:00
CHK-05,champion_decision_preserved,Champion decision preserved as ETS Explicit with conditions,pass,outputs/governance/6_2_decision_rules/governance_recommendations.csv,selected_champion=True; governance_primary_action=KEEP_WITH_CONDITIONS,2026-06-14T11:10:00
CHK-06,medium_confidence_preserved,Medium confidence preserved and not upgraded,pass,outputs/governance/6_3_champion_conditions/champion_conditions_protocol.csv,C-001 medium_confidence; DC-006 requires confidence=medium display,2026-06-14T11:10:00
CHK-07,risk_carry_forward_preserved,Risk carry-forwards (R-001..R-007) preserved with dashboard visibility,pass,outputs/governance/6_2_decision_rules/risk_to_action_mapping.csv,All 7 risks present; dashboard_carry_forward=True for all,2026-06-14T11:10:00
CHK-08,dashboard_read_only_rule,Dashboard read-only rule present in governance contract,pass,outputs/governance/6_4_dashboard_contract/dashboard_governance_contract.csv,DC-001 / DC-003 read_only_behavior; blocking_if_violated=True,2026-06-14T11:10:00
CHK-09,no_recompute_rule,No metric recalculation rule present in governance contract,pass,outputs/governance/6_4_dashboard_contract/dashboard_governance_contract.csv,DC-002 no_metric_recalculation; blocking_if_violated=True,2026-06-14T11:10:00
CHK-10,no_unconditional_winner_rule,No unconditional winner language rule present,pass,outputs/governance/6_4_dashboard_contract/dashboard_governance_contract.csv,DC-011 no_unconditional_winner_language; L-007..L-013 prohibited,2026-06-14T11:10:00
CHK-11,tournament_vs_champion_rule,Tournament standing must not be inferred as champion decision,pass,outputs/governance/6_4_dashboard_contract/dashboard_governance_contract.csv,DC-004 tournament_vs_champion_distinction,2026-06-14T11:10:00
CHK-12,dashboard_handoff_complete,Dashboard handoff manifest complete with all required sections,pass,outputs/governance/6_5_governance_closure_pack/governance_dashboard_handoff_manifest.csv,13 sections incl. Champion Decision/Conditions/Risk Register/Deferred/Audit Status,2026-06-14T11:10:00
CHK-13,artifact_manifest_accurate,Every artifact listed in governance manifest exists on disk,pass,outputs/governance/6_5_governance_closure_pack/governance_artifact_manifest.csv,Independent file-existence check: 0 missing,2026-06-14T11:10:00
CHK-14,closure_status_correct,Closure status = completed_pending_audit_6 and ready_for_audit_6=True,pass,outputs/governance/6_5_governance_closure_pack/governance_closure_summary.csv,ready_for_shiny_mvp_after_audit=True; conditions_present=True,2026-06-14T11:10:00
CHK-15,binding_columns_exist,Dashboard data-binding columns exist in referenced Stage 05 source files,pass,outputs/model_lab/tournament_engine/tournament_pairwise_evidence.csv,Pairwise/scorecard binding columns verified present (not fabricated),2026-06-14T11:10:00
CHK-16,ready_for_shiny_after_audit,Governance package ready for Shiny MVP after Audit #6 approval,pass,outputs/governance/6_5_governance_closure_pack/governance_next_steps.csv,NS-003 Build Shiny MVP gated on Audit #6 approval,2026-06-14T11:10:00
