metric_id,metric_name,db_type,scenario,scenario_status,granularity,entity_key,forecast_version,unit,unit_status,availability_status,computability_status,not_computable_reason,explanation_context,safe_summary,assistant_allowed_claims,assistant_disallowed_claims,evidence_level,source_object,source_file
hdd_edb,hdd_edb,EDB,not_applicable,not_applicable,region,APC-Dedicated,2026-03-07,UNKNOWN,pending_d5,local_ingested,accuracy_only,NO_TARGET_DATE_GRAIN|NO_FORECAST_FACT_TABLE|SHINY_NOT_CONNECTED,"Multiple forecast versions are retained, so cross version accuracy comparison is available.","hdd_edb / EDB at region grain, key APC-Dedicated, forecast version 2026-03-07: average MAPE 81.63, average accuracy 18.37, across 9 evaluation windows from 2026-04-07 to 2026-04-21.",observed accuracy|observed bias|evaluation window coverage|source identity,cross metric raw aggregation|invented scenario values,VERIFIED_LOCAL,forecast_substrateBE_hdd_region_metrics,hdd_region_metrics.csv
hdd_edb,hdd_edb,EDB,not_applicable,not_applicable,region,APC-Dedicated,2026-05-01,UNKNOWN,pending_d5,local_ingested,accuracy_only,NO_TARGET_DATE_GRAIN|NO_FORECAST_FACT_TABLE|SHINY_NOT_CONNECTED,"Multiple forecast versions are retained, so cross version accuracy comparison is available.","hdd_edb / EDB at region grain, key APC-Dedicated, forecast version 2026-05-01: average MAPE 12.688125, average accuracy 87.50875, across 32 evaluation windows from 2026-05-01 to 2026-06-09.",observed accuracy|observed bias|evaluation window coverage|source identity,cross metric raw aggregation|invented scenario values,VERIFIED_LOCAL,forecast_substrateBE_hdd_region_metrics,hdd_region_metrics.csv
hdd_edb,hdd_edb,EDB,not_applicable,not_applicable,region,APC-Dedicated,2026-04-16,UNKNOWN,pending_d5,local_ingested,accuracy_only,NO_TARGET_DATE_GRAIN|NO_FORECAST_FACT_TABLE|SHINY_NOT_CONNECTED,"Multiple forecast versions are retained, so cross version accuracy comparison is available.","hdd_edb / EDB at region grain, key APC-Dedicated, forecast version 2026-04-16: average MAPE 0.79625, average accuracy 99.20375, across 16 evaluation windows from 2026-04-16 to 2026-05-06.",observed accuracy|observed bias|evaluation window coverage|source identity,cross metric raw aggregation|invented scenario values,VERIFIED_LOCAL,forecast_substrateBE_hdd_region_metrics,hdd_region_metrics.csv
hdd_edb,hdd_edb,EDB,not_applicable,not_applicable,region,SGP-Go Local,2026-04-16,UNKNOWN,pending_d5,local_ingested,accuracy_only,NO_TARGET_DATE_GRAIN|NO_FORECAST_FACT_TABLE|SHINY_NOT_CONNECTED,"Multiple forecast versions are retained, so cross version accuracy comparison is available.","hdd_edb / EDB at region grain, key SGP-Go Local, forecast version 2026-04-16: average MAPE 31.1025, average accuracy 68.8975, across 16 evaluation windows from 2026-04-16 to 2026-05-06.",observed accuracy|observed bias|evaluation window coverage|source identity,cross metric raw aggregation|invented scenario values,VERIFIED_LOCAL,forecast_substrateBE_hdd_region_metrics,hdd_region_metrics.csv
hdd_edb,hdd_edb,EDB,not_applicable,not_applicable,region,CAN-Go Local,2026-04-16,UNKNOWN,pending_d5,local_ingested,accuracy_only,NO_TARGET_DATE_GRAIN|NO_FORECAST_FACT_TABLE|SHINY_NOT_CONNECTED,"Multiple forecast versions are retained, so cross version accuracy comparison is available.","hdd_edb / EDB at region grain, key CAN-Go Local, forecast version 2026-04-16: average MAPE 0.42375, average accuracy 99.57625, across 16 evaluation windows from 2026-04-16 to 2026-05-06.",observed accuracy|observed bias|evaluation window coverage|source identity,cross metric raw aggregation|invented scenario values,VERIFIED_LOCAL,forecast_substrateBE_hdd_region_metrics,hdd_region_metrics.csv
hdd_edb,hdd_edb,EDB,not_applicable,not_applicable,region,MEX-Go Local,2026-04-16,UNKNOWN,pending_d5,local_ingested,accuracy_only,NO_TARGET_DATE_GRAIN|NO_FORECAST_FACT_TABLE|SHINY_NOT_CONNECTED,"Multiple forecast versions are retained, so cross version accuracy comparison is available.","hdd_edb / EDB at region grain, key MEX-Go Local, forecast version 2026-04-16: average MAPE 0.88875, average accuracy 99.11125, across 16 evaluation windows from 2026-04-16 to 2026-05-06.",observed accuracy|observed bias|evaluation window coverage|source identity,cross metric raw aggregation|invented scenario values,VERIFIED_LOCAL,forecast_substrateBE_hdd_region_metrics,hdd_region_metrics.csv
hdd_edb,hdd_edb,EDB,not_applicable,not_applicable,region,GBR-Go Local,2026-04-16,UNKNOWN,pending_d5,local_ingested,accuracy_only,NO_TARGET_DATE_GRAIN|NO_FORECAST_FACT_TABLE|SHINY_NOT_CONNECTED,"Multiple forecast versions are retained, so cross version accuracy comparison is available.","hdd_edb / EDB at region grain, key GBR-Go Local, forecast version 2026-04-16: average MAPE 0.51625, average accuracy 99.48375, across 16 evaluation windows from 2026-04-16 to 2026-05-06.",observed accuracy|observed bias|evaluation window coverage|source identity,cross metric raw aggregation|invented scenario values,VERIFIED_LOCAL,forecast_substrateBE_hdd_region_metrics,hdd_region_metrics.csv
hdd_edb,hdd_edb,EDB,not_applicable,not_applicable,region,EUR-Go Local,2026-04-16,UNKNOWN,pending_d5,local_ingested,accuracy_only,NO_TARGET_DATE_GRAIN|NO_FORECAST_FACT_TABLE|SHINY_NOT_CONNECTED,"Multiple forecast versions are retained, so cross version accuracy comparison is available.","hdd_edb / EDB at region grain, key EUR-Go Local, forecast version 2026-04-16: average MAPE 11.426875, average accuracy 88.573125, across 16 evaluation windows from 2026-04-16 to 2026-05-06.",observed accuracy|observed bias|evaluation window coverage|source identity,cross metric raw aggregation|invented scenario values,VERIFIED_LOCAL,forecast_substrateBE_hdd_region_metrics,hdd_region_metrics.csv
hdd_edb,hdd_edb,EDB,not_applicable,not_applicable,region,IND-Go Local,2026-05-01,UNKNOWN,pending_d5,local_ingested,accuracy_only,NO_TARGET_DATE_GRAIN|NO_FORECAST_FACT_TABLE|SHINY_NOT_CONNECTED,"Multiple forecast versions are retained, so cross version accuracy comparison is available.","hdd_edb / EDB at region grain, key IND-Go Local, forecast version 2026-05-01: average MAPE 0.493125, average accuracy 99.506875, across 32 evaluation windows from 2026-05-01 to 2026-06-09.",observed accuracy|observed bias|evaluation window coverage|source identity,cross metric raw aggregation|invented scenario values,VERIFIED_LOCAL,forecast_substrateBE_hdd_region_metrics,hdd_region_metrics.csv
hdd_edb,hdd_edb,EDB,not_applicable,not_applicable,region,KOR-Go Local,2026-04-16,UNKNOWN,pending_d5,local_ingested,accuracy_only,NO_TARGET_DATE_GRAIN|NO_FORECAST_FACT_TABLE|SHINY_NOT_CONNECTED,"Multiple forecast versions are retained, so cross version accuracy comparison is available.","hdd_edb / EDB at region grain, key KOR-Go Local, forecast version 2026-04-16: average MAPE 23.135625, average accuracy 76.864375, across 16 evaluation windows from 2026-04-16 to 2026-05-06.",observed accuracy|observed bias|evaluation window coverage|source identity,cross metric raw aggregation|invented scenario values,VERIFIED_LOCAL,forecast_substrateBE_hdd_region_metrics,hdd_region_metrics.csv
