source_object,source_file,source_table,local_path,source_hash,source_rows,generated_artifact,generated_rows,normalized_rows,ranking_rows,evidence_level,lineage_status,notes
forecast_substrateBE_hdd_region_metrics,hdd_region_metrics.csv,TesseractEarthDW.dbo.forecast_substrateBE_hdd_region_metrics,data\raw\hdd_region_metrics.csv,DDD65E57A4775D845807067DAC66366F6ED2641AC153CA4450ECD49B57881861,2550,official_metrics_normalized.csv,2550,2550,134,VERIFIED_LOCAL,complete,Official region accuracy metrics
forecast_substrateBE_hdd_forest_metrics,hdd_forest_metrics.csv,TesseractEarthDW.dbo.forecast_substrateBE_hdd_forest_metrics,data\raw\hdd_forest_metrics.csv,C67AE6A61156E6A8A44D6D752E0B47ACFAC84C64C4D8F88702285258EB6F5142,8828,official_metrics_normalized.csv,8828,8828,465,VERIFIED_LOCAL,complete,Official forest accuracy metrics
forecast_substrateBE_ssd_phx_lvwe_metrics,ssd_phx_lvwe_metrics.csv,TesseractEarthDW.dbo.forecast_substrateBE_ssd_phx_lvwe_metrics,data\raw\ssd_phx_lvwe_metrics.csv,C6F4AE7A5C09F0B4AB1F88501283740605672DBED6901BD211415D87B2A08025,7776,official_metrics_normalized.csv,7776,7776,137,VERIFIED_LOCAL,complete,Distinct efficiency treatment and must never pool with LVNE
forecast_substrateBE_ssd_phx_lvne_metrics,ssd_phx_lvne_metrics.csv,TesseractEarthDW.dbo.forecast_substrateBE_ssd_phx_lvne_metrics,data\raw\ssd_phx_lvne_metrics.csv,3CC8FFD1FC49039F64ACC372E1D7B97EC381ED455884FC2D273715B55B04BCFD,7913,official_metrics_normalized.csv,7913,7913,137,VERIFIED_LOCAL,complete,Distinct efficiency treatment and must never pool with LVWE
forecast_substrateBE_hdd_region,hdd_region_forecasts.csv,TesseractEarthDW.dbo.forecast_substrateBE_hdd_region,data\raw\hdd_region_forecasts.csv,07391AA98EC495296AD8E86E64E0456ECCED488D381BD654658800339D7365C0,65095,metric_availability_status.csv,0,0,0,VERIFIED_LOCAL,not_emitted_by_design,Fact source is not normalized into the official metrics artifact in this stage
forecast_substrateBE_SSD_TotalForecast,,TesseractEarthDW.dbo.forecast_substrateBE_SSD_TotalForecast,,,0,metric_availability_status.csv,0,0,0,STAKEHOLDER_STATEMENT,declared_only,May be shared with SSD-MCDB Total
forecast_substrateBE_SSD_Phoenix_Organic,,TesseractEarthDW.dbo.forecast_substrateBE_SSD_Phoenix_Organic,,,0,metric_availability_status.csv,0,0,0,STAKEHOLDER_STATEMENT,declared_only,Classification as DB type or derivation flag is unresolved
forecast_substrateBE_SSD_TotalForecast_mcdb,,TesseractEarthDW.dbo.forecast_substrateBE_SSD_TotalForecast,,,0,metric_availability_status.csv,0,0,0,STAKEHOLDER_STATEMENT,declared_only,Without a discriminator the two metrics cannot be separated
SubstrateBE_Ssd_MCDB_ForecastForestSKU,,TesseractEarthDW.dbo.SubstrateBE_Ssd_MCDB_ForecastForestSKU,,,0,metric_availability_status.csv,0,0,0,STAKEHOLDER_STATEMENT,declared_only,Name implies a grain the contract does not yet describe
forecast_substrateBE_cpu_region,,TesseractEarthDW.dbo.forecast_substrateBE_cpu_region,,,0,metric_availability_status.csv,0,0,0,STAKEHOLDER_STATEMENT,declared_only,CPU family verified to exist but names unconfirmed
forecast_substrateBE_cpu_byDB_region,,TesseractEarthDW.dbo.forecast_substrateBE_cpu_byDB_region,,,0,metric_availability_status.csv,0,0,0,STAKEHOLDER_STATEMENT,declared_only,Extra dimensions absent in HDD
forecast_substrateBE_cpu_byDB_forest,,TesseractEarthDW.dbo.forecast_substrateBE_cpu_byDB_forest,,,0,metric_availability_status.csv,0,0,0,STAKEHOLDER_STATEMENT,declared_only,Extra dimensions absent in HDD
forecast_substrateBE_cpu,,TesseractEarthDW.dbo.forecast_substrateBE_cpu,,,0,metric_availability_status.csv,0,0,0,STAKEHOLDER_STATEMENT,declared_only,Throughput measure never additive with storage
UNNAMED_substrateBE_iops_family,,UNKNOWN,,,0,metric_availability_status.csv,0,0,0,VERIFIED_IN_DOCUMENT,declared_only,Explicitly deferred by prior stages
forecast_substrateBE_hdd_region_consumer,,TesseractEarthDW.dbo.forecast_substrateBE_hdd_region,,,0,metric_availability_status.csv,0,0,0,VERIFIED_IN_DOCUMENT,declared_only,Scenario value Consumer with 47 versions in source
forecast_substrateBE_hdd_region_basilisk,,TesseractEarthDW.dbo.forecast_substrateBE_hdd_region,,,0,metric_availability_status.csv,0,0,0,VERIFIED_IN_DOCUMENT,declared_only,Out of scope by decision
