source_object,metric_id,metric_name,db_type,db_type_label,scenario,scenario_status,granularity,key_namespace,source_family,source_file,source_table,unit,unit_status,availability_status,computability_status,known_limitation,include_in_shiny,include_in_assistant,merge_sources_allowed,notes
forecast_substrateBE_hdd_region_metrics,hdd_edb,HDD-EDB,EDB,EDB,not_applicable,not_applicable,region,region_keys,metrics,hdd_region_metrics.csv,TesseractEarthDW.dbo.forecast_substrateBE_hdd_region_metrics,UNKNOWN,pending_d5,local_ingested,accuracy_only,No target date grain so no curve or horizon analysis,yes,yes,no,Official region accuracy metrics
forecast_substrateBE_hdd_forest_metrics,hdd_edb,HDD-EDB,EDB,EDB,not_applicable,not_applicable,forest,forest_keys,metrics,hdd_forest_metrics.csv,TesseractEarthDW.dbo.forecast_substrateBE_hdd_forest_metrics,UNKNOWN,pending_d5,local_ingested,accuracy_only,No target date grain so no curve or horizon analysis,yes,yes,no,Official forest accuracy metrics
forecast_substrateBE_ssd_phx_lvwe_metrics,ssd_phoenix,SSD-Phoenix,lv_with_efficiency,Low-Vol with Efficiency,not_applicable,not_applicable,forest,forest_keys,metrics,ssd_phx_lvwe_metrics.csv,TesseractEarthDW.dbo.forecast_substrateBE_ssd_phx_lvwe_metrics,UNKNOWN,pending_d5,partially_available,single_version_accuracy_only,Single retained forecast version so no cross plan comparison,yes,yes,no,Distinct efficiency treatment and must never pool with LVNE
forecast_substrateBE_ssd_phx_lvne_metrics,ssd_phoenix,SSD-Phoenix,lv_no_efficiency,Low-Vol without Efficiency,not_applicable,not_applicable,forest,forest_keys,metrics,ssd_phx_lvne_metrics.csv,TesseractEarthDW.dbo.forecast_substrateBE_ssd_phx_lvne_metrics,UNKNOWN,pending_d5,partially_available,single_version_accuracy_only,Single retained forecast version so no cross plan comparison,yes,yes,no,Distinct efficiency treatment and must never pool with LVWE
forecast_substrateBE_hdd_region,hdd_edb,HDD-EDB,EDB,EDB,present,present,region,region_keys,fact,hdd_region_forecasts.csv,TesseractEarthDW.dbo.forecast_substrateBE_hdd_region,UNKNOWN,pending_d5,local_ingested,blocked_by_data,Local extract holds a single forecast version and actuals do not overlap the forecast window,no,yes,no,Fact source is not normalized into the official metrics artifact in this stage
forecast_substrateBE_SSD_TotalForecast,ssd_phoenix,SSD-Phoenix,phx_total,Phoenix Total,unknown,unknown,unknown,unknown,unknown,,TesseractEarthDW.dbo.forecast_substrateBE_SSD_TotalForecast,UNKNOWN,pending_d5_d2,source_not_found,not_computable,Table asserted by stakeholders and never located in evidence,no,yes,no,May be shared with SSD-MCDB Total
forecast_substrateBE_SSD_Phoenix_Organic,ssd_phoenix,SSD-Phoenix,phx_organic,Phoenix Organic,unknown,unknown,unknown,unknown,unknown,,TesseractEarthDW.dbo.forecast_substrateBE_SSD_Phoenix_Organic,UNKNOWN,pending_d5_d2,source_not_found,not_computable,Table asserted by stakeholders and never located in evidence,no,yes,no,Classification as DB type or derivation flag is unresolved
forecast_substrateBE_SSD_TotalForecast_mcdb,ssd_mcdb,SSD-MCDB,mcdb_total,MCDB Total,pending_mapping,pending_mapping,unknown,unknown,unknown,,TesseractEarthDW.dbo.forecast_substrateBE_SSD_TotalForecast,UNKNOWN,pending_d5_d10,pending_stakeholder_mapping,blocked_by_mapping,Claimed to share a physical table with SSD-Phoenix Total without a confirmed discriminator column,no,yes,no,Without a discriminator the two metrics cannot be separated
SubstrateBE_Ssd_MCDB_ForecastForestSKU,ssd_mcdb,SSD-MCDB,mcdb_organic,MCDB Organic,unknown,unknown,forest_sku,forest_sku_keys,unknown,,TesseractEarthDW.dbo.SubstrateBE_Ssd_MCDB_ForecastForestSKU,UNKNOWN,pending_d5,source_not_found,not_computable,SKU grain below forest is not modelled by the current taxonomy,no,yes,no,Name implies a grain the contract does not yet describe
forecast_substrateBE_cpu_region,cpu,CPU,PENDING_CONFIRMATION,Pending classification,unknown,unknown,region,unknown,unknown,,TesseractEarthDW.dbo.forecast_substrateBE_cpu_region,UNKNOWN,pending_d5_d3,source_not_found,not_computable,Exact table name unverified and canonical key undecided,no,yes,no,CPU family verified to exist but names unconfirmed
forecast_substrateBE_cpu_byDB_region,cpu,CPU,PENDING_CONFIRMATION,Pending classification,unknown,unknown,region_by_db,unknown,unknown,,TesseractEarthDW.dbo.forecast_substrateBE_cpu_byDB_region,UNKNOWN,pending_d5_d3,source_not_found,not_computable,Fleet and Workload placement undecided,no,yes,no,Extra dimensions absent in HDD
forecast_substrateBE_cpu_byDB_forest,cpu,CPU,PENDING_CONFIRMATION,Pending classification,unknown,unknown,forest_by_db,unknown,unknown,,TesseractEarthDW.dbo.forecast_substrateBE_cpu_byDB_forest,UNKNOWN,pending_d5_d3,source_not_found,not_computable,Fleet and Workload placement undecided,no,yes,no,Extra dimensions absent in HDD
forecast_substrateBE_cpu,cpu,CPU,PENDING_CONFIRMATION,Pending classification,unknown,unknown,unknown,unknown,unknown,,TesseractEarthDW.dbo.forecast_substrateBE_cpu,UNKNOWN,pending_d5_d3,source_not_found,not_computable,Base CPU forecast table asserted only,no,yes,no,Throughput measure never additive with storage
UNNAMED_substrateBE_iops_family,iops,IOPS,PENDING_CONFIRMATION,Pending classification,unknown,unknown,unknown,unknown,unknown,,UNKNOWN,UNKNOWN,pending_d5,deferred,not_computable,Family confirmed to exist but no table name is documented,no,yes,no,Explicitly deferred by prior stages
forecast_substrateBE_hdd_region_consumer,hdd_edb,HDD-EDB,EDB,EDB,not_applicable,not_applicable,region,region_keys,fact,,TesseractEarthDW.dbo.forecast_substrateBE_hdd_region,UNKNOWN,pending_d5,not_ingested,not_computable,Consumer scenario exists upstream but the extract hardcodes Enterprise,no,yes,no,Scenario value Consumer with 47 versions in source
forecast_substrateBE_hdd_region_basilisk,hdd_basilisk,HDD-Basilisk,EDB,EDB,unknown,unknown,region,region_keys,fact,,TesseractEarthDW.dbo.forecast_substrateBE_hdd_region,UNKNOWN,pending_d5,deferred,not_computable,Scenario is being phased out upstream,no,yes,no,Out of scope by decision
