metric_id,db_type,scenario,granularity,accuracy_computable,drift_computable,forecast_curve_computable,cross_plan_computable,horizon_error_computable,computability_status,not_computable_reason,source_object,evidence_level,shiny_allowed_views,assistant_allowed_claims_summary
hdd_edb,EDB,not_applicable,region,True,True,False,True,False,accuracy_only,NO_TARGET_DATE_GRAIN|NO_FORECAST_FACT_TABLE|SHINY_NOT_CONNECTED,forecast_substrateBE_hdd_region_metrics,VERIFIED_LOCAL,accuracy_table|accuracy_heatmap|cross_version_trend|plan_to_plan,May state observed accuracy and cross version change.
hdd_edb,EDB,not_applicable,forest,True,True,False,True,False,accuracy_only,NO_TARGET_DATE_GRAIN|NO_FORECAST_FACT_TABLE|SHINY_NOT_CONNECTED,forecast_substrateBE_hdd_forest_metrics,VERIFIED_LOCAL,accuracy_table|accuracy_heatmap|cross_version_trend|plan_to_plan,May state observed accuracy and cross version change.
ssd_phoenix,lv_with_efficiency,not_applicable,forest,True,False,False,False,False,single_version_accuracy_only,SINGLE_VERSION_ONLY|NO_TARGET_DATE_GRAIN|NO_FORECAST_FACT_TABLE|SHINY_NOT_CONNECTED,forecast_substrateBE_ssd_phx_lvwe_metrics,VERIFIED_LOCAL,accuracy_table|accuracy_heatmap,May state observed accuracy for the retained cycle. Must not claim drift.
ssd_phoenix,lv_no_efficiency,not_applicable,forest,True,False,False,False,False,single_version_accuracy_only,SINGLE_VERSION_ONLY|NO_TARGET_DATE_GRAIN|NO_FORECAST_FACT_TABLE|SHINY_NOT_CONNECTED,forecast_substrateBE_ssd_phx_lvne_metrics,VERIFIED_LOCAL,accuracy_table|accuracy_heatmap,May state observed accuracy for the retained cycle. Must not claim drift.
hdd_edb,EDB,present,region,False,False,True,False,False,blocked_by_data,NO_ACTUALS|SINGLE_VERSION_ONLY|SHINY_NOT_CONNECTED,forecast_substrateBE_hdd_region,VERIFIED_LOCAL,none,Must state the source is unavailable and give the reason.
ssd_phoenix,phx_total,unknown,unknown,False,False,False,False,False,not_computable,SOURCE_NOT_LOCATED|UNKNOWN_UNIT,forecast_substrateBE_SSD_TotalForecast,STAKEHOLDER_STATEMENT,none,Must state the source is unavailable and give the reason.
ssd_phoenix,phx_organic,unknown,unknown,False,False,False,False,False,not_computable,SOURCE_NOT_LOCATED|UNKNOWN_UNIT,forecast_substrateBE_SSD_Phoenix_Organic,STAKEHOLDER_STATEMENT,none,Must state the source is unavailable and give the reason.
ssd_mcdb,mcdb_total,pending_mapping,unknown,False,False,False,False,False,blocked_by_mapping,PENDING_STAKEHOLDER_MAPPING|UNKNOWN_UNIT,forecast_substrateBE_SSD_TotalForecast_mcdb,STAKEHOLDER_STATEMENT,none,Must state the source is unavailable and give the reason.
ssd_mcdb,mcdb_organic,unknown,forest_sku,False,False,False,False,False,not_computable,SOURCE_NOT_LOCATED|UNKNOWN_UNIT,SubstrateBE_Ssd_MCDB_ForecastForestSKU,STAKEHOLDER_STATEMENT,none,Must state the source is unavailable and give the reason.
cpu,PENDING_CONFIRMATION,unknown,region,False,False,False,False,False,not_computable,SOURCE_NOT_LOCATED|UNKNOWN_UNIT,forecast_substrateBE_cpu_region,STAKEHOLDER_STATEMENT,none,Must state the source is unavailable and give the reason.
cpu,PENDING_CONFIRMATION,unknown,region_by_db,False,False,False,False,False,not_computable,SOURCE_NOT_LOCATED|UNKNOWN_UNIT,forecast_substrateBE_cpu_byDB_region,STAKEHOLDER_STATEMENT,none,Must state the source is unavailable and give the reason.
cpu,PENDING_CONFIRMATION,unknown,forest_by_db,False,False,False,False,False,not_computable,SOURCE_NOT_LOCATED|UNKNOWN_UNIT,forecast_substrateBE_cpu_byDB_forest,STAKEHOLDER_STATEMENT,none,Must state the source is unavailable and give the reason.
cpu,PENDING_CONFIRMATION,unknown,unknown,False,False,False,False,False,not_computable,SOURCE_NOT_LOCATED|UNKNOWN_UNIT,forecast_substrateBE_cpu,STAKEHOLDER_STATEMENT,none,Must state the source is unavailable and give the reason.
iops,PENDING_CONFIRMATION,unknown,unknown,False,False,False,False,False,not_computable,SOURCE_NOT_LOCATED|UNKNOWN_UNIT,UNNAMED_substrateBE_iops_family,VERIFIED_IN_DOCUMENT,none,Must state the source is unavailable and give the reason.
hdd_edb,EDB,not_applicable,region,False,False,False,False,False,not_computable,SOURCE_NOT_UPDATED_IN_EARTH|UNKNOWN_UNIT,forecast_substrateBE_hdd_region_consumer,VERIFIED_IN_DOCUMENT,none,Must state the source is unavailable and give the reason.
hdd_basilisk,EDB,unknown,region,False,False,False,False,False,not_computable,SOURCE_NOT_LOCATED|UNKNOWN_UNIT,forecast_substrateBE_hdd_region_basilisk,VERIFIED_IN_DOCUMENT,none,Must state the source is unavailable and give the reason.
