entity_key,prod_fc_median,bt_actual_median,scale_ratio_bt_over_prod
APC-Dedicated,35.92978538800822,1295.8534570000002,36.066
APC-MSIT,2539.782665508222,2291.7483905,0.902
APC-Multitenant,883188.637562412,537698.389457,0.609
ARE-Go Local,41676.66545151654,48806.53921100001,1.171
AUS-Go Local,360452.8670125488,276293.71257999993,0.767
AUT-Go Local,491.8157187907366,,
BRA-Go Local,83894.12468969233,50659.754367999994,0.604
CAN-Go Local,217147.3738068212,159901.86071500008,0.736
CHE-Go Local,49975.796343319256,31851.9155265,0.637
CHL-Go Local,2088.927654792995,,
DEU-Go Local,143970.25075046706,81339.75492099999,0.565
DNK-Go Local,24.3202821656404,,
ESP-Go Local,14527.586655208195,13843.008702,0.953
EUR-Dedicated,29660.86217217733,24006.351236000002,0.809
EUR-Go Local,3.4791178079836858,,
EUR-MSIT,2143.656125993545,1784.2435655,0.832
EUR-Multitenant,3014206.6978208707,2105582.0701010004,0.699
FRA-Go Local,126910.06830128458,97399.25384599996,0.767
GBR-Dedicated,361.0257303295277,1025.725527,2.841
GBR-Go Local,359756.3708033672,253259.9100960001,0.704
IDN-Go Local,1313.3299545667353,,
IND-Go Local,611126.2654503691,334856.907074,0.548
ISR-Go Local,3104.051914559832,961.031092,0.31
ITA-Go Local,20264.53677183901,15814.141007000002,0.78
JPN-Go Local,490903.7990569177,294345.21716850006,0.6
KOR-Go Local,49843.601855904286,20317.728017,0.408
LAM-Multitenant,268725.1442650639,179619.01799799997,0.668
MEX-Go Local,3491.5159332989024,1051.026241,0.301
MYS-Go Local,2643.57358720507,,
NAM-Dedicated,107855.93480013694,91922.26258750001,0.852
NAM-GCC Low,295525.1084796716,197440.865319,0.668
NAM-ITAR DoD,44676.5256362841,37237.87896350001,0.833
NAM-ITAR GCCH,30874.044031765017,23605.5725785,0.765
NAM-MSIT,19727.76225107288,10344.183158,0.524
NAM-Multitenant,3771387.283659664,2532062.493358,0.671
NAM-SDF,3391.026046991351,2414.402628,0.712
NAM-TDF,59.12668833650924,43.192096,0.731
NOR-Go Local,37704.53802678306,22641.3439315,0.6
NZL-Go Local,625.880451281159,277.06547850000004,0.443
POL-Go Local,18642.26274244846,13357.138454,0.716
QAT-Go Local,10608.026149169116,6700.1171605,0.632
SGP-Go Local,4101.031309931963,3557.422654,0.867
SWE-Go Local,45547.59626793487,36384.244816499995,0.799
TWN-Go Local,5081.2189282417285,2112.216863,0.416
ZAF-Go Local,109252.53875175717,55364.435491,0.507
