object_schema,object_name,object_type,row_count_estimate,relevant_columns,relevance_score,reason
dbo,CADW_PhoenixDagsHDD,USER_TABLE,989,Forest|Dag|SnapshotTime,NONE,No actual-bearing column in its signature.
dbo,CPG_DemandPlan_SubstrateBE_SSD_Demand_Region_V2,USER_TABLE,937575,DataDate|Region|demand|CreatedDate,LOW,"Carries an actual-shaped column but is forecast, perturbation or supply oriented."
dbo,CPG_DemandPlan_SubstrateBE_SSD_Demand_V2,USER_TABLE,369846,DataDate|Forest|demand|CreatedDate,LOW,"Carries an actual-shaped column but is forecast, perturbation or supply oriented."
dbo,CPG_DemandPlan_SubstrateBE_SSDMCDB_Demand_Region_V2,USER_TABLE,937575,DataDate|Region|demand|CreatedDate,LOW,"Carries an actual-shaped column but is forecast, perturbation or supply oriented."
dbo,CPG_DemandPlan_SubstrateBE_SSDMCDB_Demand_V2,USER_TABLE,369846,DataDate|Forest|demand|CreatedDate,LOW,"Carries an actual-shaped column but is forecast, perturbation or supply oriented."
dbo,CPG_DemandPlan_SubstrateBE_SSDPhoenixDB_Demand_Region_V2,USER_TABLE,330375,DataDate|Region|demand|CreatedDate,LOW,"Carries an actual-shaped column but is forecast, perturbation or supply oriented."
dbo,CPG_DemandPlan_SubstrateBE_SSDPhoenixDB_Demand_V2,USER_TABLE,364896,DataDate|Forest|demand|CreatedDate,LOW,"Carries an actual-shaped column but is forecast, perturbation or supply oriented."
dbo,CPG_SSD_Demand_Forecast_Scenarios,USER_TABLE,13,CreatedDate,LOW,"Carries an actual-shaped column but is forecast, perturbation or supply oriented."
dbo,dbo.forecast_substrateBE_SSD_Phoenix_Inorganic_ADSSignal,USER_TABLE,1000,Datetime|Forest,NONE,No actual-bearing column in its signature.
dbo,DemandPlan_SSD_Forecast,USER_TABLE,86265,Datadate|Forest|Region,LOW,"Carries an actual-shaped column but is forecast, perturbation or supply oriented."
dbo,DemandPlan_SSD_Sellable,USER_TABLE,1000,Datadate|Forest|Region,LOW,"Carries an actual-shaped column but is forecast, perturbation or supply oriented."
dbo,DemandPlan_SSD_Supply,USER_TABLE,2268,Datadate|Forest|Region,LOW,"Carries an actual-shaped column but is forecast, perturbation or supply oriented."
dbo,DemandPlan_SubstrateBE_SSD_Demand,USER_TABLE,117950,DataDate|Forest|demand|CreatedDate,LOW,"Carries an actual-shaped column but is forecast, perturbation or supply oriented."
dbo,DemandPlan_SubstrateBE_SSD_Demand_Region,USER_TABLE,39420,DataDate|Region|demand|CreatedDate,LOW,"Carries an actual-shaped column but is forecast, perturbation or supply oriented."
dbo,DemandPlan_SubstrateBE_SSD_Demand_Region_History,USER_TABLE,182931,DataDate|Region|demand|CreatedDate,LOW,"Carries an actual-shaped column but is forecast, perturbation or supply oriented."
dbo,DemandPlan_SubstrateBE_SSDMCDB_Demand,USER_TABLE,318444,DataDate|Forest|demand|CreatedDate,LOW,"Carries an actual-shaped column but is forecast, perturbation or supply oriented."
dbo,DemandPlan_SubstrateBE_SSDMCDB_Demand_Region,USER_TABLE,36200,DataDate|Region|demand|CreatedDate,LOW,"Carries an actual-shaped column but is forecast, perturbation or supply oriented."
