run_id,entity_key,window_id,model_name,forecast_rows,rmsse,rmse_model_adjusted,rmse_naive,denominator_floored,risk_status,created_timestamp
non_negative_policy_20260612_122931,APC-Dedicated,1,ARIMA_Fixed,30,1.1636999188588,203.3288432071738,174.7261814768977,False,acceptable,2026-06-12T12:29:31
non_negative_policy_20260612_122931,APC-Dedicated,1,ETS_Current,30,1.191750480634189,208.23001075446936,174.7261814768977,False,acceptable,2026-06-12T12:29:31
non_negative_policy_20260612_122931,APC-Dedicated,1,FixedGrowth_1_5,30,1.1177166683315798,195.29436543065708,174.7261814768977,False,acceptable,2026-06-12T12:29:31
non_negative_policy_20260612_122931,APC-Dedicated,1,FixedGrowth_3,30,1.2365206218028886,216.0525265650579,174.7261814768977,False,acceptable,2026-06-12T12:29:31
non_negative_policy_20260612_122931,APC-Dedicated,1,FixedGrowth_4,30,1.316182026933969,229.9714596946957,174.7261814768977,False,acceptable,2026-06-12T12:29:31
non_negative_policy_20260612_122931,APC-Dedicated,1,FixedGrowth_6,30,1.4763384041380345,257.95497192273575,174.7261814768977,False,acceptable,2026-06-12T12:29:31
non_negative_policy_20260612_122931,APC-Dedicated,1,LinearRegression,30,1.1774426214478728,205.7300531537352,174.7261814768977,False,acceptable,2026-06-12T12:29:31
non_negative_policy_20260612_122931,APC-Dedicated,2,ARIMA_Fixed,30,0.8499464930482878,449.7285162003738,529.1256801206937,False,beats_naive,2026-06-12T12:29:31
non_negative_policy_20260612_122931,APC-Dedicated,2,ETS_Current,30,0.7970003678651414,421.71336170308604,529.1256801206937,False,beats_naive,2026-06-12T12:29:31
non_negative_policy_20260612_122931,APC-Dedicated,2,FixedGrowth_1_5,30,1.0355542748759696,547.9383599956392,529.1256801206937,False,acceptable,2026-06-12T12:29:31
non_negative_policy_20260612_122931,APC-Dedicated,2,FixedGrowth_3,30,1.0711850735585915,566.791530581825,529.1256801206937,False,acceptable,2026-06-12T12:29:31
non_negative_policy_20260612_122931,APC-Dedicated,2,FixedGrowth_4,30,1.0949777642020444,579.3808542004433,529.1256801206937,False,acceptable,2026-06-12T12:29:31
non_negative_policy_20260612_122931,APC-Dedicated,2,FixedGrowth_6,30,1.1426475927324171,604.6041846428136,529.1256801206937,False,acceptable,2026-06-12T12:29:31
non_negative_policy_20260612_122931,APC-Dedicated,2,LinearRegression,30,1.052167080150907,556.7286218854531,529.1256801206937,False,acceptable,2026-06-12T12:29:31
non_negative_policy_20260612_122931,APC-Dedicated,3,ARIMA_Fixed,30,6.394587188646191,243.2453516024187,38.0392579577786,False,high_risk,2026-06-12T12:29:31
