question,answer,evidence_file,evidence_detail,confidence,recommended_next_action
Does a clean 15-model daily runner exist today?,NO,script_to_models_map.csv,"No single entrypoint executes exactly the canonical 15. The 12 governed come from TWO runners (baseline + challenger) and the 3 DL come from a frozen study with no live runner.",HIGH,Build a V3.3C orchestrator that drives the 9 trainable governed-via-runner models and reuses the frozen 3 DL artifacts.
Which runner tried to execute NBEATS (root cause of V3.3B partial)?,python/model_lab/run_challenger_official_execution.py,prohibited_model_references.csv,"APPROVED_MODELS line 49 = 'NBEATS'; DEFERRED_MODEL line 51 = 'NHITS'. This runner fits NBEATS on CPU/torch (did not finish in 17min probe).",HIGH,Remove 'NBEATS' from APPROVED_MODELS and remove DEFERRED_MODEL wiring in the V3.3C daily variant.
Which script generates the growth-baseline models?,python/model_lab/run_full_baseline_execution.py,model_to_code_map.csv,"BASELINE_MODELS = ARIMA_Fixed, ETS_Current, LinearRegression, FixedGrowth_1_5/3/4/6 -> full_baseline_forecasts.csv. Clean, no prohibited models.",HIGH,Use as-is for daily baseline (4 FixedGrowth + ARIMA_Fixed + ETS_Current + LinearRegression).
Which script generates the statistical + ML challengers?,python/model_lab/run_challenger_official_execution.py,script_to_models_map.csv,"Produces AutoARIMA, Theta, ETS Explicit, LightGBM, XGBoost (the 5 governed challengers) - but ALSO NBEATS.",HIGH,Fork/parameterize this runner with model list = [AutoARIMA, Theta, ETS Explicit, LightGBM, XGBoost] only.
Which script generates the 3 active Deep Learning models (FNAR-V2, NLIN-DLIN_FIXED, SMLP-TCN)?,NONE - no live training script exists,model_to_code_map.csv,"They exist ONLY as frozen outputs of the closed V3.2B/D/E candidate study (full_candidate_outputs.csv). models/ dir has nbeats/nhits but NOT these.",HIGH,Decide policy: reuse frozen DL artifacts in daily (recommended) OR locate/rebuild candidate-study code (out of daily scope).
Which models are registered as live-trainable in code?,14 (ARIMA_Fixed ETS_Current LinearRegression FixedGrowth_1_5/3/4/6 AutoARIMA Theta ETS Explicit LightGBM XGBoost NBEATS NHITS),model_to_code_map.csv,"model_registry.py registers 14 classes. 12 are canonical; NBEATS+NHITS are prohibited; the 3 canonical DL are NOT in the registry.",HIGH,Daily trainable set = 12 governed (registry minus NBEATS/NHITS); the 3 DL are reused frozen.
Which output feeds the canonical 15-model universe?,build_canonical_universe.R -> data/processed/model_universe_canonical.csv,script_to_models_map.csv,"Aggregates tournament_model_scorecard.csv (12 governed) + full_candidate_outputs.csv (3 DL). Runs no model.",HIGH,Keep this aggregator as the authoritative universe step in the daily pipeline.
Which output feeds the Forecast Viewer?,build_forecast_viewer_handoff.py -> data/processed/forecast_viewer_model_outputs.csv,script_to_models_map.csv,"Maps governed + 3 DL display labels; drops legacy FastNeuralAR_MLP.",MEDIUM,Verify viewer handoff consumes only canonical-15 outputs.
Which output feeds the Tournament + Champion?,build_tournament_engine.py + build_champion_decision.py,script_to_models_map.csv,"Scorecard -> champion_candidate_evaluation.csv. Champion = ETS Explicit (MASE 6.901).",HIGH,Keep; ensure champion decision input excludes prohibited models.
Is FastNeuralAR_MLP (original) active anywhere in execution?,NO - retired,prohibited_model_references.csv,"build_canonical_universe.R filters model_name != 'FastNeuralAR_MLP'; S06 check fastneuralar_original_not_active. Only legacy pilot CSV + docs.",HIGH,No action needed; retirement is already enforced.
Can a true all-15 daily training run be done with current code?,NO (only 12 of 15 are live-trainable),model_to_code_map.csv,"3 DL have no runner; they are frozen evaluation artifacts.",HIGH,Daily = train 12 governed live + carry 3 DL frozen; re-aggregate canonical universe. Document DL as frozen evidence.
