series_key,window_id,model_name,status,message,runtime_s
APC-Dedicated,1,ARIMA_Fixed,completed,,0.001
APC-Dedicated,1,ETS_Current,completed,,0.001
APC-Dedicated,1,LinearRegression,completed,,0.003
APC-Dedicated,1,FixedGrowth_1_5,completed,,0.001
APC-Dedicated,1,FixedGrowth_3,completed,,0.001
APC-Dedicated,1,FixedGrowth_4,completed,,0.001
APC-Dedicated,1,FixedGrowth_6,completed,,0.001
APC-Dedicated,1,AutoARIMA,completed,,3.478
APC-Dedicated,1,Theta,completed,,0.063
APC-Dedicated,1,ETS Explicit,completed,,0.033
APC-Dedicated,1,LightGBM,completed,,0.06
APC-Dedicated,1,XGBoost,completed,,0.097
APC-Dedicated,1,FastNeuralAR_MLP,completed,,0.506
APC-Dedicated,2,ARIMA_Fixed,completed,,0.001
APC-Dedicated,2,ETS_Current,completed,,0.001
APC-Dedicated,2,LinearRegression,completed,,0.003
APC-Dedicated,2,FixedGrowth_1_5,completed,,0.001
APC-Dedicated,2,FixedGrowth_3,completed,,0.001
APC-Dedicated,2,FixedGrowth_4,completed,,0.001
APC-Dedicated,2,FixedGrowth_6,completed,,0.001
APC-Dedicated,2,AutoARIMA,completed,,1.749
APC-Dedicated,2,Theta,completed,,0.005
APC-Dedicated,2,ETS Explicit,completed,,0.033
APC-Dedicated,2,LightGBM,completed,,0.04
APC-Dedicated,2,XGBoost,completed,,0.05
APC-Dedicated,2,FastNeuralAR_MLP,completed,,0.331
APC-Dedicated,4,ARIMA_Fixed,completed,,0.001
APC-Dedicated,4,ETS_Current,completed,,0.001
APC-Dedicated,4,LinearRegression,completed,,0.003
APC-Dedicated,4,FixedGrowth_1_5,completed,,0.001
APC-Dedicated,4,FixedGrowth_3,completed,,0.001
APC-Dedicated,4,FixedGrowth_4,completed,,0.001
APC-Dedicated,4,FixedGrowth_6,completed,,0.001
APC-Dedicated,4,AutoARIMA,completed,,0.999
APC-Dedicated,4,Theta,completed,,0.006
APC-Dedicated,4,ETS Explicit,completed,,0.032
APC-Dedicated,4,LightGBM,completed,,0.04
APC-Dedicated,4,XGBoost,completed,,0.054
APC-Dedicated,4,FastNeuralAR_MLP,completed,,0.354
APC-Dedicated,5,ARIMA_Fixed,completed,,0.001
APC-Dedicated,5,ETS_Current,completed,,0.001
APC-Dedicated,5,LinearRegression,completed,,0.003
APC-Dedicated,5,FixedGrowth_1_5,completed,,0.001
APC-Dedicated,5,FixedGrowth_3,completed,,0.001
APC-Dedicated,5,FixedGrowth_4,completed,,0.001
APC-Dedicated,5,FixedGrowth_6,completed,,0.001
APC-Dedicated,5,AutoARIMA,completed,,0.985
APC-Dedicated,5,Theta,completed,,0.005
APC-Dedicated,5,ETS Explicit,completed,,0.035
APC-Dedicated,5,LightGBM,completed,,0.04
APC-Dedicated,5,XGBoost,completed,,0.051
APC-Dedicated,5,FastNeuralAR_MLP,completed,,0.342
APC-Dedicated,6,ARIMA_Fixed,completed,,0.001
APC-Dedicated,6,ETS_Current,completed,,0.001
APC-Dedicated,6,LinearRegression,completed,,0.003
APC-Dedicated,6,FixedGrowth_1_5,completed,,0.001
APC-Dedicated,6,FixedGrowth_3,completed,,0.001
APC-Dedicated,6,FixedGrowth_4,completed,,0.001
APC-Dedicated,6,FixedGrowth_6,completed,,0.001
