entity_key,prod_fc_median,bt_actual_median,bt_forecast_median,actuals_median,bt_actual__over__prod_fc,bt_forecast__over__prod_fc,actuals__over__prod_fc,bt_actual__over__actuals,bt_forecast__over__actuals
APC-Dedicated,35.9298,1295.8535,1307.8852,976.989,36.0663,36.4011,27.1916,1.3264,1.3387
APC-MSIT,2539.7827,2291.7484,2300.842,2262.735,0.9023,0.9059,0.8909,1.0128,1.0168
APC-Multitenant,883188.6376,537698.3895,527543.6789,269910.165,0.6088,0.5973,0.3056,1.9921,1.9545
ARE-Go Local,41676.6655,48806.5392,47211.7191,16373.529,1.1711,1.1328,0.3929,2.9808,2.8834
AUS-Go Local,360452.867,276293.7126,273538.3088,154083.426,0.7665,0.7589,0.4275,1.7931,1.7753
AUT-Go Local,491.8157,,,33.5453,,,0.0682,,
BRA-Go Local,83894.1247,50659.7544,50694.8391,26643.8195,0.6039,0.6043,0.3176,1.9014,1.9027
CAN-Go Local,217147.3738,159901.8607,158760.832,86871.953,0.7364,0.7311,0.4001,1.8407,1.8275
CHE-Go Local,49975.7963,31851.9155,29835.729,13198.9605,0.6373,0.597,0.2641,2.4132,2.2605
CHL-Go Local,2088.9277,,,99.5666,,,0.0477,,
DEU-Go Local,143970.2508,81339.7549,79826.0966,32974.482,0.565,0.5545,0.229,2.4667,2.4208
DNK-Go Local,24.3203,,,0.8466,,,0.0348,,
ESP-Go Local,14527.5867,13843.0087,13767.6854,368.0619,0.9529,0.9477,0.0253,37.6105,37.4059
EUR-Dedicated,29660.8622,24006.3512,24168.6592,23561.42,0.8094,0.8148,0.7944,1.0189,1.0258
EUR-Go Local,3.4791,,,0.2846,,,0.0818,,
EUR-MSIT,2143.6561,1784.2436,1785.8924,1649.073,0.8323,0.8331,0.7693,1.082,1.083
EUR-Multitenant,3014206.6978,2105582.0701,2042564.5572,1043887.244,0.6986,0.6776,0.3463,2.0171,1.9567
FRA-Go Local,126910.0683,97399.2538,97569.067,47802.52,0.7675,0.7688,0.3767,2.0375,2.0411
GBR-Dedicated,361.0257,1025.7255,1003.6397,707.804,2.8411,2.78,1.9605,1.4492,1.418
GBR-Go Local,359756.3708,253259.9101,250474.7319,143105.164,0.704,0.6962,0.3978,1.7697,1.7503
IDN-Go Local,1313.33,,,331.7241,,,0.2526,,
IND-Go Local,611126.2655,334856.9071,328846.8261,119980.79,0.5479,0.5381,0.1963,2.7909,2.7408
ISR-Go Local,3104.0519,961.0311,956.1432,541.817,0.3096,0.308,0.1746,1.7737,1.7647
ITA-Go Local,20264.5368,15814.141,15738.4863,1025.954,0.7804,0.7767,0.0506,15.4141,15.3403
JPN-Go Local,490903.7991,294345.2172,289921.4386,155708.251,0.5996,0.5906,0.3172,1.8904,1.862
KOR-Go Local,49843.6019,20317.728,19775.1572,8283.798,0.4076,0.3967,0.1662,2.4527,2.3872
LAM-Multitenant,268725.1443,179619.018,176929.3276,97821.352,0.6684,0.6584,0.364,1.8362,1.8087
MEX-Go Local,3491.5159,1051.0262,1061.0444,186.875,0.301,0.3039,0.0535,5.6242,5.6778
MYS-Go Local,2643.5736,,,499.7366,,,0.189,,
NAM-Dedicated,107855.9348,91922.2626,92361.9628,71402.299,0.8523,0.8563,0.662,1.2874,1.2935
NAM-GCC Low,295525.1085,197440.8653,196157.7999,107644.733,0.6681,0.6638,0.3642,1.8342,1.8223
NAM-ITAR DoD,44676.5256,37237.879,36579.0781,17105.247,0.8335,0.8188,0.3829,2.177,2.1385
NAM-ITAR GCCH,30874.044,23605.5726,22935.8479,8149.328,0.7646,0.7429,0.264,2.8966,2.8144
NAM-MSIT,19727.7623,10344.1832,10386.1301,5944.874,0.5243,0.5265,0.3013,1.74,1.7471
NAM-Multitenant,3771387.2837,2532062.4934,2491148.8009,1368599.555,0.6714,0.6605,0.3629,1.8501,1.8202
NAM-SDF,3391.026,2414.4026,2310.8283,1294.438,0.712,0.6815,0.3817,1.8652,1.7852
NAM-TDF,59.1267,43.1921,42.2382,6.295,0.7305,0.7144,0.1065,6.8613,6.7098
NOR-Go Local,37704.538,22641.3439,22297.4558,8328.647,0.6005,0.5914,0.2209,2.7185,2.6772
NZL-Go Local,625.8805,277.0655,274.9587,156.5154,0.4427,0.4393,0.2501,1.7702,1.7568
POL-Go Local,18642.2627,13357.1385,13320.9022,382.9405,0.7165,0.7146,0.0205,34.8805,34.7858
QAT-Go Local,10608.0261,6700.1172,6621.9475,4420.647,0.6316,0.6242,0.4167,1.5156,1.498
SGP-Go Local,4101.0313,3557.4227,3544.9004,109.208,0.8674,0.8644,0.0266,32.5747,32.4601
SWE-Go Local,45547.5963,36384.2448,34327.7889,15557.071,0.7988,0.7537,0.3416,2.3388,2.2066
TWN-Go Local,5081.2189,2112.2169,2037.9644,184.8212,0.4157,0.4011,0.0364,11.4284,11.0267
ZAF-Go Local,109252.5388,55364.4355,55506.6702,26481.623,0.5068,0.5081,0.2424,2.0907,2.096
