"llm_server_id","server_registered","live_ui_present","page","status","recommendation","notes"
"llm_models_universe","YES","YES","Model Universe","OK","None","tabs.R line 1358; section not shadowed."
"llm_tournament","YES","YES","Tournament","OK","None","tabs.R line 1828."
"llm_champion_overview","YES","YES","Champion Overview","OK","None","tabs.R line 2111."
"llm_forecast_viewer","YES","YES","Forecast Viewer","OK","None","Live mount at tabs_v6_16_viewer.R line 168; preserved through the rewrite."
"llm_forecasting_accuracy","YES","YES","Accuracy Overview","OK","None","tabs.R line 882; section_accuracy not shadowed."
"llm_forecasting_forecast","YES","NO","Forward Forecast","ORPHANED","Restore llm_explain_ui in the live section_forecast","Registered at server.R line 552; previous mount was tabs.R line 673; the live section_forecast has no mount."
"llm_forecasting_ttl","YES","YES","TTL / Capacity View","OK","None","tabs.R line 1069."
"llm_governance_risks","YES","YES","Governance and Risks","OK","None","tabs.R line 2211."
"llm_governance_audit","YES","YES","Audit Trail","OK","None","tabs.R line 2346."
"llm_reference_artifacts","YES","YES","Reference Artifacts","OK","None","tabs.R line 2461."
