model,expected_family,found_in_file,found_in_function_or_section,role_in_code,execution_type,current_status,output_artifact,active_in_daily_scope,legacy_or_current,notes
FixedGrowth_1_5,growth_baseline,python/model_lab/models/fixed_growth_model.py,FixedGrowth15Model,model class,baseline_generation,active,outputs/model_lab/full_baseline/full_baseline_forecasts.csv,TRUE,current,Registered in model_registry.py; run by run_full_baseline_execution.py
FixedGrowth_3,growth_baseline,python/model_lab/models/fixed_growth_model.py,FixedGrowth3Model,model class,baseline_generation,active,outputs/model_lab/full_baseline/full_baseline_forecasts.csv,TRUE,current,Registered; baseline runner
FixedGrowth_4,growth_baseline,python/model_lab/models/fixed_growth_model.py,FixedGrowth4Model,model class,baseline_generation,active,outputs/model_lab/full_baseline/full_baseline_forecasts.csv,TRUE,current,Registered; baseline runner
FixedGrowth_6,growth_baseline,python/model_lab/models/fixed_growth_model.py,FixedGrowth6Model,model class,baseline_generation,active,outputs/model_lab/full_baseline/full_baseline_forecasts.csv,TRUE,current,Registered; baseline runner
ARIMA_Fixed,statistical,python/model_lab/models/arima_fixed_model.py,ARIMAFixedModel,model class,baseline_generation,active,outputs/model_lab/full_baseline/full_baseline_forecasts.csv,TRUE,current,Registered; baseline origin; run by run_full_baseline_execution.py
ETS_Current,statistical,python/model_lab/models/ets_current_model.py,ETSCurrentModel,model class,baseline_generation,active,outputs/model_lab/full_baseline/full_baseline_forecasts.csv,TRUE,current,Registered; baseline runner
Theta,statistical,python/model_lab/models/theta_model.py,ThetaModel,model class,statistical_fit,active,outputs/model_lab/challenger_official_execution/*,TRUE,current,Challenger origin; run by run_challenger_official_execution.py (bundled with NBEATS)
AutoARIMA,statistical,python/model_lab/models/autoarima_model.py,AutoARIMAModel,model class,statistical_fit,active,outputs/model_lab/challenger_official_execution/*,TRUE,current,Challenger; run by run_challenger_official_execution.py
ETS Explicit,statistical,python/model_lab/models/ets_model.py,ETSModel (model_name='ETS Explicit'),model class CHAMPION,statistical_fit,active,outputs/model_lab/challenger_official_execution/*,TRUE,current,CURRENT CHAMPION (MASE 6.901); run by run_challenger_official_execution.py
LinearRegression,machine_learning,python/model_lab/models/linear_regression_model.py,LinearRegressionModel,model class,baseline_generation,active,outputs/model_lab/full_baseline/full_baseline_forecasts.csv,TRUE,current,Registered; baseline runner
LightGBM,machine_learning,python/model_lab/models/lightgbm_model.py,LightGBMModel,model class,ml_fit,active,outputs/model_lab/challenger_official_execution/*,TRUE,current,Challenger; run by run_challenger_official_execution.py
XGBoost,machine_learning,python/model_lab/models/xgboost_model.py,XGBoostModel,model class,ml_fit,active,outputs/model_lab/challenger_official_execution/*,TRUE,current,Challenger; run by run_challenger_official_execution.py
FNAR-V2,deep_learning,outputs/v3_2b_model_candidates/candidate_outputs/full_candidate_outputs.csv,candidate_id='FNAR-V2' (FastNeuralAR_MLP_v2_direct),frozen candidate study output,evaluation_only,active_frozen,outputs/v3_2b_model_candidates/candidate_outputs/full_candidate_outputs.csv,UNKNOWN,current,NO LIVE TRAINING SCRIPT. Produced by closed V3.2B/D/E candidate study; aggregated by build_canonical_universe.R only
NLIN-DLIN_FIXED,deep_learning,outputs/v3_2b_model_candidates/candidate_outputs/full_candidate_outputs.csv,candidate_id='NLIN-DLIN_FIXED' (NLinear_log_space_fixed),frozen candidate study output,evaluation_only,active_frozen,outputs/v3_2b_model_candidates/candidate_outputs/full_candidate_outputs.csv,UNKNOWN,current,NO LIVE TRAINING SCRIPT. Frozen candidate study; no daily runner
SMLP-TCN,deep_learning,outputs/v3_2b_model_candidates/candidate_outputs/full_candidate_outputs.csv,candidate_id='SMLP-TCN' (SmallMLPGlobal/SmallTCN),frozen candidate study output,evaluation_only,active_frozen,outputs/v3_2b_model_candidates/candidate_outputs/full_candidate_outputs.csv,UNKNOWN,current,NO LIVE TRAINING SCRIPT. Frozen candidate study; no daily runner
NBEATS,deep_learning (PROHIBITED),python/model_lab/models/nbeats_model.py,NBEATSModel,model class,legacy_training,active_but_prohibited,outputs/model_lab/challenger_official_execution/*,FALSE,legacy,PROHIBITED in daily scope. In model_registry.py + challenger_registry.yaml CH-06 + run_challenger_official_execution.py APPROVED_MODELS (EXECUTION BUG). Governance-deferred (TEST_LATER)
NHITS,deep_learning (PROHIBITED),python/model_lab/models/nhits_model.py,NHITSModel,model class,legacy_training,active_but_prohibited,n/a (deferred),FALSE,legacy,PROHIBITED. In model_registry.py + challenger_registry.yaml CH-07 + run_challenger_official_execution.py DEFERRED_MODEL. Governance-deferred
FastNeuralAR_MLP,deep_learning (RETIRED),outputs/v3_2h_model_consistency_fix/build_canonical_universe.R,RETIRED filter (model_name != 'FastNeuralAR_MLP'),retired model,legacy_training,deprecated,legacy challenger_metrics CSVs,FALSE,legacy,RETIRED (MASE 739.9). Explicitly excluded by canonical builder; superseded by FNAR-V2. Only in legacy pilot/challenger_metrics CSVs
