file_path,column_name,inferred_type,null_count,sample_values,notes
outputs/model_lab/model_lab_closure_pack/model_lab_champion_summary.csv,selected_champion_model,text_like,0,ETS Explicit,null_count sample-based for large CSVs
outputs/model_lab/model_lab_closure_pack/model_lab_champion_summary.csv,model_origin,text_like,0,challenger,null_count sample-based for large CSVs
outputs/model_lab/model_lab_closure_pack/model_lab_champion_summary.csv,model_family,text_like,0,statistical,null_count sample-based for large CSVs
outputs/model_lab/model_lab_closure_pack/model_lab_champion_summary.csv,decision_type,text_like,0,CHAMPION_SELECTED_WITH_CONDITIONS,null_count sample-based for large CSVs
outputs/model_lab/model_lab_closure_pack/model_lab_champion_summary.csv,decision_confidence,text_like,0,medium,null_count sample-based for large CSVs
outputs/model_lab/model_lab_closure_pack/model_lab_champion_summary.csv,official_median_mase,numeric_like,0,6.901143533373399,null_count sample-based for large CSVs
outputs/model_lab/model_lab_closure_pack/model_lab_champion_summary.csv,official_median_rmsse,numeric_like,0,1.856193218184295,null_count sample-based for large CSVs
outputs/model_lab/model_lab_closure_pack/model_lab_champion_summary.csv,supported_better_count,integer_like,0,8,null_count sample-based for large CSVs
outputs/model_lab/model_lab_closure_pack/model_lab_champion_summary.csv,supported_worse_count,boolean_like,0,0,null_count sample-based for large CSVs
outputs/model_lab/model_lab_closure_pack/model_lab_champion_summary.csv,conditions,text_like,0,Proceed through 5.31B closure pack; retain FastNeuralAR_MLP high-risk investigation and NBEATS/NHITS exclusion notes as non-champion conditions.,null_count sample-based for large CSVs
outputs/model_lab/model_lab_closure_pack/model_lab_champion_summary.csv,created_timestamp,date_like,0,2026-06-13T20:36:01,null_count sample-based for large CSVs
outputs/model_lab/model_lab_closure_pack/model_lab_final_model_universe.csv,model_name,text_like,0,ARIMA_Fixed | ETS_Current | LinearRegression | FixedGrowth_1_5 | FixedGrowth_3,null_count sample-based for large CSVs
outputs/model_lab/model_lab_closure_pack/model_lab_final_model_universe.csv,model_origin,text_like,0,baseline | challenger,null_count sample-based for large CSVs
outputs/model_lab/model_lab_closure_pack/model_lab_final_model_universe.csv,model_family,text_like,0,statistical | machine_learning | growth_baseline | lightweight_neural | deep_learning,null_count sample-based for large CSVs
outputs/model_lab/model_lab_closure_pack/model_lab_final_model_universe.csv,final_status,text_like,0,active_tournament_model | selected_champion | deferred_runtime_impractical | deferred_dependency_blocked,null_count sample-based for large CSVs
outputs/model_lab/model_lab_closure_pack/model_lab_final_model_universe.csv,included_in_tournament,boolean_like,0,True | False,null_count sample-based for large CSVs
outputs/model_lab/model_lab_closure_pack/model_lab_final_model_universe.csv,eligible_for_champion,boolean_like,0,True | False,null_count sample-based for large CSVs
