column,status
entity_key,preserved
date,preserved
forecast_value,preserved
model_version,preserved
forecast_version,preserved
scenario,preserved
resource,preserved
value_type,preserved
source_file,preserved
forecast_horizon_day,added
forecast_lower_80,added
forecast_upper_80,added
forecast_lower_95,added
forecast_upper_95,added
interval_available,added
interval_method,added
interval_source,added
interval_level_available,added
interval_calibration_grain,added
interval_calibration_sample_size,added
interval_horizon_bucket,added
interval_extrapolated,added
interval_unavailable_reason,added
