grain,model_or_pair,supported_better,worse,total_comparisons,source_file,notes
pairwise model_a x model_b,ARIMA_Fixed vs ETS_Current,True,,1,outputs/model_lab/tournament_engine/tournament_pairwise_evidence.csv,status=supported_difference; median_delta_mase=3.4917490250170395; model_a positive delta means model_b lower MASE if artifact uses model_a-model_b.
pairwise model_a x model_b,ARIMA_Fixed vs LinearRegression,False,,1,outputs/model_lab/tournament_engine/tournament_pairwise_evidence.csv,status=inconclusive; median_delta_mase=1.705991236700136; model_a positive delta means model_b lower MASE if artifact uses model_a-model_b.
pairwise model_a x model_b,ARIMA_Fixed vs FixedGrowth_1_5,True,,1,outputs/model_lab/tournament_engine/tournament_pairwise_evidence.csv,status=supported_difference; median_delta_mase=3.4709885792659385; model_a positive delta means model_b lower MASE if artifact uses model_a-model_b.
pairwise model_a x model_b,ARIMA_Fixed vs FixedGrowth_3,False,,1,outputs/model_lab/tournament_engine/tournament_pairwise_evidence.csv,status=inconclusive; median_delta_mase=2.7114576235508183; model_a positive delta means model_b lower MASE if artifact uses model_a-model_b.
pairwise model_a x model_b,ARIMA_Fixed vs FixedGrowth_4,False,,1,outputs/model_lab/tournament_engine/tournament_pairwise_evidence.csv,status=inconclusive; median_delta_mase=-0.12771059449634414; model_a positive delta means model_b lower MASE if artifact uses model_a-model_b.
pairwise model_a x model_b,ARIMA_Fixed vs FixedGrowth_6,True,,1,outputs/model_lab/tournament_engine/tournament_pairwise_evidence.csv,status=supported_difference; median_delta_mase=-5.788262263210186; model_a positive delta means model_b lower MASE if artifact uses model_a-model_b.
pairwise model_a x model_b,ARIMA_Fixed vs AutoARIMA,False,,1,outputs/model_lab/tournament_engine/tournament_pairwise_evidence.csv,status=inconclusive; median_delta_mase=1.1310858884806336; model_a positive delta means model_b lower MASE if artifact uses model_a-model_b.
pairwise model_a x model_b,ARIMA_Fixed vs Theta,False,,1,outputs/model_lab/tournament_engine/tournament_pairwise_evidence.csv,status=inconclusive; median_delta_mase=1.219324435497097; model_a positive delta means model_b lower MASE if artifact uses model_a-model_b.
pairwise model_a x model_b,ARIMA_Fixed vs ETS Explicit,True,,1,outputs/model_lab/tournament_engine/tournament_pairwise_evidence.csv,status=supported_difference; median_delta_mase=2.4811018688339104; model_a positive delta means model_b lower MASE if artifact uses model_a-model_b.
pairwise model_a x model_b,ARIMA_Fixed vs LightGBM,True,,1,outputs/model_lab/tournament_engine/tournament_pairwise_evidence.csv,status=supported_difference; median_delta_mase=-4.164279771135092; model_a positive delta means model_b lower MASE if artifact uses model_a-model_b.
pairwise model_a x model_b,ARIMA_Fixed vs XGBoost,False,,1,outputs/model_lab/tournament_engine/tournament_pairwise_evidence.csv,status=inconclusive; median_delta_mase=-1.5279728885785975; model_a positive delta means model_b lower MASE if artifact uses model_a-model_b.
pairwise model_a x model_b,ARIMA_Fixed vs FastNeuralAR_MLP,True,,1,outputs/model_lab/tournament_engine/tournament_pairwise_evidence.csv,status=supported_difference; median_delta_mase=-730.2829139760155; model_a positive delta means model_b lower MASE if artifact uses model_a-model_b.
pairwise model_a x model_b,ETS_Current vs LinearRegression,False,,1,outputs/model_lab/tournament_engine/tournament_pairwise_evidence.csv,status=inconclusive; median_delta_mase=-0.8867145572452326; model_a positive delta means model_b lower MASE if artifact uses model_a-model_b.
pairwise model_a x model_b,ETS_Current vs FixedGrowth_1_5,False,,1,outputs/model_lab/tournament_engine/tournament_pairwise_evidence.csv,status=inconclusive; median_delta_mase=1.0153514351118078; model_a positive delta means model_b lower MASE if artifact uses model_a-model_b.
pairwise model_a x model_b,ETS_Current vs FixedGrowth_3,False,,1,outputs/model_lab/tournament_engine/tournament_pairwise_evidence.csv,status=inconclusive; median_delta_mase=-0.47504077475906503; model_a positive delta means model_b lower MASE if artifact uses model_a-model_b.
pairwise model_a x model_b,ETS_Current vs FixedGrowth_4,False,,1,outputs/model_lab/tournament_engine/tournament_pairwise_evidence.csv,status=inconclusive; median_delta_mase=-3.577904727456488; model_a positive delta means model_b lower MASE if artifact uses model_a-model_b.
pairwise model_a x model_b,ETS_Current vs FixedGrowth_6,True,,1,outputs/model_lab/tournament_engine/tournament_pairwise_evidence.csv,status=supported_difference; median_delta_mase=-10.364527054375294; model_a positive delta means model_b lower MASE if artifact uses model_a-model_b.
pairwise model_a x model_b,ETS_Current vs AutoARIMA,False,,1,outputs/model_lab/tournament_engine/tournament_pairwise_evidence.csv,status=inconclusive; median_delta_mase=-0.6281149773890906; model_a positive delta means model_b lower MASE if artifact uses model_a-model_b.
pairwise model_a x model_b,ETS_Current vs Theta,False,,1,outputs/model_lab/tournament_engine/tournament_pairwise_evidence.csv,status=inconclusive; median_delta_mase=-0.2894896323719145; model_a positive delta means model_b lower MASE if artifact uses model_a-model_b.
pairwise model_a x model_b,ETS_Current vs ETS Explicit,False,,1,outputs/model_lab/tournament_engine/tournament_pairwise_evidence.csv,status=inconclusive; median_delta_mase=0.5297422134742611; model_a positive delta means model_b lower MASE if artifact uses model_a-model_b.
pairwise model_a x model_b,ETS_Current vs LightGBM,True,,1,outputs/model_lab/tournament_engine/tournament_pairwise_evidence.csv,status=supported_difference; median_delta_mase=-5.1075098660840705; model_a positive delta means model_b lower MASE if artifact uses model_a-model_b.
pairwise model_a x model_b,ETS_Current vs XGBoost,False,,1,outputs/model_lab/tournament_engine/tournament_pairwise_evidence.csv,status=inconclusive; median_delta_mase=-3.139126349279257; model_a positive delta means model_b lower MASE if artifact uses model_a-model_b.
pairwise model_a x model_b,ETS_Current vs FastNeuralAR_MLP,True,,1,outputs/model_lab/tournament_engine/tournament_pairwise_evidence.csv,status=supported_difference; median_delta_mase=-730.8969582130103; model_a positive delta means model_b lower MASE if artifact uses model_a-model_b.
pairwise model_a x model_b,LinearRegression vs FixedGrowth_1_5,False,,1,outputs/model_lab/tournament_engine/tournament_pairwise_evidence.csv,status=inconclusive; median_delta_mase=1.2888689819422319; model_a positive delta means model_b lower MASE if artifact uses model_a-model_b.
pairwise model_a x model_b,LinearRegression vs FixedGrowth_3,False,,1,outputs/model_lab/tournament_engine/tournament_pairwise_evidence.csv,status=inconclusive; median_delta_mase=-0.9600138551455832; model_a positive delta means model_b lower MASE if artifact uses model_a-model_b.
pairwise model_a x model_b,LinearRegression vs FixedGrowth_4,True,,1,outputs/model_lab/tournament_engine/tournament_pairwise_evidence.csv,status=supported_difference; median_delta_mase=-2.982386364279183; model_a positive delta means model_b lower MASE if artifact uses model_a-model_b.
pairwise model_a x model_b,LinearRegression vs FixedGrowth_6,True,,1,outputs/model_lab/tournament_engine/tournament_pairwise_evidence.csv,status=supported_difference; median_delta_mase=-9.746615634921213; model_a positive delta means model_b lower MASE if artifact uses model_a-model_b.
pairwise model_a x model_b,LinearRegression vs AutoARIMA,False,,1,outputs/model_lab/tournament_engine/tournament_pairwise_evidence.csv,status=inconclusive; median_delta_mase=0.8483022901602091; model_a positive delta means model_b lower MASE if artifact uses model_a-model_b.
pairwise model_a x model_b,LinearRegression vs Theta,False,,1,outputs/model_lab/tournament_engine/tournament_pairwise_evidence.csv,status=inconclusive; median_delta_mase=-0.16777905010234306; model_a positive delta means model_b lower MASE if artifact uses model_a-model_b.
pairwise model_a x model_b,LinearRegression vs ETS Explicit,True,,1,outputs/model_lab/tournament_engine/tournament_pairwise_evidence.csv,status=supported_difference; median_delta_mase=1.562823977588863; model_a positive delta means model_b lower MASE if artifact uses model_a-model_b.
pairwise model_a x model_b,LinearRegression vs LightGBM,True,,1,outputs/model_lab/tournament_engine/tournament_pairwise_evidence.csv,status=supported_difference; median_delta_mase=-4.67201767921317; model_a positive delta means model_b lower MASE if artifact uses model_a-model_b.
pairwise model_a x model_b,LinearRegression vs XGBoost,False,,1,outputs/model_lab/tournament_engine/tournament_pairwise_evidence.csv,status=inconclusive; median_delta_mase=-2.869578436182705; model_a positive delta means model_b lower MASE if artifact uses model_a-model_b.
pairwise model_a x model_b,LinearRegression vs FastNeuralAR_MLP,True,,1,outputs/model_lab/tournament_engine/tournament_pairwise_evidence.csv,status=supported_difference; median_delta_mase=-733.9574192677353; model_a positive delta means model_b lower MASE if artifact uses model_a-model_b.
pairwise model_a x model_b,FixedGrowth_1_5 vs FixedGrowth_3,False,,1,outputs/model_lab/tournament_engine/tournament_pairwise_evidence.csv,status=inconclusive; median_delta_mase=-2.299865569210919; model_a positive delta means model_b lower MASE if artifact uses model_a-model_b.
pairwise model_a x model_b,FixedGrowth_1_5 vs FixedGrowth_4,True,,1,outputs/model_lab/tournament_engine/tournament_pairwise_evidence.csv,status=supported_difference; median_delta_mase=-6.16616453924415; model_a positive delta means model_b lower MASE if artifact uses model_a-model_b.
pairwise model_a x model_b,FixedGrowth_1_5 vs FixedGrowth_6,True,,1,outputs/model_lab/tournament_engine/tournament_pairwise_evidence.csv,status=supported_difference; median_delta_mase=-16.388961991331207; model_a positive delta means model_b lower MASE if artifact uses model_a-model_b.
pairwise model_a x model_b,FixedGrowth_1_5 vs AutoARIMA,False,,1,outputs/model_lab/tournament_engine/tournament_pairwise_evidence.csv,status=inconclusive; median_delta_mase=-1.0055475109788805; model_a positive delta means model_b lower MASE if artifact uses model_a-model_b.
pairwise model_a x model_b,FixedGrowth_1_5 vs Theta,False,,1,outputs/model_lab/tournament_engine/tournament_pairwise_evidence.csv,status=inconclusive; median_delta_mase=-0.7375041975511212; model_a positive delta means model_b lower MASE if artifact uses model_a-model_b.
pairwise model_a x model_b,FixedGrowth_1_5 vs ETS Explicit,False,,1,outputs/model_lab/tournament_engine/tournament_pairwise_evidence.csv,status=inconclusive; median_delta_mase=-0.0011228486873200438; model_a positive delta means model_b lower MASE if artifact uses model_a-model_b.
pairwise model_a x model_b,FixedGrowth_1_5 vs LightGBM,True,,1,outputs/model_lab/tournament_engine/tournament_pairwise_evidence.csv,status=supported_difference; median_delta_mase=-9.132104748882073; model_a positive delta means model_b lower MASE if artifact uses model_a-model_b.
pairwise model_a x model_b,FixedGrowth_1_5 vs XGBoost,True,,1,outputs/model_lab/tournament_engine/tournament_pairwise_evidence.csv,status=supported_difference; median_delta_mase=-4.76206651160593; model_a positive delta means model_b lower MASE if artifact uses model_a-model_b.
pairwise model_a x model_b,FixedGrowth_1_5 vs FastNeuralAR_MLP,True,,1,outputs/model_lab/tournament_engine/tournament_pairwise_evidence.csv,status=supported_difference; median_delta_mase=-736.4598196589029; model_a positive delta means model_b lower MASE if artifact uses model_a-model_b.
pairwise model_a x model_b,FixedGrowth_3 vs FixedGrowth_4,True,,1,outputs/model_lab/tournament_engine/tournament_pairwise_evidence.csv,status=supported_difference; median_delta_mase=-3.6768323420018874; model_a positive delta means model_b lower MASE if artifact uses model_a-model_b.
pairwise model_a x model_b,FixedGrowth_3 vs FixedGrowth_6,True,,1,outputs/model_lab/tournament_engine/tournament_pairwise_evidence.csv,status=supported_difference; median_delta_mase=-11.03049702600569; model_a positive delta means model_b lower MASE if artifact uses model_a-model_b.
pairwise model_a x model_b,FixedGrowth_3 vs AutoARIMA,False,,1,outputs/model_lab/tournament_engine/tournament_pairwise_evidence.csv,status=inconclusive; median_delta_mase=0.2522412122988804; model_a positive delta means model_b lower MASE if artifact uses model_a-model_b.
pairwise model_a x model_b,FixedGrowth_3 vs Theta,False,,1,outputs/model_lab/tournament_engine/tournament_pairwise_evidence.csv,status=inconclusive; median_delta_mase=0.030257039669030483; model_a positive delta means model_b lower MASE if artifact uses model_a-model_b.
pairwise model_a x model_b,FixedGrowth_3 vs ETS Explicit,False,,1,outputs/model_lab/tournament_engine/tournament_pairwise_evidence.csv,status=inconclusive; median_delta_mase=1.4670603236420519; model_a positive delta means model_b lower MASE if artifact uses model_a-model_b.
pairwise model_a x model_b,FixedGrowth_3 vs LightGBM,True,,1,outputs/model_lab/tournament_engine/tournament_pairwise_evidence.csv,status=supported_difference; median_delta_mase=-5.845328368453006; model_a positive delta means model_b lower MASE if artifact uses model_a-model_b.
pairwise model_a x model_b,FixedGrowth_3 vs XGBoost,False,,1,outputs/model_lab/tournament_engine/tournament_pairwise_evidence.csv,status=inconclusive; median_delta_mase=-2.965342090129516; model_a positive delta means model_b lower MASE if artifact uses model_a-model_b.
pairwise model_a x model_b,FixedGrowth_3 vs FastNeuralAR_MLP,True,,1,outputs/model_lab/tournament_engine/tournament_pairwise_evidence.csv,status=supported_difference; median_delta_mase=-735.6642985248486; model_a positive delta means model_b lower MASE if artifact uses model_a-model_b.
pairwise model_a x model_b,FixedGrowth_4 vs FixedGrowth_6,True,,1,outputs/model_lab/tournament_engine/tournament_pairwise_evidence.csv,status=supported_difference; median_delta_mase=-7.531126547742778; model_a positive delta means model_b lower MASE if artifact uses model_a-model_b.
pairwise model_a x model_b,FixedGrowth_4 vs AutoARIMA,False,,1,outputs/model_lab/tournament_engine/tournament_pairwise_evidence.csv,status=inconclusive; median_delta_mase=3.915381240794993; model_a positive delta means model_b lower MASE if artifact uses model_a-model_b.
pairwise model_a x model_b,FixedGrowth_4 vs Theta,True,,1,outputs/model_lab/tournament_engine/tournament_pairwise_evidence.csv,status=supported_difference; median_delta_mase=3.449136489197624; model_a positive delta means model_b lower MASE if artifact uses model_a-model_b.
pairwise model_a x model_b,FixedGrowth_4 vs ETS Explicit,True,,1,outputs/model_lab/tournament_engine/tournament_pairwise_evidence.csv,status=supported_difference; median_delta_mase=4.6651621680184405; model_a positive delta means model_b lower MASE if artifact uses model_a-model_b.
pairwise model_a x model_b,FixedGrowth_4 vs LightGBM,False,,1,outputs/model_lab/tournament_engine/tournament_pairwise_evidence.csv,status=inconclusive; median_delta_mase=-2.490041991682265; model_a positive delta means model_b lower MASE if artifact uses model_a-model_b.
pairwise model_a x model_b,FixedGrowth_4 vs XGBoost,False,,1,outputs/model_lab/tournament_engine/tournament_pairwise_evidence.csv,status=inconclusive; median_delta_mase=1.056268280319919; model_a positive delta means model_b lower MASE if artifact uses model_a-model_b.
pairwise model_a x model_b,FixedGrowth_4 vs FastNeuralAR_MLP,True,,1,outputs/model_lab/tournament_engine/tournament_pairwise_evidence.csv,status=supported_difference; median_delta_mase=-732.4735866198845; model_a positive delta means model_b lower MASE if artifact uses model_a-model_b.
pairwise model_a x model_b,FixedGrowth_6 vs AutoARIMA,False,,1,outputs/model_lab/tournament_engine/tournament_pairwise_evidence.csv,status=inconclusive; median_delta_mase=9.717266644365692; model_a positive delta means model_b lower MASE if artifact uses model_a-model_b.
pairwise model_a x model_b,FixedGrowth_6 vs Theta,True,,1,outputs/model_lab/tournament_engine/tournament_pairwise_evidence.csv,status=supported_difference; median_delta_mase=12.960982271328604; model_a positive delta means model_b lower MASE if artifact uses model_a-model_b.
pairwise model_a x model_b,FixedGrowth_6 vs ETS Explicit,True,,1,outputs/model_lab/tournament_engine/tournament_pairwise_evidence.csv,status=supported_difference; median_delta_mase=9.874655997175203; model_a positive delta means model_b lower MASE if artifact uses model_a-model_b.
pairwise model_a x model_b,FixedGrowth_6 vs LightGBM,False,,1,outputs/model_lab/tournament_engine/tournament_pairwise_evidence.csv,status=inconclusive; median_delta_mase=5.189481878376327; model_a positive delta means model_b lower MASE if artifact uses model_a-model_b.
pairwise model_a x model_b,FixedGrowth_6 vs XGBoost,True,,1,outputs/model_lab/tournament_engine/tournament_pairwise_evidence.csv,status=supported_difference; median_delta_mase=8.821529853060733; model_a positive delta means model_b lower MASE if artifact uses model_a-model_b.
pairwise model_a x model_b,FixedGrowth_6 vs FastNeuralAR_MLP,True,,1,outputs/model_lab/tournament_engine/tournament_pairwise_evidence.csv,status=supported_difference; median_delta_mase=-725.0884549135299; model_a positive delta means model_b lower MASE if artifact uses model_a-model_b.
pairwise model_a x model_b,AutoARIMA vs Theta,False,,1,outputs/model_lab/tournament_engine/tournament_pairwise_evidence.csv,status=inconclusive; median_delta_mase=-1.019721283302374; model_a positive delta means model_b lower MASE if artifact uses model_a-model_b.
pairwise model_a x model_b,AutoARIMA vs ETS Explicit,True,,1,outputs/model_lab/tournament_engine/tournament_pairwise_evidence.csv,status=supported_difference; median_delta_mase=0.7497809272234477; model_a positive delta means model_b lower MASE if artifact uses model_a-model_b.
