file_path,file_type,exists,row_count,column_count,likely_grain,likely_use,governed_status,notes
outputs/model_lab/model_lab_closure_pack/model_lab_champion_summary.csv,csv,true,1,11,champion-level / decision-level,Champion,governed_stage05_output,"columns: selected_champion_model, model_origin, model_family, decision_type, decision_confidence, official_median_mase, official_median_rmsse, supported_better_count, supported_worse_count, conditions, created_timestamp"
outputs/model_lab/model_lab_closure_pack/model_lab_final_model_universe.csv,csv,true,15,10,model-level rows,Universe,governed_stage05_output,"columns: model_name, model_origin, model_family, final_status, included_in_tournament, eligible_for_champion, selected_champion, deferred_reason, risk_flag, created_timestamp"
outputs/model_lab/model_lab_closure_pack/model_lab_risk_register_final.csv,csv,true,7,10,risk-level,Governance,governed_stage05_output,"columns: risk_id, risk_type, risk_level, model_name, risk_description, impact, decision_treatment, carry_forward_to_dashboard, carry_forward_to_future_work, created_timestamp"
outputs/model_lab/model_lab_closure_pack/model_lab_key_results.csv,csv,true,11,5,metric/value KPI,Reference,governed_stage05_output,"columns: metric_name, metric_value, metric_context, dashboard_section, created_timestamp"
outputs/model_lab/champion_decision/champion_decision.csv,csv,true,1,9,champion-level / decision-level,Champion,governed_stage05_output,"columns: run_id, decision, selected_champion_model, selected_champion_origin, selected_champion_family, decision_confidence, conditions, no_champion_reason, created_timestamp"
outputs/model_lab/champion_decision/champion_candidate_evaluation.csv,csv,true,13,16,model-level rows,Champion,governed_stage05_output,"columns: run_id, model_name, model_origin, model_family, official_median_mase, official_median_rmsse, supported_better_count, supported_worse_count, inconclusive_count, risk_status, audit_risk_flag, eligible_for_champion_consideration, manual_review_required, manual_review_reason, champion_candidate_status, created_timestamp"
outputs/model_lab/champion_decision/champion_decision_scorecard.csv,csv,true,13,12,model-level rows,Tournament; Champion,governed_stage05_output,"columns: run_id, model_name, model_origin, model_family, official_median_mase, official_median_rmsse, pairwise_support_strength, guardrail_status, risk_status, decision_eligibility, decision_notes, created_timestamp"
outputs/model_lab/champion_decision/champion_decision_evidence_summary.csv,csv,true,9,7,artifact rows,Champion,governed_stage05_output,"columns: run_id, evidence_area, finding, supports_champion_selection, supports_no_champion, notes, created_timestamp"
outputs/model_lab/champion_decision/champion_decision_risk_review.csv,csv,true,21,8,model-level rows,Champion; Governance,governed_stage05_output,"columns: run_id, model_name, risk_type, risk_level, evidence, impact_on_champion_decision, decision_treatment, created_timestamp"
outputs/model_lab/tournament_engine/tournament_model_scorecard.csv,csv,true,13,17,model-level,Tournament,governed_stage05_output,"columns: run_id, model_name, model_origin, model_family, entity_count, official_median_mase, official_median_rmsse, median_wmape, median_smape, median_bias, mase_guardrail_status, rmsse_guardrail_status, risk_status, audit_risk_flag, eligible_for_champion_consideration, champion_exclusion_reason, created_timestamp"
outputs/model_lab/tournament_engine/tournament_preliminary_standings.csv,csv,true,13,13,model-level rows,Tournament,governed_stage05_output,"columns: run_id, preliminary_position, model_name, model_origin, model_family, official_median_mase, official_median_rmsse, supported_better_count, supported_worse_count, risk_status, audit_risk_flag, eligible_for_champion_consideration, created_timestamp"
outputs/model_lab/tournament_engine/tournament_pairwise_evidence.csv,csv,true,78,16,pairwise model_a x model_b,Tournament,governed_stage05_output,"columns: run_id, model_a, model_b, model_a_origin, model_b_origin, paired_entity_count, median_delta_mase, bootstrap_ci_low, bootstrap_ci_high, sign_test_p_value, bh_adjusted_p_value, practical_threshold, practically_meaningful, statistically_supported, comparison_status, created_timestamp"
outputs/model_lab/tournament_engine/tournament_model_evidence_summary.csv,csv,true,13,11,model-level rows,Tournament,governed_stage05_output,"columns: run_id, model_name, model_origin, model_family, comparisons_tested, supported_better_count, supported_worse_count, inconclusive_count, net_supported_evidence, audit_risk_flag, created_timestamp"
outputs/model_lab/tournament_engine/tournament_entity_model_scores.csv,csv,true,507,13,entity x model,Tournament,governed_stage05_output,"columns: run_id, model_name, model_origin, model_family, entity_key, median_mase, median_rmsse, median_wmape, median_smape, median_bias, entity_weight, audit_risk_flag, created_timestamp"
outputs/model_lab/tournament_engine/tournament_risk_register.csv,csv,true,14,8,model-level rows,Tournament; Governance,governed_stage05_output,"columns: run_id, model_name, risk_type, risk_level, evidence, impact_on_tournament, recommended_review_action, created_timestamp"
outputs/model_lab/tournament_engine/tournament_summary.csv,csv,true,1,11,artifact rows,Tournament,governed_stage05_output,"columns: run_id, baseline_models, challenger_models, total_tournament_models, entity_model_rows, pairwise_comparisons, preliminary_standings_created, champion_selected, winner_selected, ready_for_5_30A_sanity_review, created_timestamp"
outputs/model_lab/tournament_sanity_review/tournament_candidate_readiness_for_5_31.csv,csv,true,13,9,model-level rows,Tournament,diagnostic_or_intermediate,"columns: run_id, model_name, model_origin, model_family, eligible_for_5_31_review, not_eligible_reason, requires_manual_review, manual_review_reason, created_timestamp"
outputs/model_lab/tournament_sanity_review/tournament_preliminary_standings_review.csv,csv,true,13,15,model-level rows,Tournament,diagnostic_or_intermediate,"columns: run_id, preliminary_position, model_name, model_origin, model_family, official_median_mase, official_median_rmsse, supported_better_count, supported_worse_count, risk_status, audit_risk_flag, eligible_for_champion_consideration, sanity_review_status, sanity_review_notes, created_timestamp"
outputs/model_lab/tournament_sanity_review/tournament_pairwise_sanity_review.csv,csv,true,78,11,pairwise model_a x model_b,Tournament,diagnostic_or_intermediate,"columns: run_id, model_a, model_b, comparison_status, median_delta_mase, bh_adjusted_p_value, practically_meaningful, statistically_supported, sanity_review_status, sanity_review_notes, created_timestamp"
outputs/model_lab/tournament_sanity_review/tournament_risk_sanity_review.csv,csv,true,14,10,model-level rows,Tournament; Governance,diagnostic_or_intermediate,"columns: run_id, model_name, risk_type, risk_level, evidence, impact_on_tournament, recommended_review_action, sanity_review_status, blocking_for_5_31, created_timestamp"
outputs/governance/6_2_decision_rules/governance_recommendations.csv,csv,true,15,13,model-level rows,Governance; Universe,governed_stage06_output,"columns: model_name, model_origin, model_family, final_status, selected_champion, risk_flag, eligible_for_champion, governance_primary_action, governance_secondary_action, recommendation_summary, dashboard_requirement, future_review_trigger, created_timestamp"
outputs/governance/6_2_decision_rules/risk_to_action_mapping.csv,csv,true,7,13,risk-level,Governance,governed_stage06_output,"columns: risk_id, source_artifact, risk_type, model_name, risk_description, risk_level, assigned_primary_action, assigned_secondary_action, action_rationale, dashboard_carry_forward, future_work_required, review_trigger, created_timestamp"
outputs/governance/6_2_decision_rules/model_recommendation_rules.csv,csv,true,12,10,artifact rows,Governance; Universe,governed_stage06_output,"columns: rule_id, rule_name, applies_to, input_condition, required_evidence, recommendation_action, blocking_status, manual_review_required, dashboard_requirement, created_timestamp"
outputs/governance/6_2_decision_rules/decision_action_framework.csv,csv,true,12,11,artifact rows,Governance,governed_stage06_output,"columns: action_id, action_name, action_category, definition, trigger_conditions, required_evidence, governance_treatment, dashboard_treatment, manual_review_required, terminal_or_transitional, created_timestamp"
outputs/governance/6_3_champion_conditions/champion_conditions_protocol.csv,csv,true,5,11,champion-level / decision-level,Champion; Governance,governed_stage06_output,"columns: condition_id, selected_champion_model, condition_type, condition_description, source_artifact, severity, governance_action, dashboard_display_required, review_trigger, expiration_or_reassessment_rule, created_timestamp"
outputs/governance/6_3_champion_conditions/champion_dashboard_language.csv,csv,true,13,8,artifact rows,Champion; Governance,governed_stage06_output,"columns: language_id, language_category, audience, statement_text, allowed_status, reason, replacement_statement, created_timestamp"
outputs/governance/6_4_dashboard_contract/dashboard_data_binding_contract.csv,csv,true,14,10,artifact rows,Governance,governed_stage06_output,"columns: binding_id, dashboard_section, source_artifact, source_fields, display_fields, allowed_transformations, prohibited_transformations, refresh_behavior, required_for_mvp, created_timestamp"
outputs/governance/6_4_dashboard_contract/dashboard_governance_contract.csv,csv,true,14,10,artifact rows,Governance,governed_stage06_output,"columns: contract_id, contract_area, contract_rule, rule_type, required_behavior, prohibited_behavior, source_artifact, governance_rationale, blocking_if_violated, created_timestamp"
outputs/governance/6_5_governance_closure_pack/governance_register.csv,csv,true,17,9,artifact rows,Governance,governed_stage06_output,"columns: register_id, register_type, source_block, subject, governance_status, required_action, dashboard_visibility_required, source_artifact, created_timestamp"
outputs/governance/audit_6/audit_6_summary.csv,csv,true,1,11,artifact rows,Governance,governed_stage06_output,"columns: audit_id, audit_name, audit_scope, overall_verdict, blocker_count, major_count, minor_count, advisory_count, ready_for_shiny_mvp, conditions_required_before_shiny, created_timestamp"
outputs/model_lab/aggregation_hierarchy/aggregation_by_model.csv,csv,true,7,16,model-level rows,Reference,diagnostic_or_intermediate,"columns: model_name, entities, windows, official_median_mase, diagnostic_mean_mase, diagnostic_p95_mase, official_median_rmsse, diagnostic_mean_rmsse, diagnostic_p95_rmsse, pct_entities_beating_naive, pct_windows_beating_naive, pct_entities_high_risk, pct_windows_high_risk, mase_denominator_floored_rows, rmsse_denominator_floored_rows, created_timestamp"
outputs/model_lab/challenger_aggregation_significance/challenger_aggregation_by_model.csv,csv,true,6,15,model-level,Reference,diagnostic_or_intermediate,"columns: run_id, model_name, entity_count, entity_model_rows, official_median_mase, diagnostic_mean_mase, diagnostic_p95_mase, official_median_rmsse, diagnostic_mean_rmsse, diagnostic_p95_rmsse, median_wmape, median_smape, median_bias, negative_forecast_rows, created_timestamp"
outputs/model_lab/statistical_significance/pairwise_model_significance.csv,csv,true,21,21,pairwise model_a x model_b,Tournament,diagnostic_or_intermediate,"columns: run_id, model_a, model_b, entities_compared, ties, model_a_entity_wins, model_b_entity_wins, model_a_entity_win_rate, model_b_entity_win_rate, median_delta_mase, mean_delta_mase, bootstrap_median_delta, ci_lower_95, ci_upper_95, p_value_sign_test, p_value_bh_adjusted, bh_significant, min_practical_mase_delta, practical_significance, evidence_status, created_timestamp"
outputs/model_lab/challenger_aggregation_significance/challenger_pairwise_significance.csv,csv,true,15,14,pairwise model_a x model_b,Tournament,diagnostic_or_intermediate,"columns: run_id, model_a, model_b, paired_entity_count, median_delta_mase, bootstrap_ci_low, bootstrap_ci_high, sign_test_p_value, bh_adjusted_p_value, practical_threshold, practically_meaningful, statistically_supported, comparison_status, created_timestamp"
outputs/model_lab/mase/mase_by_model.csv,csv,true,7,7,model-level rows,Reference,diagnostic_or_intermediate,"columns: model_name, metric_rows, median_mase, mean_mase, p95_mase, pct_windows_beating_naive, created_timestamp"
outputs/model_lab/rmsse/rmsse_by_model.csv,csv,true,7,8,model-level rows,Reference,diagnostic_or_intermediate,"columns: model_name, metric_rows, median_rmsse, mean_rmsse, p95_rmsse, pct_beating_naive, pct_high_risk, created_timestamp"
outputs/model_lab/ranking_policy/ranking_metric_weights.csv,csv,true,5,4,metric/value KPI,Reference,historical_or_baseline_ranking_reference,"columns: metric_name, weight, direction_before_normalization, normalized_score_direction; filename suggests weights"
outputs/model_lab/ranking_policy/ranking_policy_definition.csv,csv,true,4,3,artifact rows,Reference,historical_or_baseline_ranking_reference,"columns: policy_area, rule, rationale"
outputs/model_lab/ranking_dry_run/baseline_ranking_scores.csv,csv,true,3178,29,entity x model,Reference,historical_or_baseline_ranking_reference,"columns: run_id, entity_key, window_id, model_name, forecast_rows, wmape, mape, rmse, smape, bias, created_timestamp, abs_bias, clipped_wmape, clipped_mape, clipped_rmse, clipped_smape, clipped_abs_bias, normalized_wmape, normalized_mape, normalized_rmse, normalized_smape, normalized_abs_bias, weighted_wmape, weighted_mape, weighted_rmse"
config/ranking_policy.yaml,yaml,true,70,0,document/config rows,Reference,historical_or_baseline_ranking_reference,
config/scoring_definitions.yaml,yaml,true,88,0,document/config rows,Reference,policy_or_documentation,
docs/benchmark_semantics/benchmark_semantics_v1.md,md,true,102,0,document/config rows,Reference,policy_or_documentation,
docs/benchmark_semantics/decisions_log.md,md,true,60,0,document/config rows,Reference,policy_or_documentation,
shiny_app/ui/tabs.R,r,true,1234,0,artifact rows,Reference,ui_or_stage07_reference,
shiny_app/R/helpers.R,r,true,1561,0,artifact rows,Reference,ui_or_stage07_reference,
shiny_app/R/data_loader.R,r,true,323,0,artifact rows,Reference,ui_or_stage07_reference,
