file_path,file_type,runtime_category,uses_relative_paths,uses_absolute_paths,references_outputs,references_python,references_shiny_app,references_stage05,references_stage06,notes
config/backtesting.yaml,config,config,False,False,False,False,False,False,False,content scanned
config/challenger_registry.yaml,config,config,False,False,False,False,False,False,False,content scanned
config/execution.yaml,config,config,False,False,True,False,False,False,False,content scanned
config/multistep_forecasting.yaml,config,config,False,False,False,False,False,False,False,content scanned
config/ranking_policy.yaml,config,config,False,False,True,False,False,False,False,content scanned
config/scoring_definitions.yaml,config,config,False,False,False,False,False,False,False,content scanned
config/scoring_weights.yaml,config,config,False,False,False,False,False,False,False,content scanned
config/tournament.yaml,config,config,False,False,False,False,False,False,False,content scanned
data/processed/actuals.csv,csv_text,csv_text,False,False,False,False,False,False,False,content scanned
data/processed/entities.csv,csv_text,csv_text,False,False,False,False,False,False,False,content scanned
data/processed/forecast_comparison.csv,csv_text,csv_text,False,False,False,False,False,False,False,content scanned
data/processed/forecasts.csv,csv_text,csv_text,False,False,False,False,False,False,False,content scanned
data/processed/run_metadata.csv,csv_text,csv_text,False,False,False,False,False,False,False,content scanned
data/raw/hdd_forest_metrics.csv,csv_text,csv_text,False,False,False,False,False,False,False,content scanned
data/raw/hdd_region_actuals.csv,csv_text,csv_text,False,False,False,False,False,False,False,content scanned
data/raw/hdd_region_forecasts.csv,csv_text,csv_text,False,False,False,False,False,False,False,content scanned
data/raw/hdd_region_metrics.csv,csv_text,csv_text,False,False,False,False,False,False,False,content scanned
data/raw/ssd_phx_lvne_metrics.csv,csv_text,csv_text,False,False,False,False,False,False,False,content scanned
data/raw/ssd_phx_lvwe_metrics.csv,csv_text,csv_text,False,False,False,False,False,False,False,content scanned
data/sample/actuals.csv,csv_text,csv_text,False,False,False,False,False,False,False,content scanned
data/sample/forecasts.csv,csv_text,csv_text,False,False,False,False,False,False,False,content scanned
data/sample/metrics.csv,csv_text,csv_text,False,False,False,False,False,False,False,content scanned
data/sample/rankings.csv,csv_text,csv_text,False,False,False,False,False,False,False,content scanned
data/sample/recommendations.csv,csv_text,csv_text,False,False,False,False,False,False,False,content scanned
data/sample/run_metadata.csv,csv_text,csv_text,False,False,False,False,False,False,False,content scanned
docs/benchmark_semantics/benchmark_semantics_v1.md,markdown_operational,markdown_operational,False,False,False,False,False,False,False,content scanned
docs/benchmark_semantics/decisions_log.md,markdown_operational,markdown_operational,False,False,False,False,False,False,False,content scanned
docs/updated_blueprint/updated_tesseract_forecast_improvement_blueprint.md,markdown_operational,markdown_operational,True,False,True,True,True,True,True,content scanned
outputs/dashboard/dashboard_metadata.csv,csv_text,csv_text,False,False,False,False,False,False,False,content scanned
outputs/dashboard/executive_summary.csv,csv_historical,csv_historical,False,False,False,False,False,False,False,content scanned
outputs/dashboard/horizon_summary.csv,csv_historical,csv_historical,False,False,False,False,False,False,False,content scanned
outputs/dashboard/metric_summary.csv,csv_historical,csv_historical,False,False,False,False,False,False,False,content scanned
outputs/dashboard/top_entities.csv,csv_text,csv_text,False,False,False,False,False,False,False,content scanned
outputs/evaluation/backtest_window_inventory.csv,csv_text,csv_text,False,False,False,False,False,False,False,content scanned
outputs/evaluation/evaluation_dataset.csv,csv_text,csv_text,False,False,False,False,False,False,False,content scanned
outputs/evaluation/evaluation_dataset_metadata.csv,csv_text,csv_text,False,False,False,False,False,False,False,content scanned
outputs/evaluation/evaluation_source_inventory.csv,csv_text,csv_text,False,False,False,False,False,False,False,content scanned
outputs/evaluation/evaluation_source_summary.txt,markdown_historical,markdown_historical,False,False,False,False,False,False,False,content scanned
outputs/governance/6_0_audit5_finding_resolution/audit5_finding_resolution.csv,csv_historical,csv_historical,True,False,True,False,False,True,False,content scanned
outputs/governance/6_0_audit5_finding_resolution/audit5_finding_resolution_report.md,markdown_historical,markdown_historical,False,False,True,False,False,True,True,content scanned
outputs/governance/6_0_audit5_finding_resolution/governed_manifest_correction.csv,csv_historical,csv_historical,True,False,True,False,False,True,True,content scanned
outputs/governance/6_1_governance_foundation/governance_6_0_6_1_validation.csv,csv_historical,csv_historical,True,True,True,False,False,True,True,content scanned
outputs/governance/6_1_governance_foundation/governance_definitions.csv,csv_historical,csv_historical,False,False,False,False,False,True,True,content scanned
outputs/governance/6_1_governance_foundation/governance_foundation_report.md,markdown_historical,markdown_historical,True,False,True,False,False,True,True,content scanned
outputs/governance/6_1_governance_foundation/governance_status_taxonomy.csv,csv_historical,csv_historical,False,False,False,False,False,True,True,content scanned
outputs/governance/6_2_decision_rules/decision_action_framework.csv,csv_historical,csv_historical,False,False,False,False,False,False,True,content scanned
outputs/governance/6_2_decision_rules/decision_rule_traceability.csv,csv_historical,csv_historical,True,False,True,False,False,True,True,content scanned
outputs/governance/6_2_decision_rules/decision_rules_report.md,markdown_historical,markdown_historical,False,False,True,False,False,True,True,content scanned
outputs/governance/6_2_decision_rules/decision_rules_validation.csv,csv_historical,csv_historical,True,False,True,False,True,True,True,content scanned
outputs/governance/6_2_decision_rules/governance_recommendations.csv,csv_historical,csv_historical,False,False,False,True,False,False,True,content scanned
outputs/governance/6_2_decision_rules/model_recommendation_rules.csv,csv_historical,csv_historical,False,False,False,False,False,False,True,content scanned
outputs/governance/6_2_decision_rules/risk_to_action_mapping.csv,csv_historical,csv_historical,True,False,True,True,False,True,False,content scanned
outputs/governance/6_3_champion_conditions/champion_condition_traceability.csv,csv_historical,csv_historical,True,False,True,False,False,True,True,content scanned
outputs/governance/6_3_champion_conditions/champion_conditions_protocol.csv,csv_historical,csv_historical,True,False,True,False,False,True,True,content scanned
outputs/governance/6_3_champion_conditions/champion_conditions_report.md,markdown_historical,markdown_historical,False,False,True,False,False,True,True,content scanned
outputs/governance/6_3_champion_conditions/champion_conditions_validation.csv,csv_historical,csv_historical,True,False,True,False,True,True,True,content scanned
outputs/governance/6_3_champion_conditions/champion_dashboard_display_requirements.csv,csv_historical,csv_historical,True,False,True,False,False,True,True,content scanned
outputs/governance/6_3_champion_conditions/champion_dashboard_language.csv,csv_historical,csv_historical,False,False,False,False,False,False,True,content scanned
outputs/governance/6_4_dashboard_contract/dashboard_contract_validation.csv,csv_historical,csv_historical,True,False,True,False,True,True,True,content scanned
outputs/governance/6_4_dashboard_contract/dashboard_data_binding_contract.csv,csv_historical,csv_historical,True,False,True,False,False,True,True,content scanned
