"check_id","check_name","expected","observed","result","proceeded"
"GATE-001","Current branch","main","main","PASS","YES"
"GATE-002","Fetch from origin","Succeeds","Succeeded","PASS","YES"
"GATE-003","HEAD equals origin/main","Equal","Both at 61ebb65808e31c0f63f96953035a562ac5a6e2ac","PASS","YES"
"GATE-004","Commits ahead of origin","0","0","PASS","YES"
"GATE-005","Commits behind origin","0","0","PASS","YES"
"GATE-006","Working tree state","Clean or expected only","Clean, 0 entries","PASS","YES"
"GATE-007","Checkpoint commit is on the remote","b19bccd reachable from origin/main","Confirmed ancestor of HEAD","PASS","YES"
"GATE-008","Bundle exists","Present outside OneDrive","Present, 212821486 bytes","PASS","YES"
"GATE-009","Bundle verifies","Complete history","The bundle records a complete history","PASS","YES"
"GATE-010","Overall gate","All checks pass before any deletion","All 9 preconditions satisfied","PASS","YES"
