series_id,metric,backtest_ready,backtest_evidence,accuracy_ready,accuracy_evidence,ranking_ready,ranking_evidence,forecast_ready,forecast_evidence,product_ready,readiness_source,manifest_has_15_model_backtests_original,manifest_flag_used_for_readiness,manifest_flag_would_have_excluded
HDD__Basilisk__NA__Forest__apcp150,HDD,TRUE,"15/15 models, min rows/model 150",TRUE,15/15 models,TRUE,"15/15 models, 1 champion, policy P6C_RANKING_POLICY_V2",TRUE,"15/15 models, 30 steps each, type GOVERNED_30_STEP_DAILY_FORECAST",TRUE,DERIVED_FROM_GOVERNED_ARTIFACTS,TRUE,FALSE,FALSE
HDD__Basilisk__NA__Forest__chnpr01,HDD,TRUE,"15/15 models, min rows/model 150",TRUE,15/15 models,TRUE,"15/15 models, 1 champion, policy P6C_RANKING_POLICY_V2",TRUE,"15/15 models, 30 steps each, type GOVERNED_30_STEP_DAILY_FORECAST",TRUE,DERIVED_FROM_GOVERNED_ARTIFACTS,TRUE,FALSE,FALSE
HDD__Basilisk__NA__Forest__eurp180,HDD,TRUE,"15/15 models, min rows/model 150",TRUE,15/15 models,TRUE,"15/15 models, 1 champion, policy P6C_RANKING_POLICY_V2",TRUE,"15/15 models, 30 steps each, type GOVERNED_30_STEP_DAILY_FORECAST",TRUE,DERIVED_FROM_GOVERNED_ARTIFACTS,TRUE,FALSE,FALSE
HDD__Basilisk__NA__Forest__eurprd07,HDD,TRUE,"15/15 models, min rows/model 150",TRUE,15/15 models,TRUE,"15/15 models, 1 champion, policy P6C_RANKING_POLICY_V2",TRUE,"15/15 models, 30 steps each, type GOVERNED_30_STEP_DAILY_FORECAST",TRUE,DERIVED_FROM_GOVERNED_ARTIFACTS,TRUE,FALSE,FALSE
HDD__Basilisk__NA__Forest__jpnprd01,HDD,TRUE,"15/15 models, min rows/model 150",TRUE,15/15 models,TRUE,"15/15 models, 1 champion, policy P6C_RANKING_POLICY_V2",TRUE,"15/15 models, 30 steps each, type GOVERNED_30_STEP_DAILY_FORECAST",TRUE,DERIVED_FROM_GOVERNED_ARTIFACTS,TRUE,FALSE,FALSE
HDD__Basilisk__NA__Forest__namp113,HDD,TRUE,"15/15 models, min rows/model 150",TRUE,15/15 models,TRUE,"15/15 models, 1 champion, policy P6C_RANKING_POLICY_V2",TRUE,"15/15 models, 30 steps each, type GOVERNED_30_STEP_DAILY_FORECAST",TRUE,DERIVED_FROM_GOVERNED_ARTIFACTS,TRUE,FALSE,FALSE
HDD__Basilisk__NA__Forest__namp157,HDD,TRUE,"15/15 models, min rows/model 150",TRUE,15/15 models,TRUE,"15/15 models, 1 champion, policy P6C_RANKING_POLICY_V2",TRUE,"15/15 models, 30 steps each, type GOVERNED_30_STEP_DAILY_FORECAST",TRUE,DERIVED_FROM_GOVERNED_ARTIFACTS,TRUE,FALSE,FALSE
HDD__Basilisk__NA__Forest__namp222,HDD,TRUE,"15/15 models, min rows/model 150",TRUE,15/15 models,TRUE,"15/15 models, 1 champion, policy P6C_RANKING_POLICY_V2",TRUE,"15/15 models, 30 steps each, type GOVERNED_30_STEP_DAILY_FORECAST",TRUE,DERIVED_FROM_GOVERNED_ARTIFACTS,TRUE,FALSE,FALSE
HDD__Basilisk__NA__Forest__namprd15,HDD,TRUE,"15/15 models, min rows/model 150",TRUE,15/15 models,TRUE,"15/15 models, 1 champion, policy P6C_RANKING_POLICY_V2",TRUE,"15/15 models, 30 steps each, type GOVERNED_30_STEP_DAILY_FORECAST",TRUE,DERIVED_FROM_GOVERNED_ARTIFACTS,TRUE,FALSE,FALSE
HDD__Basilisk__NA__Region__GBR-Go-Local,HDD,TRUE,"15/15 models, min rows/model 150",TRUE,15/15 models,TRUE,"15/15 models, 1 champion, policy P6C_RANKING_POLICY_V2",TRUE,"15/15 models, 30 steps each, type GOVERNED_30_STEP_DAILY_FORECAST",TRUE,DERIVED_FROM_GOVERNED_ARTIFACTS,TRUE,FALSE,FALSE
HDD__Basilisk__NA__Region__ITA-Go-Local,HDD,TRUE,"15/15 models, min rows/model 150",TRUE,15/15 models,TRUE,"15/15 models, 1 champion, policy P6C_RANKING_POLICY_V2",TRUE,"15/15 models, 30 steps each, type GOVERNED_30_STEP_DAILY_FORECAST",TRUE,DERIVED_FROM_GOVERNED_ARTIFACTS,TRUE,FALSE,FALSE
HDD__Basilisk__NA__Region__are-Go-Local,HDD,TRUE,"15/15 models, min rows/model 150",TRUE,15/15 models,TRUE,"15/15 models, 1 champion, policy P6C_RANKING_POLICY_V2",TRUE,"15/15 models, 30 steps each, type GOVERNED_30_STEP_DAILY_FORECAST",TRUE,DERIVED_FROM_GOVERNED_ARTIFACTS,TRUE,FALSE,FALSE
HDD__Basilisk__NA__Region__chl-Go-Local,HDD,TRUE,"15/15 models, min rows/model 150",TRUE,15/15 models,TRUE,"15/15 models, 1 champion, policy P6C_RANKING_POLICY_V2",TRUE,"15/15 models, 30 steps each, type GOVERNED_30_STEP_DAILY_FORECAST",TRUE,DERIVED_FROM_GOVERNED_ARTIFACTS,TRUE,FALSE,FALSE
HDD__Basilisk__NA__Region__fra-Go-Local,HDD,TRUE,"15/15 models, min rows/model 150",TRUE,15/15 models,TRUE,"15/15 models, 1 champion, policy P6C_RANKING_POLICY_V2",TRUE,"15/15 models, 30 steps each, type GOVERNED_30_STEP_DAILY_FORECAST",TRUE,DERIVED_FROM_GOVERNED_ARTIFACTS,TRUE,FALSE,FALSE
HDD__Basilisk__NA__Region__kor-Go-Local,HDD,TRUE,"15/15 models, min rows/model 150",TRUE,15/15 models,TRUE,"15/15 models, 1 champion, policy P6C_RANKING_POLICY_V2",TRUE,"15/15 models, 30 steps each, type GOVERNED_30_STEP_DAILY_FORECAST",TRUE,DERIVED_FROM_GOVERNED_ARTIFACTS,TRUE,FALSE,FALSE
