artifact,column_name,dtype,required,present,null_count,distinct_count,example_value,description
navigation_contract,contract_row_id,str,TRUE,TRUE,0,140,NAV_0001,
navigation_contract,contract_row_type,str,TRUE,TRUE,0,1,OPERATIONAL_ENTITY,
navigation_contract,cohort_id,str,TRUE,TRUE,0,140,V6_24_MVP_0101,
navigation_contract,series_id,str,TRUE,TRUE,0,140,CPU__Consumed__Region__APC-Multitenant,
navigation_contract,metric,str,TRUE,TRUE,0,4,CPU,
navigation_contract,db_type,str,TRUE,TRUE,0,5,UNKNOWN_SOURCE_DOES_NOT_CARRY_DBTYPE,
navigation_contract,scenario,str,TRUE,TRUE,0,3,Consumed,
navigation_contract,segment,str,TRUE,TRUE,0,3,NOT_APPLICABLE,
navigation_contract,granularity,str,TRUE,TRUE,0,2,Region,
navigation_contract,key,str,TRUE,TRUE,0,102,APC-Multitenant,
navigation_contract,route_path,str,TRUE,TRUE,0,11,CPU|Organic|Consumed|Region,
navigation_contract,filter_level_1_metric,str,TRUE,TRUE,0,4,CPU,
navigation_contract,filter_level_2_db_type,str,TRUE,TRUE,0,5,UNKNOWN_SOURCE_DOES_NOT_CARRY_DBTYPE,
navigation_contract,filter_level_3_scenario,str,TRUE,TRUE,0,3,Consumed,
navigation_contract,filter_level_4_segment,str,TRUE,TRUE,0,3,NOT_APPLICABLE,
navigation_contract,filter_level_5_granularity,str,TRUE,TRUE,0,2,Region,
navigation_contract,filter_level_6_key,str,TRUE,TRUE,0,102,APC-Multitenant,
navigation_contract,key_axis_status,str,TRUE,TRUE,0,2,ROUTING_VALUE_REGION,Declares Key's role at this granularity. Key is NOT a global canonical axis: 102 distinct keys cover 140 series
navigation_contract,route_display_label,str,TRUE,TRUE,0,140,CPU / CPU|Organic|Consumed|Region / APC-Multitenant,
navigation_contract,route_sort_key,str,TRUE,TRUE,0,140,CPU|CPU|Organic|Consumed|Region|APC-Multitenant,
navigation_contract,valid_filter_path,str,TRUE,TRUE,0,140,CPU|UNKNOWN_SOURCE_DOES_NOT_CARRY_DBTYPE|Consumed|NOT_APPLICABLE|Regio,"The six-level path. This, not Key, uniquely identifies a series"
navigation_contract,parent_filter_path,str,TRUE,TRUE,0,11,CPU|UNKNOWN_SOURCE_DOES_NOT_CARRY_DBTYPE|Consumed|NOT_APPLICABLE|Regio,
navigation_contract,viewer_visible,str,TRUE,TRUE,0,1,TRUE,
navigation_contract,forecast_visible,str,TRUE,TRUE,0,1,TRUE,
navigation_contract,ranking_visible,str,TRUE,TRUE,0,1,TRUE,
navigation_contract,champion_visible,str,TRUE,TRUE,0,2,TRUE,FALSE whenever the champion is not a meaningful recommendation
navigation_contract,product_ready,str,TRUE,TRUE,0,1,TRUE,
navigation_contract,backtest_ready,str,TRUE,TRUE,0,1,TRUE,
