scope,value,operational_rows,viewer_visible,forecast_visible,ranking_visible,champion_visible,available,available_with_caveat,no_signal,trailing_zero,low_confidence_window,median_wape,result
GLOBAL,ALL,140,140,140,140,125,53,87,15,4,1,0.057097,OK
BY_METRIC,CPU,20,20,20,20,20,2,18,0,0,0,0.05223,OK
BY_METRIC,HDD,50,50,50,50,35,15,35,15,3,0,0.04687,OK
BY_METRIC,IOPS,20,20,20,20,20,3,17,0,0,0,0.069716,OK
BY_METRIC,SSD,50,50,50,50,50,33,17,0,1,1,0.057384,OK
BY_ROUTE_PATH,CPU|Organic|Consumed|Region,10,10,10,10,10,1,9,0,0,0,0.052699,OK
BY_ROUTE_PATH,CPU|Organic|Failover|Region,10,10,10,10,10,1,9,0,0,0,0.048198,OK
BY_ROUTE_PATH,HDD|Organic|Basilisk|Forest,9,9,9,9,5,2,7,4,0,0,0.059086,OK
BY_ROUTE_PATH,HDD|Organic|Basilisk|Region,8,8,8,8,4,4,4,4,0,0,0.022802,OK
BY_ROUTE_PATH,HDD|Organic|EDB|Consumer|Forest,9,9,9,9,5,1,8,4,0,0,0.102265,OK
BY_ROUTE_PATH,HDD|Organic|EDB|Consumer|Region,8,8,8,8,5,2,6,3,2,0,0.04687,OK
BY_ROUTE_PATH,HDD|Organic|EDB|Enterprise|Forest,8,8,8,8,8,5,3,0,1,0,0.018869,OK
BY_ROUTE_PATH,HDD|Organic|EDB|Enterprise|Region,8,8,8,8,8,1,7,0,0,0,0.052183,OK
BY_ROUTE_PATH,IOPS|Organic|Consumed|Region,10,10,10,10,10,1,9,0,0,0,0.066363,OK
BY_ROUTE_PATH,IOPS|Organic|Failover|Region,10,10,10,10,10,2,8,0,0,0,0.073776,OK
BY_ROUTE_PATH,SSD|Phoenix|LowVolume|Forest,50,50,50,50,50,33,17,0,1,1,0.057384,OK
BY_GRANULARITY,Forest,76,76,76,76,68,41,35,8,2,1,0.057384,OK
BY_GRANULARITY,Region,64,64,64,64,57,12,52,7,2,0,0.056809,OK
BY_SIGNAL_QUALITY,NO_SIGNAL_ALL_ZERO_ACTUALS,15,15,15,15,0,0,15,15,0,0,,OK
BY_SIGNAL_QUALITY,SIGNAL_PRESENT,121,121,121,121,121,53,68,0,0,0,0.056656,OK
BY_SIGNAL_QUALITY,TRAILING_ZERO_LATEST_ACTUAL,4,4,4,4,4,0,4,0,4,1,12.698464,OK
