caveat_code,severity,applies_to,rows_affected,display_recommendation,user_message,data_source,blocking_status
NONE,INFO,series with no material caveat,53,No badge,No caveat applies to this series.,derived: no other caveat matched,NOT_BLOCKING
NO_SIGNAL,HIGH,series whose every actual is zero,15,Badge on the series selector and suppress the champion tile,"This series is available, but every observed actual is zero, so the champion model is a technical tie-break and not a recommendation.",series_signal_quality.signal_quality_status,NOT_BLOCKING
TRAILING_ZERO_LATEST_ACTUAL,MEDIUM,series whose most recent actual is zero,4,Small badge next to the last observed value,The most recent observed actual is zero; the series carries signal overall but ends in a zero tail.,series_signal_quality.latest_actual_zero,NOT_BLOCKING
LOW_CONFIDENCE_BACKTEST_WINDOW_ZERO,HIGH,series with historical signal whose backtest window is entirely zero,1,Badge on accuracy and ranking panels,"This series has historical signal, but its backtest evaluation window falls in a zero tail, so ranking confidence is reduced and percentage errors are undefined.",derived: sum|actual| over model_backtests_15_models == 0 while the series has signal,NOT_BLOCKING
NEGATIVE_BACKTEST_PREDICTIONS_PRESENT,LOW,series with negative backtest values,56,Footnote on the backtest chart,Some models produced negative backtest predictions. Values are shown as produced and were never clipped.,accuracy_metrics.negative_prediction_count,NOT_BLOCKING
EXTREME_BACKTEST_RATIO_PRESENT,LOW,series with extreme backtest ratios,51,Footnote on the backtest chart,Some backtest predictions differ from the actual by more than two orders of magnitude.,accuracy_metrics.extreme_ratio_count,NOT_BLOCKING
NEGATIVE_FORECAST_PRESENT,LOW,series with negative forecast values,15,Footnote on the forecast chart,Some models forecast negative values. Values are shown as produced and were never clipped.,forecast_outputs.negative_forecast_flag,NOT_BLOCKING
EXTREME_FORECAST_PRESENT,LOW,series with extreme forecast ratios,7,Footnote on the forecast chart,Some forecasts differ from the latest actual by more than two orders of magnitude.,forecast_outputs.extreme_forecast_flag,NOT_BLOCKING
CHAMPION_NOT_MEANINGFUL,HIGH,series whose champion is a technical tie-break,15,Hide the champion recommendation entirely,A champion model exists for schema consistency but must not be presented as a recommendation for this series.,model_rankings.champion_validity,NOT_BLOCKING
STALE_MANIFEST_FLAG_IGNORED,INFO,the whole cohort,140,Not user facing; governance note only,Readiness was derived from the governed artifacts. The stale manifest flag was ignored; it would have wrongly excluded 90 series.,cohort_manifest.has_15_model_backtests vs model_backtests_15_models,NOT_BLOCKING
GOVERNED_30_STEP_FORECAST_ONLY,INFO,the whole cohort,140,Disclose the horizon on every forecast panel,Forecasts cover exactly 30 daily steps beyond each series' last observed actual. No longer horizon is available from the governed models.,forecast_outputs.forecast_type,NOT_BLOCKING
