model,family,daily_scope_status,execution_type,should_train_daily,should_generate_daily,should_reuse_frozen_artifact,source_entrypoint_current,source_entrypoint_status,expected_output_artifact,missing_work,excluded_reason,notes
FixedGrowth_1_5,Growth baseline,active_generate,baseline_generation,FALSE,TRUE,FALSE,python/model_lab/run_full_baseline_execution.py,clean_ready,outputs/model_lab/full_baseline/full_baseline_forecasts.csv,,,Deterministic growth baseline.
FixedGrowth_3,Growth baseline,active_generate,baseline_generation,FALSE,TRUE,FALSE,python/model_lab/run_full_baseline_execution.py,clean_ready,outputs/model_lab/full_baseline/full_baseline_forecasts.csv,,,Deterministic growth baseline.
FixedGrowth_4,Growth baseline,active_generate,baseline_generation,FALSE,TRUE,FALSE,python/model_lab/run_full_baseline_execution.py,clean_ready,outputs/model_lab/full_baseline/full_baseline_forecasts.csv,,,Deterministic growth baseline.
FixedGrowth_6,Growth baseline,active_generate,baseline_generation,FALSE,TRUE,FALSE,python/model_lab/run_full_baseline_execution.py,clean_ready,outputs/model_lab/full_baseline/full_baseline_forecasts.csv,,,Deterministic growth baseline.
ARIMA_Fixed,Statistical,active_train,baseline_generation,TRUE,FALSE,FALSE,python/model_lab/run_full_baseline_execution.py,clean_ready,outputs/model_lab/full_baseline/full_baseline_forecasts.csv,,,Fixed-order ARIMA fitted inside the baseline production runner.
ETS_Current,Statistical,active_train,baseline_generation,TRUE,FALSE,FALSE,python/model_lab/run_full_baseline_execution.py,clean_ready,outputs/model_lab/full_baseline/full_baseline_forecasts.csv,,,ETS_Current fitted inside the baseline production runner.
AutoARIMA,Statistical,active_train,statistical_fit,TRUE,FALSE,FALSE,python/model_lab/run_daily_clean_challengers.py,clean_ready,outputs/model_lab/daily_clean_challengers/clean_challenger_forecasts.csv,Live fit wiring scaffolded behind --allow-execute (not run in V3.3C-next).,,Statistical challenger; routed to the clean challenger entrypoint.
ETS Explicit,Statistical,active_train,statistical_fit,TRUE,FALSE,FALSE,python/model_lab/run_daily_clean_challengers.py,clean_ready,outputs/model_lab/daily_clean_challengers/clean_challenger_forecasts.csv,Live fit wiring scaffolded behind --allow-execute (not run in V3.3C-next).,,CURRENT CHAMPION (MASE 6.901144); routed to the clean challenger entrypoint.
Theta,Statistical,active_train,statistical_fit,TRUE,FALSE,FALSE,python/model_lab/run_daily_clean_challengers.py,clean_ready,outputs/model_lab/daily_clean_challengers/clean_challenger_forecasts.csv,Live fit wiring scaffolded behind --allow-execute (not run in V3.3C-next).,,Statistical challenger; routed to the clean challenger entrypoint.
LinearRegression,Machine learning,active_train,baseline_generation,TRUE,FALSE,FALSE,python/model_lab/run_full_baseline_execution.py,clean_ready,outputs/model_lab/full_baseline/full_baseline_forecasts.csv,,,LinearRegression fitted inside the baseline production runner.
LightGBM,Machine learning,active_train,ml_fit,TRUE,FALSE,FALSE,python/model_lab/run_daily_clean_challengers.py,clean_ready,outputs/model_lab/daily_clean_challengers/clean_challenger_forecasts.csv,Live fit wiring scaffolded behind --allow-execute (not run in V3.3C-next).,,ML challenger; routed to the clean challenger entrypoint.
XGBoost,Machine learning,active_train,ml_fit,TRUE,FALSE,FALSE,python/model_lab/run_daily_clean_challengers.py,clean_ready,outputs/model_lab/daily_clean_challengers/clean_challenger_forecasts.csv,Live fit wiring scaffolded behind --allow-execute (not run in V3.3C-next).,,ML challenger; routed to the clean challenger entrypoint.
FNAR-V2,Deep Learning,active_reuse_only,reuse_frozen_artifact,FALSE,FALSE,TRUE,outputs/v3_2b_model_candidates/candidate_outputs/full_candidate_outputs.csv,frozen_artifact_no_live_training,outputs/v3_2b_model_candidates/candidate_outputs/full_candidate_outputs.csv,"No live daily training code exists for this model. It exists only as a frozen artifact from the closed V3.2B/D/E candidate study. To train it daily, the candidate-study trainer must be located/rebuilt (out of daily scope today).",,Frozen candidate-study output. No live daily training path.
NLIN-DLIN_FIXED,Deep Learning,active_reuse_only,reuse_frozen_artifact,FALSE,FALSE,TRUE,outputs/v3_2b_model_candidates/candidate_outputs/full_candidate_outputs.csv,frozen_artifact_no_live_training,outputs/v3_2b_model_candidates/candidate_outputs/full_candidate_outputs.csv,"No live daily training code exists for this model. It exists only as a frozen artifact from the closed V3.2B/D/E candidate study. To train it daily, the candidate-study trainer must be located/rebuilt (out of daily scope today).",,Frozen candidate-study output. No live daily training path.
SMLP-TCN,Deep Learning,active_reuse_only,reuse_frozen_artifact,FALSE,FALSE,TRUE,outputs/v3_2b_model_candidates/candidate_outputs/full_candidate_outputs.csv,frozen_artifact_no_live_training,outputs/v3_2b_model_candidates/candidate_outputs/full_candidate_outputs.csv,"No live daily training code exists for this model. It exists only as a frozen artifact from the closed V3.2B/D/E candidate study. To train it daily, the candidate-study trainer must be located/rebuilt (out of daily scope today).",,Frozen candidate-study output. No live daily training path.
