view,check,result
methodology_page,architecture_diagram_real_image_present,PASS
methodology_page,project_documentation_real_section_present,PASS
methodology_page,pdf_iframe_viewer_present,PASS
methodology_page,open_in_new_tab_link_present,PASS
methodology_page,download_pdf_link_present,PASS
methodology_page,governed_source_note_present,PASS
methodology_page,project_documentation_placeholder_removed,PASS
http,pdf_served_200_application_pdf,PASS
http,png_served_200,PASS
pdf_document,title_block_and_build_date,PASS
pdf_document,table_of_contents_16_sections,PASS
pdf_document,no_invented_content_inherits_markdown,PASS
