metric,model_name,model_family,n_series,n_champion_wins,champion_win_rate_pct,mean_rank,median_rank,best_rank,worst_rank,mean_wape,median_wape,notes
CPU,AutoARIMA,Challenger,20,5,25.0,2.95,3.0,1,8,0.05158,0.048809,Rank 1 = best within its series
CPU,Theta,Challenger,20,3,15.0,4.0,4.0,1,8,0.054233,0.048918,Rank 1 = best within its series
CPU,FixedGrowth_1_5,Baseline,20,2,10.0,4.05,4.5,1,9,0.054431,0.049003,Rank 1 = best within its series
CPU,LightGBM,Challenger,20,4,20.0,5.55,5.0,1,12,0.055177,0.047739,Rank 1 = best within its series
CPU,FixedGrowth_3,Baseline,20,0,0.0,5.9,6.0,3,10,0.055824,0.050552,Rank 1 = best within its series
CPU,XGBoost,Challenger,20,4,20.0,6.15,5.5,1,12,0.055658,0.051218,Rank 1 = best within its series
CPU,LinearRegression,Baseline,20,1,5.0,6.95,7.5,1,12,0.05594,0.054858,Rank 1 = best within its series
CPU,FixedGrowth_4,Baseline,20,0,0.0,7.35,8.0,2,11,0.057199,0.050994,Rank 1 = best within its series
CPU,NLIN-DLIN_FIXED,Neural,20,1,5.0,7.35,8.5,1,11,0.057361,0.055383,Rank 1 = best within its series
CPU,ETS Explicit,Challenger,20,0,0.0,7.7,7.0,4,12,0.057283,0.052153,Rank 1 = best within its series
CPU,FixedGrowth_6,Baseline,20,0,0.0,10.0,10.0,7,13,0.060962,0.053716,Rank 1 = best within its series
CPU,FNAR-V2,Neural,20,0,0.0,11.0,12.0,5,14,0.072218,0.065904,Rank 1 = best within its series
CPU,SMLP-TCN,Neural,20,0,0.0,12.2,13.0,7,14,0.075815,0.076327,Rank 1 = best within its series
CPU,ETS_Current,Baseline,20,0,0.0,13.85,14.0,13,14,0.122059,0.098053,Rank 1 = best within its series
CPU,ARIMA_Fixed,Baseline,20,0,0.0,15.0,15.0,15,15,0.297811,0.274508,Rank 1 = best within its series
HDD,AutoARIMA,Challenger,50,4,8.0,5.04,4.0,1,15,0.715501,0.039106,Rank 1 = best within its series
HDD,FixedGrowth_1_5,Baseline,50,5,10.0,5.8,7.0,1,11,0.789217,0.037567,Rank 1 = best within its series
HDD,ETS Explicit,Challenger,50,2,4.0,6.06,5.0,1,15,5.435348,0.047866,Rank 1 = best within its series
HDD,ETS_Current,Baseline,50,4,8.0,6.38,6.0,1,13,1.883052,0.043923,Rank 1 = best within its series
HDD,ARIMA_Fixed,Baseline,50,4,8.0,6.82,6.0,1,15,5.834376,0.061696,Rank 1 = best within its series
HDD,FixedGrowth_3,Baseline,50,1,2.0,6.88,8.0,1,12,0.795952,0.034434,Rank 1 = best within its series
HDD,Theta,Challenger,50,4,8.0,7.82,6.5,1,14,1.150607,0.040523,Rank 1 = best within its series
HDD,FixedGrowth_4,Baseline,50,0,0.0,7.9,9.0,2,14,0.801099,0.036075,Rank 1 = best within its series
HDD,SMLP-TCN,Neural,50,1,2.0,8.2,9.5,1,15,91.899691,0.051466,Rank 1 = best within its series
HDD,NLIN-DLIN_FIXED,Neural,50,2,4.0,9.14,10.0,1,15,0.449912,0.05061,Rank 1 = best within its series
HDD,FixedGrowth_6,Baseline,50,2,4.0,9.2,10.0,1,15,0.81249,0.043979,Rank 1 = best within its series
HDD,XGBoost,Challenger,50,5,10.0,9.54,10.5,1,15,0.843369,0.044976,Rank 1 = best within its series
HDD,FNAR-V2,Neural,50,15,30.0,9.76,13.0,1,15,649.855744,0.120547,Rank 1 = best within its series
HDD,LightGBM,Challenger,50,1,2.0,10.5,11.0,1,14,0.851296,0.066766,Rank 1 = best within its series
HDD,LinearRegression,Baseline,50,0,0.0,10.96,12.0,2,15,3.5587228280264484e+21,0.061366,Rank 1 = best within its series
IOPS,FixedGrowth_1_5,Baseline,20,7,35.0,2.65,2.0,1,6,0.062683,0.060418,Rank 1 = best within its series
IOPS,FixedGrowth_3,Baseline,20,2,10.0,3.15,3.0,1,6,0.063345,0.060853,Rank 1 = best within its series
IOPS,FixedGrowth_4,Baseline,20,2,10.0,4.5,4.0,1,8,0.064264,0.061745,Rank 1 = best within its series
IOPS,Theta,Challenger,20,0,0.0,4.7,4.5,2,8,0.064041,0.063725,Rank 1 = best within its series
IOPS,AutoARIMA,Challenger,20,3,15.0,6.05,6.5,1,13,0.070755,0.069629,Rank 1 = best within its series
IOPS,FixedGrowth_6,Baseline,20,1,5.0,6.85,7.0,1,11,0.067119,0.064871,Rank 1 = best within its series
IOPS,ETS Explicit,Challenger,20,0,0.0,7.0,7.0,2,11,0.068929,0.066736,Rank 1 = best within its series
IOPS,XGBoost,Challenger,20,3,15.0,7.3,9.0,1,13,0.07205,0.071134,Rank 1 = best within its series
IOPS,LightGBM,Challenger,20,1,5.0,7.5,8.0,1,12,0.070606,0.070538,Rank 1 = best within its series
IOPS,NLIN-DLIN_FIXED,Neural,20,1,5.0,8.1,9.0,1,11,0.074023,0.076772,Rank 1 = best within its series
IOPS,FNAR-V2,Neural,20,0,0.0,10.55,11.0,4,13,0.081988,0.079571,Rank 1 = best within its series
IOPS,SMLP-TCN,Neural,20,0,0.0,11.8,12.0,9,14,0.0889,0.090635,Rank 1 = best within its series
IOPS,LinearRegression,Baseline,20,0,0.0,12.15,13.0,5,15,2.554972,0.107772,Rank 1 = best within its series
IOPS,ETS_Current,Baseline,20,0,0.0,13.05,13.0,9,14,0.119516,0.103656,Rank 1 = best within its series
IOPS,ARIMA_Fixed,Baseline,20,0,0.0,14.65,15.0,14,15,0.243355,0.23283,Rank 1 = best within its series
SSD,FixedGrowth_6,Baseline,50,18,36.0,3.62,2.5,1,13,0.073949,0.042882,Rank 1 = best within its series
SSD,FixedGrowth_4,Baseline,50,2,4.0,4.74,4.0,1,12,0.078044,0.046709,Rank 1 = best within its series
SSD,Theta,Challenger,50,5,10.0,5.0,4.5,1,14,0.080791,0.049038,Rank 1 = best within its series
SSD,FixedGrowth_3,Baseline,50,1,2.0,5.86,5.5,1,11,0.080642,0.050676,Rank 1 = best within its series
SSD,ETS_Current,Baseline,50,3,6.0,6.04,6.0,1,12,0.088451,0.051663,Rank 1 = best within its series
SSD,AutoARIMA,Challenger,50,4,8.0,6.08,6.0,1,12,0.08092,0.052731,Rank 1 = best within its series
SSD,ETS Explicit,Challenger,50,4,8.0,6.84,7.5,1,13,0.087234,0.056202,Rank 1 = best within its series
SSD,FixedGrowth_1_5,Baseline,50,2,4.0,7.12,7.0,1,12,0.085198,0.057362,Rank 1 = best within its series
SSD,ARIMA_Fixed,Baseline,50,5,10.0,7.22,7.5,1,15,0.151752,0.056178,Rank 1 = best within its series
SSD,XGBoost,Challenger,50,1,2.0,9.0,9.0,1,15,0.093656,0.06947,Rank 1 = best within its series
SSD,SMLP-TCN,Neural,50,0,0.0,10.58,11.0,6,15,0.109227,0.071862,Rank 1 = best within its series
SSD,NLIN-DLIN_FIXED,Neural,50,3,6.0,11.04,13.0,1,15,0.194358,0.124061,Rank 1 = best within its series
SSD,LightGBM,Challenger,50,1,2.0,11.28,12.0,1,14,0.124535,0.113185,Rank 1 = best within its series
SSD,LinearRegression,Baseline,50,1,2.0,12.16,14.0,1,15,2.995751,0.149657,Rank 1 = best within its series
SSD,FNAR-V2,Neural,50,0,0.0,13.42,14.0,4,15,0.162971,0.139282,Rank 1 = best within its series
