artifact,location,column_name,dtype,null_count,distinct_count,example_value,description
accuracy_metrics,V6/data/processed/v6_24_mvp_cohort/accuracy_metrics.parquet,cohort_id,str,0,140,V6_24_MVP_0101,
accuracy_metrics,V6/data/processed/v6_24_mvp_cohort/accuracy_metrics.parquet,series_id,str,0,140,CPU__Consumed__Region__APC-Multitenant,Stable cohort series identifier; the Viewer join key
accuracy_metrics,V6/data/processed/v6_24_mvp_cohort/accuracy_metrics.parquet,model_name,str,0,15,ARIMA_Fixed,One of the 15 governed AEGIS models
accuracy_metrics,V6/data/processed/v6_24_mvp_cohort/accuracy_metrics.parquet,metric,str,0,4,CPU,
accuracy_metrics,V6/data/processed/v6_24_mvp_cohort/accuracy_metrics.parquet,db_type,str,0,5,UNKNOWN_SOURCE_DOES_NOT_CARRY_DBTYPE,
accuracy_metrics,V6/data/processed/v6_24_mvp_cohort/accuracy_metrics.parquet,scenario,str,0,3,Consumed,
accuracy_metrics,V6/data/processed/v6_24_mvp_cohort/accuracy_metrics.parquet,segment,str,0,3,NOT_APPLICABLE,
accuracy_metrics,V6/data/processed/v6_24_mvp_cohort/accuracy_metrics.parquet,granularity,str,0,2,Region,
accuracy_metrics,V6/data/processed/v6_24_mvp_cohort/accuracy_metrics.parquet,key,str,0,102,APC-Multitenant,
accuracy_metrics,V6/data/processed/v6_24_mvp_cohort/accuracy_metrics.parquet,route_path,str,0,11,CPU|Organic|Consumed|Region,
accuracy_metrics,V6/data/processed/v6_24_mvp_cohort/accuracy_metrics.parquet,model_family,str,0,3,Baseline,
accuracy_metrics,V6/data/processed/v6_24_mvp_cohort/accuracy_metrics.parquet,n_backtest_rows,int64,0,9,300,
accuracy_metrics,V6/data/processed/v6_24_mvp_cohort/accuracy_metrics.parquet,n_target_dates,int64,0,15,300,
accuracy_metrics,V6/data/processed/v6_24_mvp_cohort/accuracy_metrics.parquet,min_target_date,str,0,10,2022-04-26,
accuracy_metrics,V6/data/processed/v6_24_mvp_cohort/accuracy_metrics.parquet,max_target_date,str,0,8,2023-07-20,
accuracy_metrics,V6/data/processed/v6_24_mvp_cohort/accuracy_metrics.parquet,mae,float64,0,1882,131354.975794239,
accuracy_metrics,V6/data/processed/v6_24_mvp_cohort/accuracy_metrics.parquet,rmse,float64,0,1882,222110.58963116104,
accuracy_metrics,V6/data/processed/v6_24_mvp_cohort/accuracy_metrics.parquet,mape,float64,240,1859,0.23905193279308326,
accuracy_metrics,V6/data/processed/v6_24_mvp_cohort/accuracy_metrics.parquet,smape,float64,195,1854,0.26734996175401393,
accuracy_metrics,V6/data/processed/v6_24_mvp_cohort/accuracy_metrics.parquet,wape,float64,240,1859,0.2446593619461263,"Weighted absolute percentage error, decimal fraction; primary rank metric"
accuracy_metrics,V6/data/processed/v6_24_mvp_cohort/accuracy_metrics.parquet,mape_status,str,0,2,COMPUTED,
accuracy_metrics,V6/data/processed/v6_24_mvp_cohort/accuracy_metrics.parquet,smape_status,str,0,2,COMPUTED,
accuracy_metrics,V6/data/processed/v6_24_mvp_cohort/accuracy_metrics.parquet,wape_status,str,0,2,COMPUTED,
accuracy_metrics,V6/data/processed/v6_24_mvp_cohort/accuracy_metrics.parquet,bias,float64,0,1882,108.74915044191759,
accuracy_metrics,V6/data/processed/v6_24_mvp_cohort/accuracy_metrics.parquet,mean_error,float64,0,1882,108.74915044191759,
accuracy_metrics,V6/data/processed/v6_24_mvp_cohort/accuracy_metrics.parquet,mean_actual,float64,0,125,536889.2273297239,
accuracy_metrics,V6/data/processed/v6_24_mvp_cohort/accuracy_metrics.parquet,mean_predicted,float64,0,1879,536997.9764801658,
accuracy_metrics,V6/data/processed/v6_24_mvp_cohort/accuracy_metrics.parquet,median_absolute_error,float64,0,1841,53760.22027116027,
accuracy_metrics,V6/data/processed/v6_24_mvp_cohort/accuracy_metrics.parquet,negative_prediction_count,int64,0,47,7,
accuracy_metrics,V6/data/processed/v6_24_mvp_cohort/accuracy_metrics.parquet,extreme_ratio_count,int64,0,28,1,
accuracy_metrics,V6/data/processed/v6_24_mvp_cohort/accuracy_metrics.parquet,zero_actual_count,int64,0,8,0,
accuracy_metrics,V6/data/processed/v6_24_mvp_cohort/accuracy_metrics.parquet,nonzero_actual_count,int64,0,14,300,
accuracy_metrics,V6/data/processed/v6_24_mvp_cohort/accuracy_metrics.parquet,source_generation_status,str,0,2,GENERATED_P5,
accuracy_metrics,V6/data/processed/v6_24_mvp_cohort/accuracy_metrics.parquet,mape_units,str,0,1,decimal fraction (0.05 = 5 percent),
accuracy_metrics,V6/data/processed/v6_24_mvp_cohort/accuracy_metrics.parquet,smape_units,str,0,1,decimal fraction,
accuracy_metrics,V6/data/processed/v6_24_mvp_cohort/accuracy_metrics.parquet,wape_units,str,0,1,decimal fraction,
accuracy_metrics,V6/data/processed/v6_24_mvp_cohort/accuracy_metrics.parquet,caveat,str,0,4,"STALE_ACTUALS_SOURCE, latest date 2023-07-20; 15 governed mo",
model_rankings,V6/data/processed/v6_24_mvp_cohort/model_rankings.parquet,cohort_id,str,0,140,V6_24_MVP_0101,
model_rankings,V6/data/processed/v6_24_mvp_cohort/model_rankings.parquet,series_id,str,0,140,CPU__Consumed__Region__APC-Multitenant,Stable cohort series identifier; the Viewer join key
model_rankings,V6/data/processed/v6_24_mvp_cohort/model_rankings.parquet,metric,str,0,4,CPU,
model_rankings,V6/data/processed/v6_24_mvp_cohort/model_rankings.parquet,db_type,str,0,5,UNKNOWN_SOURCE_DOES_NOT_CARRY_DBTYPE,
model_rankings,V6/data/processed/v6_24_mvp_cohort/model_rankings.parquet,scenario,str,0,3,Consumed,
model_rankings,V6/data/processed/v6_24_mvp_cohort/model_rankings.parquet,segment,str,0,3,NOT_APPLICABLE,
model_rankings,V6/data/processed/v6_24_mvp_cohort/model_rankings.parquet,granularity,str,0,2,Region,
model_rankings,V6/data/processed/v6_24_mvp_cohort/model_rankings.parquet,key,str,0,102,APC-Multitenant,
model_rankings,V6/data/processed/v6_24_mvp_cohort/model_rankings.parquet,route_path,str,0,11,CPU|Organic|Consumed|Region,
model_rankings,V6/data/processed/v6_24_mvp_cohort/model_rankings.parquet,model_name,str,0,15,FixedGrowth_1_5,One of the 15 governed AEGIS models
