cohort_id,series_id,metric,models_present,expected_models,backtest_rows,generated_or_reused_status,manifest_has_15_model_backtests_original,derived_has_15_model_backtests,readiness_result,notes
V6_24_MVP_0101,CPU__Consumed__Region__APC-Multitenant,CPU,15,15,4500,GENERATED_P5,FALSE,TRUE,PASS,"STALE MANIFEST FLAG CORRECTED: the manifest reads FALSE but the artifact holds 15 models across 4,500 backtest rows. Readiness derived from model_backtests_15_models, never from the flag."
V6_24_MVP_0102,CPU__Consumed__Region__ARE-Go-Local,CPU,15,15,4500,GENERATED_P5,FALSE,TRUE,PASS,"STALE MANIFEST FLAG CORRECTED: the manifest reads FALSE but the artifact holds 15 models across 4,500 backtest rows. Readiness derived from model_backtests_15_models, never from the flag."
V6_24_MVP_0103,CPU__Consumed__Region__AUS-Go-Local,CPU,15,15,4500,GENERATED_P5,FALSE,TRUE,PASS,"STALE MANIFEST FLAG CORRECTED: the manifest reads FALSE but the artifact holds 15 models across 4,500 backtest rows. Readiness derived from model_backtests_15_models, never from the flag."
V6_24_MVP_0104,CPU__Consumed__Region__BRA-Go-Local,CPU,15,15,4500,GENERATED_P5,FALSE,TRUE,PASS,"STALE MANIFEST FLAG CORRECTED: the manifest reads FALSE but the artifact holds 15 models across 4,500 backtest rows. Readiness derived from model_backtests_15_models, never from the flag."
V6_24_MVP_0105,CPU__Consumed__Region__CAN-Go-Local,CPU,15,15,4500,GENERATED_P5,FALSE,TRUE,PASS,"STALE MANIFEST FLAG CORRECTED: the manifest reads FALSE but the artifact holds 15 models across 4,500 backtest rows. Readiness derived from model_backtests_15_models, never from the flag."
V6_24_MVP_0106,CPU__Consumed__Region__CHE-Go-Local,CPU,15,15,4500,GENERATED_P5,FALSE,TRUE,PASS,"STALE MANIFEST FLAG CORRECTED: the manifest reads FALSE but the artifact holds 15 models across 4,500 backtest rows. Readiness derived from model_backtests_15_models, never from the flag."
V6_24_MVP_0107,CPU__Consumed__Region__CHN-Gallatin,CPU,15,15,4455,GENERATED_P5,FALSE,TRUE,PASS,"STALE MANIFEST FLAG CORRECTED: the manifest reads FALSE but the artifact holds 15 models across 4,455 backtest rows. Readiness derived from model_backtests_15_models, never from the flag."
V6_24_MVP_0108,CPU__Consumed__Region__DEU-Go-Local,CPU,15,15,4500,GENERATED_P5,FALSE,TRUE,PASS,"STALE MANIFEST FLAG CORRECTED: the manifest reads FALSE but the artifact holds 15 models across 4,500 backtest rows. Readiness derived from model_backtests_15_models, never from the flag."
V6_24_MVP_0109,CPU__Consumed__Region__EUR-MSIT,CPU,15,15,4500,GENERATED_P5,FALSE,TRUE,PASS,"STALE MANIFEST FLAG CORRECTED: the manifest reads FALSE but the artifact holds 15 models across 4,500 backtest rows. Readiness derived from model_backtests_15_models, never from the flag."
V6_24_MVP_0110,CPU__Consumed__Region__FRA-Go-Local,CPU,15,15,4500,GENERATED_P5,FALSE,TRUE,PASS,"STALE MANIFEST FLAG CORRECTED: the manifest reads FALSE but the artifact holds 15 models across 4,500 backtest rows. Readiness derived from model_backtests_15_models, never from the flag."
V6_24_MVP_0111,CPU__Failover__Region__APC-Multitenant,CPU,15,15,4500,GENERATED_P5,FALSE,TRUE,PASS,"STALE MANIFEST FLAG CORRECTED: the manifest reads FALSE but the artifact holds 15 models across 4,500 backtest rows. Readiness derived from model_backtests_15_models, never from the flag."
V6_24_MVP_0112,CPU__Failover__Region__ARE-Go-Local,CPU,15,15,4500,GENERATED_P5,FALSE,TRUE,PASS,"STALE MANIFEST FLAG CORRECTED: the manifest reads FALSE but the artifact holds 15 models across 4,500 backtest rows. Readiness derived from model_backtests_15_models, never from the flag."
V6_24_MVP_0113,CPU__Failover__Region__AUS-Go-Local,CPU,15,15,4500,GENERATED_P5,FALSE,TRUE,PASS,"STALE MANIFEST FLAG CORRECTED: the manifest reads FALSE but the artifact holds 15 models across 4,500 backtest rows. Readiness derived from model_backtests_15_models, never from the flag."
V6_24_MVP_0114,CPU__Failover__Region__BRA-Go-Local,CPU,15,15,4500,GENERATED_P5,FALSE,TRUE,PASS,"STALE MANIFEST FLAG CORRECTED: the manifest reads FALSE but the artifact holds 15 models across 4,500 backtest rows. Readiness derived from model_backtests_15_models, never from the flag."
V6_24_MVP_0115,CPU__Failover__Region__CAN-Go-Local,CPU,15,15,4500,GENERATED_P5,FALSE,TRUE,PASS,"STALE MANIFEST FLAG CORRECTED: the manifest reads FALSE but the artifact holds 15 models across 4,500 backtest rows. Readiness derived from model_backtests_15_models, never from the flag."
V6_24_MVP_0116,CPU__Failover__Region__CHE-Go-Local,CPU,15,15,4500,GENERATED_P5,FALSE,TRUE,PASS,"STALE MANIFEST FLAG CORRECTED: the manifest reads FALSE but the artifact holds 15 models across 4,500 backtest rows. Readiness derived from model_backtests_15_models, never from the flag."
V6_24_MVP_0117,CPU__Failover__Region__CHN-Gallatin,CPU,15,15,4455,GENERATED_P5,FALSE,TRUE,PASS,"STALE MANIFEST FLAG CORRECTED: the manifest reads FALSE but the artifact holds 15 models across 4,455 backtest rows. Readiness derived from model_backtests_15_models, never from the flag."
V6_24_MVP_0118,CPU__Failover__Region__DEU-Go-Local,CPU,15,15,4500,GENERATED_P5,FALSE,TRUE,PASS,"STALE MANIFEST FLAG CORRECTED: the manifest reads FALSE but the artifact holds 15 models across 4,500 backtest rows. Readiness derived from model_backtests_15_models, never from the flag."
V6_24_MVP_0119,CPU__Failover__Region__EUR-MSIT,CPU,15,15,4500,GENERATED_P5,FALSE,TRUE,PASS,"STALE MANIFEST FLAG CORRECTED: the manifest reads FALSE but the artifact holds 15 models across 4,500 backtest rows. Readiness derived from model_backtests_15_models, never from the flag."
V6_24_MVP_0120,CPU__Failover__Region__FRA-Go-Local,CPU,15,15,4500,GENERATED_P5,FALSE,TRUE,PASS,"STALE MANIFEST FLAG CORRECTED: the manifest reads FALSE but the artifact holds 15 models across 4,500 backtest rows. Readiness derived from model_backtests_15_models, never from the flag."
V6_24_MVP_0001,HDD__Basilisk__NA__Forest__apcp150,HDD,15,15,2250,REUSED_HDD_EXISTING_ARTIFACT,TRUE,TRUE,PASS,Derived from model_backtests_15_models; the manifest flag agrees.
V6_24_MVP_0002,HDD__Basilisk__NA__Forest__chnpr01,HDD,15,15,2250,REUSED_HDD_EXISTING_ARTIFACT,TRUE,TRUE,PASS,Derived from model_backtests_15_models; the manifest flag agrees.
V6_24_MVP_0003,HDD__Basilisk__NA__Forest__eurp180,HDD,15,15,2250,REUSED_HDD_EXISTING_ARTIFACT,TRUE,TRUE,PASS,Derived from model_backtests_15_models; the manifest flag agrees.
V6_24_MVP_0004,HDD__Basilisk__NA__Forest__eurprd07,HDD,15,15,2250,REUSED_HDD_EXISTING_ARTIFACT,TRUE,TRUE,PASS,Derived from model_backtests_15_models; the manifest flag agrees.
V6_24_MVP_0005,HDD__Basilisk__NA__Forest__jpnprd01,HDD,15,15,2250,REUSED_HDD_EXISTING_ARTIFACT,TRUE,TRUE,PASS,Derived from model_backtests_15_models; the manifest flag agrees.
V6_24_MVP_0006,HDD__Basilisk__NA__Forest__namp113,HDD,15,15,2250,REUSED_HDD_EXISTING_ARTIFACT,TRUE,TRUE,PASS,Derived from model_backtests_15_models; the manifest flag agrees.
V6_24_MVP_0007,HDD__Basilisk__NA__Forest__namp157,HDD,15,15,2250,REUSED_HDD_EXISTING_ARTIFACT,TRUE,TRUE,PASS,Derived from model_backtests_15_models; the manifest flag agrees.
V6_24_MVP_0008,HDD__Basilisk__NA__Forest__namp222,HDD,15,15,2250,REUSED_HDD_EXISTING_ARTIFACT,TRUE,TRUE,PASS,Derived from model_backtests_15_models; the manifest flag agrees.
V6_24_MVP_0009,HDD__Basilisk__NA__Forest__namprd15,HDD,15,15,2250,REUSED_HDD_EXISTING_ARTIFACT,TRUE,TRUE,PASS,Derived from model_backtests_15_models; the manifest flag agrees.
V6_24_MVP_0010,HDD__Basilisk__NA__Region__GBR-Go-Local,HDD,15,15,2250,REUSED_HDD_EXISTING_ARTIFACT,TRUE,TRUE,PASS,Derived from model_backtests_15_models; the manifest flag agrees.
V6_24_MVP_0011,HDD__Basilisk__NA__Region__ITA-Go-Local,HDD,15,15,2250,REUSED_HDD_EXISTING_ARTIFACT,TRUE,TRUE,PASS,Derived from model_backtests_15_models; the manifest flag agrees.
V6_24_MVP_0012,HDD__Basilisk__NA__Region__are-Go-Local,HDD,15,15,2250,REUSED_HDD_EXISTING_ARTIFACT,TRUE,TRUE,PASS,Derived from model_backtests_15_models; the manifest flag agrees.
