item,value
rows_in,65095
rows_out,65095
cols_preserved,True
forecast_value_unchanged,True
chosen_method,global_inflation
chosen_factor,k=1.5
baseline_holdout_cov80,0.7314
recalibrated_holdout_cov80,0.7979
in_target_range_078_084,True
absurd_width_flag,False
interval_available_true,2700
interval_available_false,62395
grain_key,2340
grain_resource_fallback,360
grain_global_fallback,0
fallback_series_count,6
neg_lower,0
monotonic_ok,True
median_band80_width,0.3058
p95_band80_width,4.9726
near_zero_excluded,9174
clip_lower,-0.95
clip_upper,26.0996
holdout_cutoffs,3
output_csv,data\processed\forecasts_with_intervals_relative_60d_calibrated.csv
