file_path,column_name,inferred_type,null_count,sample_values,notes
outputs/model_lab/tournament_engine/tournament_model_scorecard.csv,run_id,text_like,0,tournament_engine,sample based schema summary
outputs/model_lab/tournament_engine/tournament_model_scorecard.csv,model_name,text_like,0,ARIMA_Fixed | ETS_Current | FixedGrowth_1_5 | FixedGrowth_3 | FixedGrowth_4,sample based schema summary
outputs/model_lab/tournament_engine/tournament_model_scorecard.csv,model_origin,text_like,0,baseline | challenger,sample based schema summary
outputs/model_lab/tournament_engine/tournament_model_scorecard.csv,model_family,text_like,0,statistical | growth_baseline | machine_learning | lightweight_neural,sample based schema summary
outputs/model_lab/tournament_engine/tournament_model_scorecard.csv,entity_count,numeric_like,0,39,sample based schema summary
outputs/model_lab/tournament_engine/tournament_model_scorecard.csv,official_median_mase,numeric_like,0,11.789916350319965 | 8.65417111153676 | 8.649280961006667 | 12.989045570820014 | 16.52907963144241,sample based schema summary
outputs/model_lab/tournament_engine/tournament_model_scorecard.csv,official_median_rmsse,numeric_like,0,3.49334506602668 | 2.273019421267602 | 2.2718379673062783 | 3.019316356642247 | 4.072356391248675,sample based schema summary
outputs/model_lab/tournament_engine/tournament_model_scorecard.csv,median_wmape,numeric_like,7,0.0099110042459386 | 0.0141636687639672 | 0.0087554067132253 | 0.0205606623453786 | 0.0156631620563462,sample based schema summary
outputs/model_lab/tournament_engine/tournament_model_scorecard.csv,median_smape,numeric_like,7,0.0099133359613967 | 0.0143406218739491 | 0.008735093329671 | 0.0207589117595503 | 0.0157679731880442,sample based schema summary
outputs/model_lab/tournament_engine/tournament_model_scorecard.csv,median_bias,numeric_like,7,-8.624581268780153 | -65.67108110529851 | -10.802205663621589 | -378.4171565921122 | -308.77216785833446,sample based schema summary
outputs/model_lab/tournament_engine/tournament_model_scorecard.csv,mase_guardrail_status,text_like,0,pass | warning | fail,sample based schema summary
outputs/model_lab/tournament_engine/tournament_model_scorecard.csv,rmsse_guardrail_status,text_like,0,pass | warning | fail,sample based schema summary
outputs/model_lab/tournament_engine/tournament_model_scorecard.csv,risk_status,text_like,0,low | medium | high,sample based schema summary
outputs/model_lab/tournament_engine/tournament_model_scorecard.csv,audit_risk_flag,boolean_like,0,False | True,sample based schema summary
outputs/model_lab/tournament_engine/tournament_model_scorecard.csv,eligible_for_champion_consideration,boolean_like,0,True | False,sample based schema summary
outputs/model_lab/tournament_engine/tournament_model_scorecard.csv,champion_exclusion_reason,text_like,12,Audit #4 high-risk flag: extreme MASE/RMSSE and possible scale or recursive-collapse issue,sample based schema summary
outputs/model_lab/tournament_engine/tournament_model_scorecard.csv,created_timestamp,date_like,0,2026-06-13T18:07:40,sample based schema summary
outputs/model_lab/tournament_engine/tournament_pairwise_evidence.csv,run_id,text_like,0,tournament_engine,sample based schema summary
outputs/model_lab/tournament_engine/tournament_pairwise_evidence.csv,model_a,text_like,0,ARIMA_Fixed | ETS_Current | LinearRegression | FixedGrowth_1_5 | FixedGrowth_3,sample based schema summary
outputs/model_lab/tournament_engine/tournament_pairwise_evidence.csv,model_b,text_like,0,ETS_Current | LinearRegression | FixedGrowth_1_5 | FixedGrowth_3 | FixedGrowth_4,sample based schema summary
