metric,route_label,object_name,actuals_source_status,date_column,value_column,key_column,route_columns,min_date,max_date,total_rows,distinct_keys,combinations_over_50,notes
CPU,CPU / Forest,forecast_substrateBE_cpu,ACTUALS_SOURCE_EMPTY,datadate,forecast,Forest_SKU,type|CPU_type,2021-02-15,2030-08-27,UNKNOWN,UNKNOWN,0,Q067 probe for type LIKE '%actual%' returned 0 rows across 201 model types.
CPU,CPU Consumed / Region,forecast_substrateBE_cpu_actual_region,ACTUALS_SOURCE_CONFIRMED,DateTime,Value,Key,Fleet|Workload|Resource|Unit|Type|Scenario|Environment,2022-01-04,2023-07-20,16352,30,30,Q037/Q062. Predicate ModelVersion='Actual' AND Scenario='Consumed'. obs 220..562. STALE: history stops 2023-07-20.
CPU,CPU Failover / Region,forecast_substrateBE_cpu_actual_region,ACTUALS_SOURCE_CONFIRMED,DateTime,Value,Key,Fleet|Workload|Resource|Unit|Type|Scenario|Environment,2022-01-04,2023-07-20,16352,30,30,Q037/Q062. obs 220..562. STALE: history stops 2023-07-20.
CPU,CPU byDB / Forest,forecast_substrateBE_cpu_byDB_forest,ACTUALS_SOURCE_UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Q069 FAILED: assumed ModelVersion column does not exist. Not resolved in P1.
HDD,HDD-EDB Enterprise / Forest,forecast_substrateBE_hdd,ACTUALS_SOURCE_CONFIRMED,target_date,forecast_mean,forest_name,data_type|type|execution_time,2019-07-01,2026-08-17,2279938,156,156,Q064/Q070. Predicate TRIM(type)='actual' AND LOWER(TRIM(data_type))='enterprise'. obs 1407..16224.
HDD,HDD-EDB Consumer / Forest,forecast_substrateBE_hdd,ACTUALS_SOURCE_CONFIRMED,target_date,forecast_mean,forest_name,data_type|type|execution_time,2019-07-01,2026-08-17,3489406,156,156,Q064/Q070. obs 1905..24905.
HDD,HDD-Basilisk / Forest,forecast_substrateBE_hdd,ACTUALS_SOURCE_CONFIRMED,target_date,forecast_mean,forest_name,data_type|type|execution_time,UNKNOWN,UNKNOWN,UNKNOWN,155,155,Q070. obs is a flat 144 for every forest. Uniformity is suspicious and needs P2 review.
HDD,HDD-EDB Enterprise / Region,forecast_substrateBE_hdd_region,ACTUALS_SOURCE_CONFIRMED,DateTime,Value,Key,Fleet|Workload|Resource|Unit|Type|Scenario|Environment,2019-07-01,2026-08-17,1180127,45,45,Q031/Q061. Predicate ModelVersion='actual' AND Scenario='Enterprise'. obs 1105..14488.
HDD,HDD-EDB Consumer / Region,forecast_substrateBE_hdd_region,ACTUALS_SOURCE_CONFIRMED,DateTime,Value,Key,Fleet|Workload|Resource|Unit|Type|Scenario|Environment,2019-07-01,2026-08-17,1180127,46,46,Q031/Q061. Predicate ModelVersion='actual' AND Scenario='Consumer'. obs 1625..20025.
HDD,HDD-Basilisk / Region,forecast_substrateBE_hdd_region,ACTUALS_SOURCE_CONFIRMED,DateTime,Value,Key,Fleet|Workload|Resource|Unit|Type|Scenario|Environment,2026-01-02,2026-05-25,1180127,46,46,Q061. Shorter history than EDB (obs 144..284) but every combination clears 50.
IOPS,IOPS / Forest,forecast_substrateBE_iops,ACTUALS_SOURCE_EMPTY,datadate,forecast,Forest_SKU,type|IOPS_type,2021-09-02,2030-02-26,UNKNOWN,UNKNOWN,0,Q068 probe for type LIKE '%actual%' returned 0 rows across 126 model types.
IOPS,IOPS Consumed / Region,forecast_substrateBE_iops_actual_region,ACTUALS_SOURCE_CONFIRMED,DateTime,Value,Key,Fleet|Workload|Resource|Unit|Type|Scenario|Environment,2020-06-23,2023-07-20,28758,29,29,Q043/Q063. Predicate ModelVersion='Actual' AND Scenario='Consumed'. obs 218..1103. STALE: history stops 2023-07-20.
IOPS,IOPS Failover / Region,forecast_substrateBE_iops_actual_region,ACTUALS_SOURCE_CONFIRMED,DateTime,Value,Key,Fleet|Workload|Resource|Unit|Type|Scenario|Environment,2020-06-23,2023-07-20,28738,29,29,Q043/Q063. obs 218..1103. STALE: history stops 2023-07-20.
MEMORY,Memory / Forest,vw_SubstrateBE_Demand_Memory_Forest,SERVING_VIEW_EMPTY,DateTime,Value,Key,Fleet|Workload|Resource|Unit|Type|Scenario,,,0,0,0,Q060. View exists with the correct contract but returns 0 rows.
MEMORY,Memory / Region,vw_SubstrateBE_Demand_Memory_Region,SERVING_VIEW_EMPTY,DateTime,Value,Key,Fleet|Workload|Resource|Unit|Type|Scenario|Environment,,,0,0,0,Q058. View exists with the correct contract but returns 0 rows.
MEMORY,Memory raw telemetry,vw_SubstrateBE_MemoryRawData,ACTUALS_SOURCE_REQUIRES_EXPENSIVE_QUERY,DataDate,ConsumedRate,Forest,Dagname|Sku_CommonName,UNKNOWN,UNKNOWN,54599306,UNKNOWN,UNKNOWN,Q056. 54.6M rows of raw telemetry. No governed Key/Value/Scenario contract; deriving a demand series would require aggregation logic that does not exist yet. Out of P1 scope.
SSD,SSD Demand Plan / Region,DemandPlan_SubstrateBE_SSD_Demand_Region_History,NOT_APPLICABLE,DataDate,demand,Region,ForecastVersion,2023-09-18,2028-09-29,406805,25,0,P1 Q054. Demand plan with forward dates. Not observed actuals.
SSD,SSD Daily Raw / Region x Forest,Greenland_SSD_HDD_Forest_Daily_Raw,ACTUALS_SOURCE_CONFIRMED,DataDate,SSDDemandTB,Forest,Region,2020-07-10,2021-06-15,46704,142,139,"P1B Q016. Raw daily observations, the cleanest shape of any SSD source, but the window closed in 2021. obs 8..340."
SSD,SSD Demand / Forest,SubstrateBE_SSD_Demand_History,ACTUALS_SOURCE_CONFIRMED,DataDate,SubstrateSSDDemandTB,Forest,Environment|Region|SKU,2021-06-10,2021-11-08,54757,143,142,"P1B Q011/Q012. Real observed demand but the window closed in 2021, roughly five years stale. obs 16..596."
SSD,SSD-Phoenix / Forest,forecast_substrateBE_SSD_Phoenix_Organic,FORECAST_ONLY,DateTime,Value,Forest,Fleet|Workload|Resource|Unit|Type|Scenario,2025-08-08,2030-07-02,707069,149,0,"P1 Q051. ModelVersion='Combined' only, wholly forward window."
SSD,SSD-Phoenix / Region,forecast_substrateBE_SSD_TotalForecast,FORECAST_ONLY,Datetime,Value,Key,Fleet|Workload|Resource|Unit|Type|Scenario,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0,P1 Q052. V6 R6 forecast source. No actuals marker.
SSD,SSD-Phoenix Low Vol. no Efficiency / Forest,forecast_substrateBE_ssd_phx_lvne_metrics,ACTUALS_SOURCE_CONFIRMED,Start_Date|End_Date,Mean_Actual,Key,Forecast_Version,2026-04-03,2026-08-22,17733,137,136,P1B Q010. Twin of lvwe without the efficiency adjustment. obs 25..132.
