metric,object_schema,object_name,object_type,exists,is_empty,estimated_or_actual_row_count,evidence_source,notes
HDD,dbo,forecast_substrateBE_hdd_region,USER_TABLE,TRUE,FALSE,4411852,sys.partitions Q021 + Q031,"V6 proven source. ModelVersion='actual' isolates 1,180,127 actual rows 2019-07-01..2026-08-17."
HDD,dbo,forecast_substrateBE_hdd,USER_TABLE,TRUE,FALSE,UNKNOWN,Q064 + Q070,Forest granularity. TRIM(type)='actual' isolates actuals across 156 forests.
CPU,dbo,forecast_substrateBE_cpu_actual_region,USER_TABLE,TRUE,FALSE,32704,sys.partitions Q021 + Q037,ACTUALS CONFIRMED. ModelVersion='Actual'. Stale: max date 2023-07-20.
CPU,dbo,forecast_substrateBE_cpu_region,USER_TABLE,TRUE,FALSE,2654280,sys.partitions Q021 + Q047,Model forecasts only across 30 ModelVersions. No 'actual' marker (Q047 returned 0 rows).
CPU,dbo,forecast_substrateBE_cpu,USER_TABLE,TRUE,FALSE,UNKNOWN,Q065 + Q067,"Forest granularity, 201 model types. No 'actual' marker (Q067 returned 0 rows)."
CPU,dbo,forecast_substrateBE_cpu_byDB_forest,USER_TABLE,TRUE,UNKNOWN,UNKNOWN,Q069 FAILED,Probe failed: expected ModelVersion column absent. Unresolved.
IOPS,dbo,forecast_substrateBE_iops_actual_region,USER_TABLE,TRUE,FALSE,57496,sys.partitions Q021 + Q043,ACTUALS CONFIRMED. ModelVersion='Actual'. Stale: max date 2023-07-20.
IOPS,dbo,forecast_substrateBE_iops_region,USER_TABLE,TRUE,FALSE,6451852,sys.partitions Q021 + Q048,Model forecasts only across 89 ModelVersions. No 'actual' marker (Q048 returned 0 rows).
IOPS,dbo,forecast_substrateBE_iops,USER_TABLE,TRUE,FALSE,UNKNOWN,Q066 + Q068,"Forest granularity, 126 model types. No 'actual' marker (Q068 returned 0 rows)."
SSD,dbo,forecast_substrateBE_ssd_region,USER_TABLE,TRUE,FALSE,309213,sys.partitions Q021 + Q046,"ModelVersion='prophet' only, Scenario='None'. FORECAST_ONLY. No actuals."
SSD,dbo,forecast_substrateBE_SSD_Phoenix_Organic,USER_TABLE,TRUE,FALSE,707069,sys.partitions Q021 + Q051,"ModelVersion='Combined' only, 2025-08-08..2030-07-02, 149 forests. FORECAST_ONLY."
SSD,dbo,forecast_substrateBE_SSD_TotalForecast,USER_TABLE,TRUE,UNKNOWN,UNKNOWN,Q052,Forecast serving table (V6 R6 source for SSD-Phoenix). No ValueType/ModelVersion actuals marker.
SSD,dbo,DemandPlan_SubstrateBE_SSD_Demand_Region_History,USER_TABLE,TRUE,FALSE,406805,Q054,"Demand plan history 2023-09-18..2028-09-29, 25 regions. Demand plan, not observed actuals."
MEMORY,dbo,vw_SubstrateBE_Demand_Memory_Region,VIEW,TRUE,TRUE,0,Q058,SERVING_VIEW_EMPTY. Returns 0 rows.
MEMORY,dbo,vw_SubstrateBE_Demand_Memory_Forest,VIEW,TRUE,TRUE,0,Q060,SERVING_VIEW_EMPTY. Returns 0 rows.
MEMORY,dbo,vw_SubstrateBE_MemoryRawData,VIEW,TRUE,FALSE,54599306,Q056,"Raw telemetry only (DataDate/Dagname/Forest/ConsumedRate/InstalledMemoryGBPerServer). No governed Key/Value/Scenario contract. Would require derivation, out of P1 scope."
HDD,dbo,vw_SubstrateBE_Demand_HddBasilisk_Region,VIEW,TRUE,TRUE,0,Q009/Q010,SERVING_VIEW_EMPTY. Basilisk demand view returns 0 rows.
